patent_id,related_doc_number,published_country,related_doc_type,related_doc_kind,related_doc_published_date,related_doc_sequence
7135012,20040243075,US,related-publication,,2004-12-02,7
11070124,20200083799,US,related-publication,,2020-03-12,0
11362998,20200336462,US,related-publication,,2020-10-22,6
9642849,61736740,US,us-provisional-application,,2012-12-13,3
11425344,20180309967,US,related-publication,,2018-10-25,1
7464796,10689786,US,continuation,child-doc,,7
7580729,11015557,US,continuation,parent-doc,2004-12-17,0
7023510,6922220,US,division,parent-grant-document,,1
8519694,20110193613,US,related-publication,,2011-08-11,0
8795897,12893176,US,continuation,child-doc,,4
9781885,20170196174,US,related-publication,,2017-07-13,0
10307690,62309800,US,us-provisional-application,,2016-03-17,4
10746002,20170241245,US,related-publication,,2017-08-24,0
10162013,15402613,US,continuation,child-doc,,2
10389796,14464241,US,continuation,parent-doc,2014-08-20,0
11376137,20210251778,US,related-publication,,2021-08-19,0
9022417,10043557,US,continuation-in-part,parent-doc,2002-01-11,5
9545304,11303433,US,continuation-in-part,child-doc,,8
9347962,20150037786,US,related-publication,,2015-02-05,0
11269726,20190121698,US,related-publication,,2019-04-25,0
10022262,20110178439,US,related-publication,,2011-07-21,1
8127357,12943555,US,continuation,child-doc,,2
9956010,9526531,US,division,parent-grant-document,,1
8916103,13540911,US,continuation,child-doc,,3
9382567,13154976,US,continuation,parent-doc,,16
9583272,20150076389,US,related-publication,,2015-03-19,0
8394826,20100280011,US,related-publication,,2010-11-04,1
9487769,13557313,US,division,parent-doc,2012-07-25,3
9748223,9564198,US,division,parent-grant-document,,1
7902050,20070111458,US,related-publication,,2007-05-17,1
8723153,13447173,US,continuation,child-doc,,2
10890751,20190285867,US,related-publication,,2019-09-19,2
10821399,15066902,US,continuation-in-part,parent-doc,2016-03-10,0
7841271,10728792,US,continuation,parent-doc,2003-12-08,0
7853026,6906632,US,continuation,parent-grant-document,2005-06-14,4
7526747,10419141,US,continuation,child-doc,,5
10959112,15937707,US,continuation,parent-doc,2018-03-27,0
10045902,13737552,US,continuation,parent-doc,2013-01-09,12
7231851,6868759,US,continuation,parent-grant-document,,1
7275293,20060191593,US,related-publication,,2006-08-31,2
6379355,5836948,US,continuation,parent-grant-document,,5
9080047,8344061,US,division,parent-grant-document,,1
8678678,20130022347,US,related-publication,,2013-01-24,1
8683294,61355261,US,us-provisional-application,,2010-06-16,0
8546168,13409800,US,continuation,child-doc,,4
9258207,13549302,US,division,parent-doc,2012-07-13,0
11454948,20210365002,US,related-publication,,2021-11-25,0
7919850,20100140789,US,related-publication,,2010-06-10,0
10633105,15554642,US,continuation-in-part,parent-doc,,0
11175794,10664130,US,continuation,parent-grant-document,2020-05-26,1
10335593,13075746,US,continuation-in-part,parent-doc,2011-03-30,24
7199139,PCT/JP01/11296,US,continuation-in-part,parent-doc,2001-12-21,0
10675751,16405596,US,continuation,child-doc,,3
6419665,09139047,US,continuation-in-part,parent-doc,1998-08-24,1
10621653,14230864,US,continuation-in-part,parent-doc,2014-03-31,30
10165992,20160181053,US,related-publication,,2016-06-23,1
9571488,14954744,US,continuation,child-doc,,2
7266109,60154344,US,us-provisional-application,,1999-09-16,0
7700003,7368719,US,continuation-in-part,parent-grant-document,,1
