patent_id,cpc_sequence,cpc_section,cpc_class,cpc_subclass,cpc_group,cpc_type
10821543,31,B,B32,B32B,B32B2309/68,additional
10965530,7,H,H04,H04L,H04L41/0654,additional
7555716,0,G,G06,G06F,G06F16/335,inventional
9143845,2,H,H04,H04B,H04B10/806,additional
10854731,45,H,H01,H01L,H01L29/0649,inventional
4443918,1,Y,Y02,Y02E,Y02E60/10,additional
7142287,0,G,G03,G03F,G03F7/70983,inventional
9775583,5,A,A61,A61B,A61B8/0891,additional
11330730,0,H,H05,H05K,H05K5/0247,inventional
5770326,2,B,B01,B01J,B01J19/0013,inventional
10523210,39,H,H01,H01L,H01L45/08,additional
10440546,3,H,H04,H04W,H04W84/18,additional
9124192,4,H,H01,H01M,H01M8/04656,inventional
6943076,4,H,H01,H01L,H01L29/4966,inventional
8451795,2,H,H04,H04L,H04L1/1896,inventional
7582692,1,C,C08,C08K,C08K5/0066,inventional
11324305,3,F,F42,F42B,F42B39/02,inventional
5355984,1,F,F16,F16D,F16D13/385,inventional
6910777,0,H,H04,H04N,H04N9/3105,inventional
7129345,2,C,C07,C07J,C07J21/003,inventional
9900777,1,H,H04,H04W,H04W8/18,inventional
5615469,0,B,B29,B29D,B29D99/0003,inventional
7246155,10,A,A63,A63F,A63F2300/407,additional
10375633,0,H,H04,H04W,H04W52/0212,inventional
8399296,3,H,H01,H01L,H01L24/17,inventional
5869434,2,Y,Y10,Y10S,Y10S507/905,additional
10947243,45,A,A61,A61P,A61P35/00,inventional
8887387,4,H,H01,H01R,H01R43/00,inventional
11403443,3,G,G06,G06T,G06T17/20,inventional
9613496,8,G,G07,G07F,G07F17/38,inventional
7429092,29,G,G06,G06K,G06K15/02,inventional
7359591,0,H,H01,H01L,H01L24/81,inventional
7869822,1,H,H04,H04L,H04L47/125,inventional
7706942,3,B,B60,B60G,B60G2400/37,additional
8418376,0,D,D06,D06F,D06F58/206,inventional
4899781,7,F,F17,F17C,F17C2221/037,additional
6964686,37,A,A61,A61F,A61F2310/00023,additional
9997506,14,H,H01,H01L,H01L2924/15311,additional
7204817,0,A,A61,A61F,A61F13/04,inventional
11351264,3,A,A61,A61K,A61K47/543,inventional
7286847,0,H,H04,H04W,H04W52/36,inventional
10031725,6,G,G06,G06F,G06F3/0482,additional
11360037,8,G,G06,G06V,G06V10/762,inventional
9950591,1,B,B60,B60H,B60H1/00899,inventional
9200234,17,C,C10,C10M,C10M2207/40,additional
6525678,1,G,G11,G11B,G11B20/1426,inventional
11364396,12,A,A62,A62B,A62B18/10,inventional
8846123,2,F,F23,F23K,F23K1/02,inventional
9449413,4,G,G01,G01J,G01J3/2823,inventional
6239241,5,C,C04,C04B,C04B2103/44,additional
10847955,1,H,H02,H02G,H02G1/00,inventional
7168482,2,F,F28,F28D,F28D9/0062,inventional
7981067,13,A,A61,A61H,A61H2201/5043,additional
5413964,3,H,H01,H01L,H01L2224/81136,additional
6901548,0,H,H03,H03M,H03M13/256,inventional
10848722,2,G,G03,G03B,G03B21/142,inventional
8395841,3,G,G03,G03B,G03B21/602,inventional
8508477,1,G,G06,G06F,G06F3/0338,inventional
5522540,0,G,G02,G02B,G02B6/006,inventional
6228794,7,B,B01,B01J,B01J2531/31,additional
11437330,1,H,H01,H01L,H01L27/092,inventional
5748713,1,H,H04,H04M,H04M1/275,inventional
11350659,2,A,A23,A23V,A23V2002/00,additional
