patent_id,cpc_sequence,cpc_section,cpc_class,cpc_subclass,cpc_group,cpc_type
6652944,1,Y,Y10,Y10T,Y10T428/14,additional
8811123,0,G,G04,G04G,G04G17/04,inventional
11349394,5,H,H02,H02M,H02M3/158,inventional
9595941,2,H,H03,H03H,H03H9/02118,inventional
9800871,15,H,H04,H04N,H04N19/61,inventional
7995829,1,G,G01,G01N,G01N29/0645,inventional
4514633,1,G,G01,G01T,G01T1/29,inventional
9081165,0,G,G02,G02B,G02B6/4477,inventional
10796642,1,G,G09,G09G,G09G3/3233,additional
9466479,3,C,C30,C30B,C30B29/38,inventional
8359478,1,G,G06,G06F,G06F21/74,inventional
5415860,0,A,A61,A61Q,A61Q5/02,inventional
5446313,26,H,H01,H01L,H01L2924/01005,additional
9191606,12,H,H04,H04N,H04N21/43637,inventional
9459728,17,G,G06,G06F,G06F2203/04806,additional
10224366,0,H,H01,H01L,H01L27/156,inventional
8937083,14,C,C07,C07D,C07D405/14,inventional
6008779,8,G,G02,G02B,G02B2027/0159,additional
8437414,5,H,H04,H04L,H04L25/03006,inventional
10264393,7,G,G06,G06Q,G06Q30/0261,inventional
10528961,2,G,G06,G06V,G06V20/20,inventional
10059967,6,C,C12,C12N,C12N9/1007,inventional
6041029,0,G,G11,G11B,G11B7/00745,inventional
4755592,2,A,A61,A61P,A61P43/00,inventional
5246432,11,A,A61,A61F,A61F2013/530489,additional
4437027,3,H,H02,H02K,H02K11/26,inventional
9453225,10,C,C12,C12N,C12N2320/30,additional
10728868,3,H,H04,H04L,H04L67/01,inventional
10488093,11,F,F25,F25B,F25B2600/021,additional
6858855,1,G,G21,G21F,G21F1/12,inventional
9005819,17,H,H01,H01M,H01M2004/028,additional
11152225,7,H,H01,H01L,H01L29/0619,additional
11109858,52,A,A61,A61B,A61B2017/07228,additional
4513477,2,B,B01,B01D,B01D29/54,inventional
7377684,3,B,B01,B01F,B01F29/81,inventional
4257594,10,A,A63,A63B,A63B2102/22,additional
6827893,8,B,B29,B29L,B29L2031/729,additional
5481575,0,G,G21,G21C,G21C17/108,inventional
11107191,5,H,H04,H04N,H04N5/23232,inventional
4264477,12,H,H01,H01H,H01H2229/038,additional
7219370,6,F,F41,F41G,F41G11/003,inventional
11290988,4,H,H04,H04L,H04L27/0006,inventional
6124051,4,H,H01,H01M,H01M8/2483,inventional
4770802,22,C,C10,C10N,C10N2040/042,additional
4185337,0,E,E03,E03D,E03D5/01,inventional
6961398,3,H,H04,H04B,H04B7/2693,inventional
9978177,2,G,G06,G06T,G06T5/00,inventional
9636874,1,B,B29,B29C,B29C53/8016,inventional
9345148,46,H,H01,H01L,H01L2224/16238,additional
10961597,11,G,G05,G05B,G05B19/182,inventional
9790703,3,C,C04,C04B,C04B18/065,inventional
8733675,4,B,B05,B05B,B05B15/68,inventional
10513873,10,E,E05,E05B,E05B81/78,inventional
6216939,2,B,B23,B23K,B23K2101/36,additional
5248689,2,C,C07,C07D,C07D233/84,inventional
7993780,2,B,B82,B82Y,B82Y40/00,inventional
7878553,4,F,F16,F16L,F16L37/56,inventional
6525551,2,H,H01,H01L,H01L2924/00013,additional
4041236,2,H,H05,H05B,H05B3/62,inventional
7959951,8,A,A61,A61K,A61K36/48,inventional
8023092,0,G,G02,G02F,G02F1/13394,inventional
8627500,0,G,G06,G06F,G06F21/10,inventional
11053685,5,E,E04,E04D,E04D2001/3423,additional
4629433,3,A,A63,A63B,A63B35/00,additional
7448834,2,B,B23,B23B,B23B31/1075,inventional
8027798,0,G,G01,G01K,G01K15/00,inventional
8793270,2,G,G06,G06F,G06F16/36,inventional
5830462,0,C,C07,C07D,C07D498/18,inventional
9814076,6,H,H04,H04W,H04W28/18,additional
10710043,16,B,B01,B01J,B01J2219/00777,additional
11251038,6,H,H01,H01L,H01L21/02219,inventional
5325212,3,H,H04,H04N,H04N2201/3271,additional
6977574,3,H,H01,H01F,H01F27/325,additional
9711648,5,H,H01,H01L,H01L29/66522,inventional
5305490,1,A,A46,A46B,A46B5/02,inventional
10559246,6,G,G09,G09G,G09G2320/0242,additional
9382167,2,B,B32,B32B,B32B1/08,inventional
9225478,4,H,H04,H04L,H04L1/1812,inventional
11078733,0,E,E21,E21B,E21B19/16,inventional
5055855,3,H,H04,H04N,H04N1/036,inventional
10967843,3,B,B60,B60T,B60T13/662,inventional
8136790,5,F,F01,F01L,F01L2001/3443,additional
6539548,18,H,H04,H04N,H04N21/2181,inventional
10830770,0,G,G01,G01N,G01N33/56966,inventional
5356383,3,A,A61,A61M,A61M5/3205,inventional
8766725,12,H,H03,H03F,H03F2203/45702,additional
9379273,7,H,H01,H01L,H01L2224/48137,additional
10080596,4,A,A61,A61B,A61B17/8061,inventional
10046994,4,C,C02,C02F,C02F2103/008,additional
10669321,2,C,C07,C07K,C07K14/475,inventional
7195752,6,C,C07,C07C,C07C69/63,inventional
5170851,5,H,H02,H02K,H02K7/10,inventional
10027094,3,H,H01,H01L,H01L23/49562,inventional
9909582,5,F,F04,F04B,F04B2015/082,additional
6503949,34,C,C07,C07D,C07D319/18,inventional
9428948,0,E,E05,E05D,E05D13/10,inventional
9245312,2,G,G06,G06T,G06T3/0006,inventional
11440698,5,B,B31,B31B,B31B70/62,inventional
10123467,17,Y,Y10,Y10T,Y10T428/249955,additional
6234725,1,B,B23,B23C,B23C5/1009,inventional
4934279,0,B,B60,B60L,B60L13/08,inventional
10747052,0,G,G02,G02F,G02F1/133606,inventional
4042003,1,B,B60,B60C,B60C15/0226,inventional
11378067,14,F,F04,F04B,F04B53/1092,inventional
9885469,6,F,F21,F21V,F21V33/0044,inventional
9750862,2,A,A61,A61B,A61B5/026,inventional
6257475,5,Y,Y10,Y10T,Y10T225/35,additional
9909952,0,G,G01,G01M,G01M11/338,inventional
11162125,1,C,C12,C12N,C12N1/22,inventional
4672121,5,C,C07,C07D,C07D213/74,inventional
5457134,76,C,C07,C07D,C07D207/16,inventional
11007639,6,B,B25,B25J,B25J17/0283,inventional
9841468,8,Y,Y04,Y04S,Y04S10/123,additional
5665543,5,C,C12,C12Q,C12Q1/6897,inventional
11376129,1,A,A61,A61F,A61F2/30749,inventional
11375577,4,H,H04,H04L,H04L1/1887,inventional
11043883,13,H,H02,H02K,H02K1/28,inventional
10105088,24,Y,Y10,Y10T,Y10T29/49826,additional
4846116,2,F,F02,F02B,F02B2075/1816,additional
8305880,5,H,H04,H04N,H04N21/6125,inventional
4843861,3,B,B21,B21F,B21F1/00,inventional
9435105,7,E,E02,E02F,E02F9/2246,inventional
10030519,9,F,F05,F05D,F05D2300/10,additional
11317432,9,H,H04,H04L,H04L25/0226,inventional
8970918,0,G,G06,G06F,G06F16/93,inventional
9416337,0,C,C11,C11C,C11C3/003,inventional
8888551,0,A,A63,A63H,A63H27/12,inventional
6659694,0,B,B27,B27G,B27G13/04,inventional
8668707,4,A,A61,A61B,A61B6/12,inventional
5962472,4,A,A61,A61P,A61P25/16,inventional
10867708,0,G,G16,G16H,G16H80/00,inventional
6831000,20,H,H01,H01L,H01L2924/01047,additional
10985092,26,H,H01,H01L,H01L2224/84385,additional
5013666,0,G,G01,G01N,G01N33/96,inventional
8202647,1,H,H01,H01M,H01M50/116,inventional
8917086,2,G,G01,G01D,G01D5/145,inventional
8642748,3,C,C12,C12Q,C12Q2600/13,additional
7773984,6,G,G06,G06F,G06F3/03545,inventional
8533507,3,H,H04,H04L,H04L67/59,inventional
10181099,24,H,H01,H01M,H01M2220/20,additional
9645663,0,G,G06,G06F,G06F3/0412,inventional
9786412,5,H,H02,H02G,H02G1/14,inventional
6920437,5,G,G06,G06Q,G06Q20/3821,inventional
9764119,5,A,A61,A61M,A61M29/02,inventional
7976566,37,A,A61,A61F,A61F2310/00059,additional
10233413,5,H,H01,H01L,H01L21/02068,inventional
8400992,4,H,H04,H04W,H04W8/26,additional
11254301,4,B,B60,B60W,B60W10/26,inventional
6050830,9,H,H05,H05K,H05K2201/09145,additional
10656478,3,G,G02,G02F,G02F1/1368,inventional
7901994,0,H,H01,H01L,H01L29/7783,inventional
6528432,1,H,H01,H01L,H01L21/31058,inventional
6475715,0,G,G03,G03C,G03C1/49845,inventional
5649362,3,G,G03,G03G,G03G21/0047,inventional
5042436,4,Y,Y02,Y02T,Y02T10/12,additional
6709598,7,B,B01,B01D,B01D63/025,inventional
9349029,6,H,H01,H01Q,H01Q7/00,inventional
11443940,2,H,H01,H01L,H01L21/02282,inventional
10044795,9,H,H04,H04L,H04L41/0806,inventional
10849964,2,A,A61,A61P,A61P35/00,inventional
8268718,2,H,H01,H01L,H01L24/27,inventional
8026862,3,H,H01,H01Q,H01Q15/0086,inventional
5679266,10,H,H05,H05K,H05K2203/1476,additional
5707087,1,F,F16,F16L,F16L13/143,inventional
5119174,0,G,G09,G09F,G09F9/33,inventional
9830791,4,G,G06,G06K,G06K19/0723,inventional
11210936,5,G,G08,G08G,G08G1/0116,inventional
7244574,1,C,C07,C07K,C07K16/36,inventional
5863507,1,B,B01,B01L,B01L9/06,inventional
9452579,2,H,H05,H05B,H05B1/023,inventional
10967013,1,A,A61,A61P,A61P25/00,inventional
4464499,0,C,C09,C09G,C09G1/12,inventional
9174291,1,B,B21,B21J,B21J5/008,inventional
8906112,3,A,A61,A61F,A61F2002/7862,additional
9226513,12,A,A23,A23G,A23G3/28,inventional
7784543,0,E,E21,E21B,E21B43/12,inventional
9771113,1,B,B62,B62J,B62J1/005,inventional
7576403,2,H,H01,H01L,H01L24/85,additional
6127367,1,A,A61,A61P,A61P1/00,inventional
9076768,7,H,H01,H01L,H01L51/0037,additional
6723204,3,D,D21,D21H,D21H17/28,additional
8871836,11,C,C08,C08K,C08K2003/2241,additional
10873696,3,G,G06,G06F,G06F3/0488,inventional
8263387,14,B,B03,B03C,B03C2201/22,additional
7697529,0,H,H04,H04L,H04L49/3072,inventional
9928300,3,G,G06,G06N,G06N5/04,inventional
11391614,15,B,B65,B65B,B65B3/32,inventional
11326950,2,G,G01,G01B,G01B9/02067,inventional
5284534,1,C,C21,C21D,C21D8/00,inventional
7716448,1,G,G06,G06F,G06F12/08,additional
6374734,4,B,B41,B41N,B41N2210/04,additional
5823280,13,B,B60,B60K,B60K31/00,additional
5777978,3,G,G11,G11B,G11B7/085,additional
6352777,0,H,H01,H01L,H01L51/4246,inventional
9184241,2,H,H01,H01L,H01L29/205,inventional
6712830,13,A,A61,A61F,A61F2002/0882,additional
8242985,8,G,G09,G09G,G09G2320/029,additional
9572592,10,A,A61,A61B,A61B2017/320097,additional
9409713,0,B,B65,B65G,B65G15/08,inventional
10647253,2,G,G07,G07C,G07C9/00309,inventional
9306765,1,H,H04,H04L,H04L12/185,inventional
6646284,7,H,H01,H01L,H01L27/3276,additional
4167686,1,G,G04,G04F,G04F5/063,inventional
11012115,2,C,C07,C07C,C07C211/61,inventional
10954310,13,C,C07,C07K,C07K2317/56,additional
6216442,2,F,F05,F05B,F05B2230/606,additional
10585544,10,G,G06,G06F,G06F3/04897,additional
5147798,2,C,C12,C12N,C12N5/0644,inventional
8373090,5,A,A61,A61F,A61F2/91,additional
7658159,3,Y,Y02,Y02T,Y02T70/10,additional
7119798,0,G,G06,G06F,G06F3/016,inventional
4393260,1,C,C07,C07C,C07C1/2078,inventional
4484834,2,E,E02,E02B,E02B3/121,inventional
11231408,5,C,C09,C09K,C09K11/883,inventional
4072711,2,A,A61,A61P,A61P3/00,inventional
7939930,5,H,H05,H05K,H05K2201/09236,additional
4242397,0,D,D06,D06N,D06N7/0007,inventional
10863396,10,Y,Y02,Y02D,Y02D30/70,additional
4132736,0,C,C07,C07D,C07D285/135,inventional
5601835,0,A,A61,A61K,A61K9/2027,inventional
9318385,5,H,H01,H01L,H01L21/76852,inventional
9121623,46,F,F24,F24F,F24F2120/12,additional
11361910,18,Y,Y02,Y02P,Y02P70/50,additional
5126184,0,B,B29,B29C,B29C45/33,inventional
8346845,0,G,G06,G06F,G06F9/5027,inventional
9704531,0,G,G11,G11B,G11B27/031,inventional
7514346,18,Y,Y10,Y10S,Y10S977/938,additional
10274827,2,G,G03,G03F,G03F7/16,inventional
6306849,6,A,A61,A61P,A61P25/14,inventional
7756758,0,H,H04,H04N,H04N21/47815,inventional
5464808,1,A,A01,A01N,A01N47/36,inventional
5652446,2,H,H01,H01L,H01L28/40,inventional
6518286,13,A,A61,A61P,A61P37/00,inventional
8871333,23,B,B32,B32B,B32B2250/40,additional
7885793,1,A,A61,A61M,A61M5/142,inventional
8846951,21,A,A61,A61P,A61P25/22,inventional
4177542,7,Y,Y10,Y10T,Y10T24/3909,additional
10718543,2,F,F24,F24F,F24F11/41,inventional
8222694,14,H,H01,H01L,H01L2224/05093,additional
7682145,1,A,A21,A21D,A21D13/48,inventional
9471447,7,G,G06,G06F,G06F2009/4557,additional
5781442,6,A,A61,A61J,A61J2205/60,additional
9637426,11,C,C01,C01B,C01B2203/1247,additional
9226413,39,H,H05,H05K,H05K999/99,inventional
4913995,0,G,G03,G03G,G03G5/08242,inventional
9686217,5,H,H04,H04L,H04L63/0227,additional
10011098,9,H,H01,H01L,H01L24/96,inventional
11176058,18,H,H04,H04L,H04L9/0866,additional
6310606,3,G,G05,G05G,G05G9/04737,inventional
7062372,10,F,F02,F02D,F02D2041/142,additional
8443904,1,F,F16,F16L,F16L13/0209,inventional
7522641,1,H,H04,H04J,H04J3/0697,additional
10629740,14,H,H01,H01L,H01L29/66545,inventional
6156197,3,B,B01,B01D,B01D53/0431,inventional
10978356,6,H,H01,H01L,H01L21/823828,inventional
7793115,0,G,G06,G06F,G06F1/26,inventional
11436084,3,G,G11,G11C,G11C29/028,inventional
5552198,7,B,B29,B29C,B29C49/00,additional
8847771,3,A,A61,A61B,A61B5/18,inventional
4861836,17,C,C10,C10M,C10M2203/003,additional
10595762,8,A,A61,A61B,A61B5/150351,inventional
6171404,0,C,C11,C11D,C11D3/0052,inventional
10142591,7,H,H04,H04L,H04L12/4625,inventional
6946090,3,B,B29,B29C,B29C48/10,inventional
6047911,8,Y,Y02,Y02W,Y02W30/62,additional
11338288,2,F,F04,F04B,F04B43/1223,inventional
8390646,1,G,G09,G09G,G09G5/02,inventional
8096988,0,A,A61,A61B,A61B18/1233,inventional
11415523,3,G,G01,G01N,G01N33/523,inventional
6004570,1,A,A01,A01N,A01N25/10,inventional
5658411,20,Y,Y10,Y10T,Y10T428/24917,additional
9012253,9,H,H01,H01L,H01L21/02513,inventional
9623183,1,A,A61,A61M,A61M5/3204,additional
8288425,1,A,A61,A61P,A61P3/04,inventional
10172017,3,H,H04,H04W,H04W88/08,additional
4877548,0,C,C07,C07C,C07C22/08,inventional
4501081,0,F,F41,F41A,F41A17/44,inventional
9332953,0,A,A61,A61B,A61B6/5211,inventional
10975785,0,F,F02,F02D,F02D41/0087,inventional
9436367,4,G,G06,G06F,G06F3/04886,inventional
9246966,3,H,H04,H04N,H04N21/41407,inventional
5919577,14,C,C22,C22C,C22C38/26,inventional
9744645,3,B,B24,B24C,B24C11/005,inventional
9003274,3,G,G06,G06F,G06F40/177,additional
9637864,2,D,D21,D21H,D21H19/385,inventional
9581552,3,G,G01,G01J,G01J3/42,inventional
6155432,7,B,B01,B01D,B01D2239/1225,additional
5630718,2,G,G06,G06T,G06T15/10,inventional
10913827,6,C,C08,C08J,C08J2369/00,additional
6760592,2,G,G01,G01S,G01S1/045,inventional
10397886,8,H,H04,H04W,H04W72/044,inventional
5611399,1,B,B01,B01D,B01D29/111,inventional
9254071,14,A,A61,A61B,A61B6/12,inventional
5443294,2,Y,Y10,Y10S,Y10S294/905,additional
3980692,1,C,C07,C07C,C07C405/0016,inventional
9610672,1,B,B24,B24B,B24B37/11,inventional
7608978,2,G,G01,G01N,G01N29/024,inventional
11399050,10,H,H04,H04L,H04L67/1095,inventional
6519445,1,G,G09,G09B,G09B5/06,inventional
11240236,5,G,G06,G06Q,G06Q20/40,inventional
9191862,2,H,H04,H04W,H04W24/00,additional
8373662,0,H,H01,H01R,H01R13/7172,inventional
10753277,1,B,B64,B64D,B64D27/10,inventional
8911519,20,C,C01,C01B,C01B2203/0465,additional
8453899,3,A,A45,A45F,A45F3/04,inventional
10670606,2,B,B01,B01D,B01D15/325,inventional
8008125,38,H,H01,H01L,H01L2924/10329,additional
10314951,5,A,A61,A61L,A61L2300/418,additional
10962692,1,B,B29,B29C,B29C59/16,inventional
8014636,2,G,G02,G02F,G02F1/01708,inventional
9238351,3,B,B32,B32B,B32B27/281,inventional
5757935,2,H,H04,H04R,H04R2460/13,additional
11052812,7,B,B62,B62D,B62D63/064,inventional
7005146,12,A,A61,A61K,A61K36/483,inventional
10733736,1,G,G01,G01V,G01V5/0008,inventional
10734952,8,H,H03,H03F,H03F2200/318,additional
4194277,1,F,F16,F16C,F16C33/427,inventional
6714998,4,H,H04,H04N,H04N2201/0082,additional
6896791,3,C,C04,C04B,C04B41/5376,inventional
11108008,5,B,B60,B60Q,B60Q1/34,inventional
6538214,105,H,H01,H01L,H01L2924/0132,additional
11411201,4,H,H01,H01L,H01L51/5056,additional
7427202,8,H,H05,H05K,H05K3/305,additional
10027319,2,H,H03,H03K,H03K5/1565,inventional
8129011,37,B,B29,B29C,B29C66/73112,additional
5721031,5,B,B29,B29C,B29C53/562,additional
7917081,3,H,H04,H04H,H04H40/90,inventional
6689298,2,Y,Y10,Y10T,Y10T428/249925,additional
11240238,1,H,H04,H04L,H04L63/0876,inventional
8175683,16,A,A61,A61F,A61F2002/3611,additional
10032941,2,H,H01,H01L,H01L27/14629,inventional
10902949,15,G,G06,G06F,G06F3/0488,additional
10998901,2,H,H04,H04B,H04B1/0458,inventional
6200985,2,A,A61,A61P,A61P11/06,inventional
10568740,6,A,A61,A61B,A61B2017/00473,additional
10335436,3,A,A61,A61K,A61K38/18,inventional
7973817,0,H,H04,H04N,H04N1/053,inventional
5020547,6,A,A61,A61F,A61F2013/00387,additional
6964992,8,B,B41,B41M,B41M5/529,additional
6978063,4,H,H01,H01S,H01S3/06716,inventional
10828625,5,B,B01,B01J,B01J35/002,inventional
7114096,4,H,H04,H04L,H04L1/1874,inventional
3942336,4,F,F16,F16C,F16C29/08,additional
8772246,25,A,A61,A61P,A61P35/00,inventional
7639252,0,G,G06,G06T,G06T17/20,inventional
6226073,2,G,G03,G03F,G03F7/70875,inventional
9700766,3,C,C22,C22F,C22F1/183,inventional
10687472,4,A,A01,A01F,A01F2015/0891,additional
5767047,141,C,C10,C10N,C10N2040/25,additional
4559862,10,C,C09,C09K,C09K2200/0637,additional
8165087,1,H,H04,H04W,H04W4/029,inventional
9901624,9,A,A61,A61K,A61K31/549,inventional
9842687,5,H,H02,H02J,H02J50/70,inventional
8356730,7,B,B67,B67D,B67D7/06,inventional
8727745,6,F,F04,F04B,F04B51/00,inventional
11066644,16,C,C12,C12N,C12N2501/2318,additional
8449903,6,A,A61,A61F,A61F2/9524,additional
10840847,8,F,F01,F01M,F01M2001/0238,additional
7338950,6,A,A61,A61P,A61P3/06,inventional
7410866,4,H,H01,H01L,H01L21/76802,additional
9095768,0,A,A63,A63F,A63F3/00261,inventional
9046477,24,B,B01,B01J,B01J2219/00659,additional
6587477,2,H,H04,H04L,H04L12/40065,inventional
6012955,0,H,H01,H01R,H01R4/023,inventional
6106780,7,A,A61,A61B,A61B5/150343,inventional
4512349,1,A,A61,A61B,A61B5/076,inventional
4395524,2,C,C09,C09D,C09D7/43,inventional
10474515,1,G,G01,G01R,G01R31/31705,inventional
5245814,27,B,B65,B65D,B65D65/22,inventional
9660200,5,C,C09,C09K,C09K2211/1007,additional
10799630,20,A,A61,A61M,A61M2205/50,additional
10747376,2,B,B32,B32B,B32B27/18,inventional
11043044,1,G,G07,G07C,G07C5/0891,inventional
10503247,16,G,G01,G01B,G01B11/002,inventional
3997812,1,H,H01,H01J,H01J31/64,inventional
8791318,3,A,A61,A61F,A61F13/535,inventional
9937741,0,B,B41,B41J,B41J29/393,inventional
8790520,2,H,H05,H05K,H05K3/4629,inventional
7111006,34,H,H04,H04L,H04L69/329,inventional
5493417,15,H,H04,H04N,H04N1/2032,inventional
6312641,9,B,B29,B29C,B29C2949/073,additional
8810177,1,H,H02,H02M,H02M1/32,additional
10690484,5,H,H04,H04N,H04N5/2226,inventional
8678698,5,Y,Y10,Y10T,Y10T403/70,additional
5648450,1,B,B29,B29C,B29C41/003,inventional
4895237,0,F,F16,F16F,F16F15/12366,inventional
4357423,2,A,A61,A61K,A61K8/73,inventional
9142786,5,H,H05,H05B,H05B33/14,inventional
10760114,9,C,C12,C12Q,C12Q2525/197,additional
7987548,1,A,A01,A01G,A01G20/47,inventional
11388590,8,H,H04,H04W,H04W12/069,inventional
9548098,11,G,G06,G06F,G06F2212/1032,additional
5889325,0,H,H01,H01L,H01L24/49,inventional
8640312,8,Y,Y10,Y10T,Y10T29/49155,additional
5188984,9,H,H01,H01L,H01L2224/24227,additional
4730616,0,A,A61,A61M,A61M25/104,inventional
5491205,2,C,C08,C08F,C08F4/63912,additional
9639876,0,G,G06,G06Q,G06Q30/0635,inventional
10693386,0,H,H02,H02M,H02M3/3376,inventional
10262914,17,H,H01,H01L,H01L2224/48091,additional
5584056,1,H,H04,H04B,H04B1/406,inventional
4352573,3,B,B01,B01F,B01F2215/0431,additional
7728426,3,H,H01,H01L,H01L2924/15159,additional
6848397,14,Y,Y02,Y02T,Y02T10/12,additional
11433141,1,A,A61,A61K,A61K39/3955,inventional
5435324,0,A,A61,A61B,A61B10/00,inventional
6761487,1,G,G02,G02B,G02B6/3807,inventional
10462969,0,A,A01,A01D,A01D45/02,inventional
11161775,5,C,C03,C03C,C03C8/04,inventional
6763357,2,Y,Y10,Y10S,Y10S707/99932,additional
4134879,2,C,C07,C07D,C07D317/20,inventional
9171499,0,G,G09,G09G,G09G3/3225,inventional
7222939,16,B,B41,B41J,B41J13/12,inventional
11038546,1,H,H03,H03F,H03F1/3247,inventional
10342879,23,C,C12,C12N,C12N2310/351,additional
9223086,5,G,G02,G02F,G02F1/025,inventional
7516590,1,E,E04,E04G,E04G5/02,inventional
10701975,4,A,A24,A24F,A24F40/53,inventional
4045365,3,C,C11,C11D,C11D7/5095,inventional
5056728,0,D,D01,D01H,D01H13/045,inventional
10128849,1,G,G01,G01R,G01R19/16542,inventional
9154434,12,H,H04,H04L,H04L49/9057,inventional
10858302,1,B,B01,B01J,B01J23/80,inventional
9425920,2,H,H03,H03M,H03M13/2707,inventional
5645324,4,B,B60,B60B,B60B7/10,inventional
5314663,10,Y,Y10,Y10T,Y10T436/12,additional
7139280,1,H,H04,H04L,H04L49/90,inventional
8733266,1,B,B63,B63B,B63B1/107,inventional
10267034,41,E,E04,E04C,E04C3/42,inventional
7615705,8,Y,Y10,Y10T,Y10T29/49165,additional
6870467,2,G,G07,G07C,G07C9/00658,inventional
4439764,2,G,G01,G01R,G01R21/00,inventional
10993642,34,A,A61,A61M,A61M2005/1585,additional
6261864,6,H,H01,H01L,H01L2224/32245,additional
11414566,2,C,C08,C08G,C08G77/12,inventional
5304734,1,G,G10,G10H,G10H2250/451,additional
6717067,25,H,H05,H05K,H05K2201/09845,additional
10347392,3,B,B29,B29C,B29C48/34,inventional
9845280,5,C,C07,C07C,C07C51/36,inventional
4096849,1,F,F24,F24B,F24B1/193,inventional
4186624,1,F,F16,F16H,F16H37/0813,inventional
8991630,0,B,B65,B65D,B65D45/00,inventional
8883324,2,C,C07,C07C,C07C211/58,inventional
9924229,6,H,H04,H04N,H04N21/2541,additional
5251523,17,Y,Y10,Y10T,Y10T83/9454,additional
7792474,3,G,G03,G03G,G03G2215/00548,additional
10902886,4,G,G11,G11C,G11C7/12,inventional
6538009,15,A,A61,A61P,A61P11/16,inventional
7989104,6,Y,Y02,Y02E,Y02E60/10,additional
11274714,5,F,F16,F16D,F16D2121/04,additional
7068550,1,G,G11,G11C,G11C7/1006,inventional
7962424,0,G,G06,G06F,G06F21/105,inventional
4654160,0,C,C23,C23G,C23G5/02819,inventional
10290596,12,H,H01,H01L,H01L2224/05556,additional
6786417,0,G,G06,G06K,G06K19/07732,inventional
11249649,6,G,G11,G11C,G11C5/04,inventional
5286395,3,C,C10,C10N,C10N2040/02,additional
6499931,0,B,B65,B65F,B65F3/08,inventional
8902150,5,G,G09,G09G,G09G2320/0626,additional
10768500,6,G,G02,G02B,G02B2027/0118,additional
4995386,2,A,A61,A61M,A61M2205/076,additional
9742163,7,H,H01,H01H,H01H33/55,additional
7361315,10,B,B01,B01L,B01L2400/086,additional
8675072,0,H,H04,H04N,H04N7/181,inventional
5951431,2,F,F16,F16H,F16H2048/382,additional
5064884,1,C,C08,C08L,C08L35/00,additional
6248951,5,H,H01,H01L,H01L2924/00014,additional
7931683,7,Y,Y10,Y10T,Y10T428/24926,additional
9762558,3,H,H04,H04L,H04L63/061,inventional
5082422,3,F,F21,F21Y,F21Y2115/10,additional
10685894,2,H,H01,H01L,H01L23/3135,inventional
7696065,7,H,H01,H01L,H01L21/78,inventional
4627841,1,A,A61,A61M,A61M25/0631,inventional
10358071,2,B,B60,B60N,B60N2/366,inventional
10721985,14,B,B32,B32B,B32B2250/40,additional
8674097,1,A,A61,A61P,A61P3/00,inventional
9896414,4,C,C01,C01B,C01B32/194,inventional
9381384,0,A,A62,A62B,A62B1/08,inventional
11013769,25,A,A61,A61K,A61K2039/55538,additional
4079853,2,B,B65,B65D,B65D5/2019,inventional
10030686,6,F,F16,F16B,F16B31/021,additional
10875369,2,B,B60,B60D,B60D1/18,inventional
6841473,2,H,H01,H01L,H01L21/76858,inventional
8383124,13,A,A61,A61P,A61P37/00,inventional
7171115,1,G,G03,G03B,G03B17/48,inventional
7898783,0,G,G05,G05F,G05F3/08,inventional
7820441,0,C,C12,C12N,C12N15/86,inventional
9155887,1,A,A61,A61N,A61N1/36038,inventional
5805372,1,G,G11,G11B,G11B5/5508,inventional
10447610,26,H,H04,H04L,H04L63/104,additional
9853895,2,H,H04,H04L,H04L69/22,inventional
10135154,13,H,H04,H04W,H04W72/042,inventional
4854065,0,F,F41,F41A,F41A17/82,inventional
8343395,2,B,B22,B22F,B22F2999/00,additional
8202402,4,C,C02,C02F,C02F1/16,inventional
10266592,25,C,C12,C12N,C12N5/0636,inventional
10551740,1,C,C03,C03C,C03C3/045,inventional
4786084,1,G,G02,G02B,G02B5/32,inventional
10334267,7,H,H04,H04N,H04N19/567,additional
6053906,3,A,A61,A61B,A61B2017/00017,additional
5978184,2,G,G11,G11B,G11B5/3163,additional
5380328,18,A,A61,A61F,A61F2310/00413,additional
6339734,5,B,B64,B64G,B64G1/283,additional
8614813,9,H,H04,H04N,H04N2201/0039,additional
6067126,3,G,G11,G11B,G11B27/032,additional
5839641,0,B,B23,B23K,B23K3/0623,inventional
5309339,2,B,B23,B23K,B23K26/064,inventional
10214293,5,F,F05,F05D,F05D2300/512,additional
8812979,4,Y,Y02,Y02B,Y02B90/20,additional
8096734,1,Y,Y10,Y10T,Y10T407/1715,additional
5401640,2,G,G01,G01N,G01N21/76,inventional
8597796,28,Y,Y10,Y10T,Y10T428/31786,additional
8879567,0,H,H04,H04W,H04W36/22,inventional
8670415,4,H,H04,H04W,H04W36/30,additional
5024533,4,G,G01,G01J,G01J5/08,inventional
6641649,0,C,C04,C04B,C04B28/26,inventional
10024549,1,F,F24,F24D,F24D3/127,inventional
7307205,4,Y,Y10,Y10T,Y10T29/49879,additional
10726324,0,G,G06,G06K,G06K19/07783,inventional
9340640,7,C,C08,C08G,C08G18/6674,inventional
8961769,1,B,B01,B01D,B01D61/422,inventional
9239458,6,Y,Y10,Y10S,Y10S977/774,additional
8633914,0,G,G06,G06F,G06F3/0444,inventional
10640684,10,G,G02,G02F,G02F1/133308,inventional
11448809,7,G,G02,G02F,G02F1/13362,inventional
