patent_id,sequence,disamb_inventor_id_20170808,disamb_inventor_id_20171003,disamb_inventor_id_20171226,disamb_inventor_id_20180528,disamb_inventor_id_20181127,disamb_inventor_id_20190312,disamb_inventor_id_20190820,disamb_inventor_id_20191008,disamb_inventor_id_20191231,disamb_inventor_id_20200331,disamb_inventor_id_20200630,disamb_inventor_id_20200929,disamb_inventor_id_20201229,disamb_inventor_id_20211230,disamb_inventor_id_20220630,disamb_inventor_id_20220929
6805866,2,6805866-3,6805866-3,6805866-3,6805866-3,6805866-3,6805866-3,6805866-3,6805866-3,6805866-3,6805866-3,6805866-3,6805866-3,fl:a_ln:miller-98,fl:an_ln:miller-24,fl:an_ln:miller-19,fl:an_ln:miller-16
9122169,2,4433902-3,4718903-7,9122169-3,6144643-1,10021763-5,6144643-1,6144643-1,6144643-1,6144643-1,6144643-1,6144643-1,6144643-1,fl:s_ln:kim-2431,fl:su_ln:kim-979,fl:su_ln:kim-563,fl:su_ln:kim-565
4822351,0,4822351-1,4822351-1,4822351-1,4822351-1,4822351-1,4822351-1,4822351-1,4822351-1,4822351-1,4822351-1,4822351-1,4822351-1,fl:b_ln:purcell-2,fl:br_ln:purcell-5,fl:br_ln:purcell-3,fl:br_ln:purcell-3
4889615,1,4621070-2,4621070-2,4621070-2,4621070-2,10047304-16,4621070-2,4621070-2,4621070-2,4621070-2,4621070-2,4621070-2,4621070-2,fl:i_ln:johnson-5,fl:iv_ln:johnson-1,fl:iv_ln:johnson-1,fl:iv_ln:johnson-1
4527178,1,4405371-4,4405371-4,4405371-4,4405371-4,4405371-4,4405371-4,4405371-4,4405371-4,4405371-4,4405371-4,4405371-4,4405371-4,fl:t_ln:sato-30,fl:te_ln:sato-10,fl:te_ln:sato-7,fl:te_ln:sato-7
7254768,1,6542977-1,4579062-2,6542977-1,6542977-1,6542977-1,6542977-1,6542977-1,4055823-1,6542977-1,4055823-1,4579062-2,6542977-1,fl:e_ln:andersen-35,fl:er_ln:andersen-16,fl:er_ln:andersen-12,fl:er_ln:andersen-12
8558486,1,3954191-2,3954191-2,3954191-2,3954191-2,3954191-2,3954191-2,3954191-2,3954191-2,3954191-2,3954191-2,3954191-2,3954191-2,fl:g_ln:ryding-2,fl:ge_ln:ryding-1,fl:ge_ln:ryding-1,fl:ge_ln:ryding-1
9415385,2,4780193-4,4780193-4,4780193-4,4780193-4,10000712-3,4780193-4,4780193-4,4780193-4,4780193-4,4780193-4,4780193-4,4780193-4,fl:w_ln:tracy-1,fl:wi_ln:tracy-1,fl:wi_ln:tracy-1,fl:wi_ln:tracy-1
4354717,0,4054815-2,4054815-2,4054815-2,4054815-2,4054815-2,4054815-2,4054815-2,4054815-2,4054815-2,4054815-2,4054815-2,4054815-2,fl:w_ln:rech-3,fl:we_ln:rech-1,fl:we_ln:rech-1,fl:we_ln:rech-1
D821858,1,,,,,D821858-2,8341916-5,8341916-5,8341916-5,8341916-5,8341916-5,8341916-5,8341916-5,fl:n_ln:engstrom-2,fl:ni_ln:engstrom-2,fl:ni_ln:engstrom-2,fl:ni_ln:engstrom-2
