patent_id,sequence,disamb_inventor_id_20170808,disamb_inventor_id_20171003,disamb_inventor_id_20171226,disamb_inventor_id_20180528,disamb_inventor_id_20181127,disamb_inventor_id_20190312,disamb_inventor_id_20190820,disamb_inventor_id_20191008,disamb_inventor_id_20191231,disamb_inventor_id_20200331,disamb_inventor_id_20200630,disamb_inventor_id_20200929,disamb_inventor_id_20201229,disamb_inventor_id_20211230,disamb_inventor_id_20220630,disamb_inventor_id_20220929
D872272,1,,,,,,,,,,D454732-2,D454732-2,D454732-2,fl:a_ln:ponholzer-1,fl:an_ln:ponholzer-1,fl:an_ln:ponholzer-1,fl:an_ln:ponholzer-1
8454634,6,6837848-4,6837848-4,6837848-4,6837848-4,10112045-6,6837848-4,6837848-4,6837848-4,6837848-4,6837848-4,6837848-4,6837848-4,fl:r_ln:usher-2,fl:ra_ln:usher-1,fl:ra_ln:usher-1,fl:ra_ln:usher-1
9209147,3,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,9165904-2,fl:z_ln:poh-1,fl:zi_ln:poh-1,fl:zi_ln:poh-1,fl:zi_ln:poh-1
7975207,3,5045714-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,5608532-1,fl:h_ln:park-383,fl:hy_ln:park-260,fl:hy_ln:park-153,fl:hy_ln:park-216
D630803,1,8074969-2,8074969-2,8074969-2,8074969-2,8074969-2,D538484-1,D538484-1,D538484-1,D538484-1,D538484-1,D538484-1,D538484-1,fl:k_ln:xin-1,fl:ke_ln:xin-1,fl:ke_ln:xin-1,fl:ke_ln:xin-1
5374711,1,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,4172829-5,5237055-2,fl:h_ln:yamashita-1,fl:ha_ln:yamashita-11,fl:ha_ln:yamashita-11,fl:ha_ln:yamashita-11
D323874,1,7293661-1,7293661-1,7293661-1,7293661-1,7293661-1,D323874-2,D323874-2,D323874-2,D323874-2,D323874-2,D323874-2,D323874-2,fl:b_ln:saaski-1,fl:br_ln:saaski-1,fl:br_ln:saaski-1,fl:br_ln:saaski-1
D783668,1,D711427-3,D711427-3,D711427-3,9979890-5,10073584-10,D711427-3,D711427-3,D711427-3,D711427-3,D711427-3,D711427-3,D753678-2,fl:p_ln:lopez-14,fl:pa_ln:lopez-10,fl:pa_ln:lopez-9,fl:pa_ln:lopez-9
7462686,3,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,7462686-4,fl:u_ln:goransson-1,fl:ul_ln:goransson-1,fl:ul_ln:goransson-1,fl:ul_ln:goransson-1
9217190,0,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9194024-1,9217190-1,fl:j_ln:butler-65,fl:jo_ln:butler-14,fl:jo_ln:butler-17,fl:jo_ln:butler-17
7933050,0,6883046-2,6883046-2,6883046-2,6883046-2,10051138-1,6883046-2,6883046-2,6883046-2,6883046-2,6883046-2,6883046-2,6883046-2,fl:c_ln:liao-229,fl:ch_ln:liao-300,fl:ch_ln:liao-264,fl:ch_ln:liao-260
8703369,0,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,8703369-1,fl:n_ln:spaziani-1,fl:ni_ln:spaziani-1,fl:ni_ln:spaziani-1,fl:ni_ln:spaziani-1
6904255,3,4491851-1,4491851-1,5867758-3,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,4491851-1,fl:t_ln:mizuno-87,fl:ts_ln:mizuno-4,fl:ts_ln:mizuno-3,fl:ts_ln:mizuno-3
D510962,0,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,D478362-1,fl:t_ln:nakase-5,fl:ta_ln:nakase-3,fl:ta_ln:nakase-3,fl:ta_ln:nakase-3
10251144,2,,,,,,,10251144-3,10251144-3,10251144-3,10251144-3,10251144-3,10251144-3,fl:j_ln:collier-4,fl:ja_ln:collier-2,fl:ja_ln:collier-3,fl:ja_ln:collier-3
6707148,0,6707148-1,6707148-1,6707148-1,6707148-1,6707148-1,6707148-1,6707148-1,6707148-1,6707148-1,6707148-1,6707148-1,6707148-1,nonm53448anow0g2rb4w5w6dd,nonm53448anow0g2rb4w5w6dd,nonm53448anow0g2rb4w5w6dd,nonm53448anow0g2rb4w5w6dd
5581498,0,5581498-1,5581498-1,5581498-1,5581498-1,10078137-1,5581498-1,5581498-1,5581498-1,5581498-1,5581498-1,5581498-1,5581498-1,fl:d_ln:ludwig-15,fl:da_ln:ludwig-21,fl:da_ln:ludwig-15,fl:da_ln:ludwig-15
4905052,2,4905052-3,4905052-3,4905052-3,4905052-3,4905052-3,4905052-3,4905052-3,4905052-3,4905052-3,4905052-3,4905052-3,4905052-3,fl:s_ln:durland-1,fl:sc_ln:durland-1,fl:sc_ln:durland-1,fl:sc_ln:durland-1
D758811,0,6981597-1,6981597-1,6981597-1,6981597-1,6981597-1,6981597-1,6981597-1,6981597-1,6981597-1,6981597-1,6981597-1,6981597-1,fl:j_ln:cash-12,fl:ja_ln:cash-8,fl:ja_ln:cash-4,fl:ja_ln:cash-4
7163784,0,5372975-3,5372975-3,5372975-3,5372975-3,5372975-3,5372975-3,5372975-3,5372975-3,5372975-3,5372975-3,5372975-3,5372975-3,fl:t_ln:kondo-96,fl:to_ln:kondo-57,fl:to_ln:kondo-41,fl:to_ln:kondo-41
6706511,1,6461850-2,6461850-2,6461850-2,6461850-2,6461850-2,6461850-2,6461850-2,6461850-2,6461850-2,6461850-2,6461850-2,6461850-2,fl:z_ln:li-168,fl:zh_ln:li-376,fl:zh_ln:li-53,fl:zh_ln:li-629
10992940,0,,,,,,,,,,,,,,fl:ya_ln:syed-3,fl:ya_ln:syed-1,fl:ya_ln:syed-1
6105641,1,5386860-3,5386860-3,5386860-3,5386860-3,5386860-3,5386860-3,5386860-3,5386860-3,5386860-3,5386860-3,5386860-3,5386860-3,fl:j_ln:malin-5,fl:je_ln:malin-1,fl:je_ln:malin-1,fl:je_ln:malin-1
9493472,10,5504189-8,5504189-8,5504189-8,5504189-8,5504189-8,5504189-8,5504189-8,5504189-8,5504189-8,5504189-8,5504189-8,5504189-8,fl:b_ln:riedl-2,fl:be_ln:riedl-3,fl:be_ln:riedl-3,fl:be_ln:riedl-3
4463361,3,4463361-4,4463361-4,4463361-4,4463361-4,10004046-2,4463361-4,4463361-4,4463361-4,4463361-4,4463361-4,4463361-4,4463361-4,fl:h_ln:suzuki-93,fl:hi_ln:suzuki-40,fl:hi_ln:suzuki-55,fl:hi_ln:suzuki-56
8791534,2,5938941-3,5938941-3,5938941-3,5938941-3,5938941-3,5938941-3,5938941-3,5938941-3,5938941-3,5938941-3,5938941-3,5938941-3,fl:k_ln:nagahara-5,fl:ki_ln:nagahara-3,fl:ki_ln:nagahara-2,fl:ki_ln:nagahara-2
D881230,2,,,,,,,,,,,D868819-3,D868819-3,fl:n_ln:bragg-1,fl:no_ln:bragg-1,fl:no_ln:bragg-1,fl:no_ln:bragg-1
10632235,6,,,,,,,,,,,6221855-1,6221855-1,fl:w_ln:wagner-39,fl:wi_ln:wagner-4,fl:wi_ln:wagner-5,fl:wi_ln:wagner-5
8541646,6,6761883-4,6761883-4,6761883-4,8541646-7,10123518-5,8541646-7,8541646-7,8541646-7,6761883-4,6761883-4,8541646-7,6761883-4,fl:m_ln:manz-1,fl:ma_ln:manz-1,fl:ma_ln:manz-1,fl:ma_ln:manz-1
9098511,6,7558769-3,7558769-3,7558769-3,7558769-3,10133809-7,7558769-3,7558769-3,7558769-3,7558769-3,7558769-3,7558769-3,7558769-3,fl:j_ln:hylton-5,fl:je_ln:hylton-1,fl:je_ln:hylton-1,fl:je_ln:hylton-1
5659397,0,5659397-1,5659397-1,5659397-1,5659397-1,5659397-1,5659397-1,5659397-1,5659397-1,5659397-1,5659397-1,5659397-1,5659397-1,fl:e_ln:miller-99,fl:ed_ln:miller-29,fl:ed_ln:miller-25,fl:ed_ln:miller-25
8552746,1,7072533-1,7072533-1,7072533-1,7072533-1,7072533-1,7072533-1,7072533-1,7072533-1,7072533-1,7072533-1,7072533-1,7072533-1,fl:j_ln:krier-1,fl:ja_ln:krier-1,fl:ja_ln:krier-1,fl:ja_ln:krier-1
9299527,0,5847437-1,5847437-1,5847437-1,5847437-1,5847437-1,5847437-1,5847437-1,5847437-1,5847437-1,5847437-1,5847437-1,5847437-1,fl:l_ln:chang-28,fl:li_ln:chang-17,fl:li_ln:chang-7,fl:li_ln:chang-7
10163867,5,,,,,,8873272-1,8873272-1,8873272-1,8873272-1,8873272-1,8873272-1,8873272-1,fl:j_ln:lee-1885,fl:ja_ln:lee-852,fl:ja_ln:lee-587,fl:ja_ln:lee-444
7868988,1,5635865-1,5635865-1,5635865-1,5635865-1,10025149-2,5635865-1,5635865-1,5635865-1,5635865-1,5635865-1,5635865-1,5635865-1,fl:s_ln:moon-123,fl:se_ln:moon-53,fl:se_ln:moon-44,fl:se_ln:moon-42
9415567,4,5788707-3,5788707-3,5788707-3,9415567-5,5788707-3,5788707-3,5788707-3,5788707-3,5788707-3,5788707-3,5788707-3,5788707-3,fl:s_ln:shoemaker-1,fl:su_ln:shoemaker-2,fl:su_ln:shoemaker-2,fl:su_ln:shoemaker-2
5469248,0,4458161-2,4458161-2,4458161-2,4302372-1,4458161-2,4458161-2,4458161-2,4458161-2,4458161-2,4458161-2,4458161-2,4458161-2,fl:s_ln:fujiwara-58,fl:sh_ln:fujiwara-41,fl:sh_ln:fujiwara-34,fl:sh_ln:fujiwara-26
5525124,0,4504273-2,4504273-2,4504273-2,4504273-2,4504273-2,4504273-2,4504273-2,4504273-2,4504273-2,4504273-2,4504273-2,5525124-1,fl:j_ln:landre-3,fl:je_ln:landre-1,fl:je_ln:landre-1,fl:je_ln:landre-1
D765933,0,8931669-1,8931669-1,8931669-1,D744185-1,8931669-1,8931669-1,8931669-1,8931669-1,8931669-1,8931669-1,8931669-1,8931669-1,fl:a_ln:bajuyo-1,fl:an_ln:bajuyo-1,fl:an_ln:bajuyo-1,fl:an_ln:bajuyo-1
9026957,0,4085063-1,8562843-1,8562843-1,8562843-1,8562843-1,8562843-1,8562843-1,8562843-1,8562843-1,8562843-1,8562843-1,8562843-1,fl:c_ln:liu-221,fl:ch_ln:liu-305,fl:ch_ln:liu-136,fl:ch_ln:liu-134
5556327,1,5556327-2,5556327-2,5556327-2,5556327-2,5556327-2,5556327-2,5556327-2,5556327-2,5556327-2,5556327-2,5556327-2,5556327-2,fl:r_ln:mitrano-1,fl:ri_ln:mitrano-1,fl:ri_ln:mitrano-1,fl:ri_ln:mitrano-1
9583461,0,6342448-1,6342448-1,6342448-1,6342448-1,10008463-1,6342448-1,6342448-1,6342448-1,6342448-1,6342448-1,6342448-1,6342448-1,fl:j_ln:lin-314,fl:ji_ln:lin-103,fl:ji_ln:lin-76,fl:ji_ln:lin-56
7525619,3,5943570-3,5943570-3,6818923-3,5943570-3,6818923-3,5943570-3,5943570-3,6818923-3,6818923-3,5943570-3,6818923-3,6818923-3,fl:s_ln:nam-113,fl:se_ln:nam-34,fl:se_ln:nam-33,fl:se_ln:nam-27
5523291,2,5523291-3,5523291-3,5523291-3,5523291-3,5523291-3,5523291-3,5523291-3,5523291-3,5523291-3,5523291-3,5523291-3,5523291-3,fl:r_ln:dutrieux-1,fl:ri_ln:dutrieux-1,fl:ri_ln:dutrieux-1,fl:ri_ln:dutrieux-1
D823666,3,,,,,10036156-4,D822471-4,D822471-4,D822471-4,D822471-4,D822471-4,D822471-4,D822471-4,fl:j_ln:hoy-2,fl:jo_ln:hoy-1,fl:jo_ln:hoy-1,fl:jo_ln:hoy-1
6351348,1,4996623-2,4996623-2,4996623-2,4996623-2,4996623-2,4996623-2,4996623-2,4996623-2,4996623-2,4996623-2,4996623-2,4996623-2,fl:d_ln:palmer-8,fl:da_ln:palmer-2,fl:da_ln:palmer-4,fl:da_ln:palmer-4
9039766,0,7601232-1,7601232-1,7601232-1,7601232-1,10016198-3,7601232-1,7601232-1,7601232-1,7601232-1,7601232-1,7601232-1,7601232-1,fl:m_ln:fonte-1,fl:ma_ln:fonte-3,fl:ma_ln:fonte-1,fl:ma_ln:fonte-1
4984621,1,4984621-2,4984621-2,4984621-2,4984621-2,4984621-2,4984621-2,4984621-2,4984621-2,4984621-2,4984621-2,4984621-2,4984621-2,fl:l_ln:eaton-17,fl:le_ln:eaton-5,fl:le_ln:eaton-6,fl:le_ln:eaton-6
4841651,0,4841651-1,4841651-1,4841651-1,4841651-1,4841651-1,4841651-1,4841651-1,4841651-1,4841651-1,4841651-1,4841651-1,4841651-1,fl:s_ln:conner-9,fl:st_ln:conner-3,fl:st_ln:conner-7,fl:st_ln:conner-7
4338821,0,4338821-1,4338821-1,4338821-1,4338821-1,4338821-1,4338821-1,4338821-1,4338821-1,4338821-1,4338821-1,4338821-1,4338821-1,fl:j_ln:dion-7,fl:je_ln:dion-2,fl:je_ln:dion-2,fl:je_ln:dion-2
4581145,1,3959167-1,3959167-1,3959167-1,3959167-1,3959167-1,3959167-1,3959167-1,3959167-1,3959167-1,3959167-1,3959167-1,3959167-1,fl:c_ln:hwa-1,fl:ch_ln:hwa-1,fl:ch_ln:hwa-1,fl:ch_ln:hwa-1
8670021,2,8159534-3,8159534-3,8159534-3,8159534-3,8159534-3,8159534-3,8159534-3,8159534-3,8159534-3,8159534-3,8159534-3,8159534-3,fl:v_ln:averyanov-3,fl:va_ln:averyanov-1,fl:va_ln:averyanov-1,fl:va_ln:averyanov-1
6900032,1,6455305-2,6455305-2,6455305-2,6455305-2,6455305-2,6455305-2,6455305-2,6455305-2,6455305-2,6455305-2,6455305-2,6455305-2,fl:l_ln:pei-13,fl:li_ln:pei-14,fl:li_ln:pei-7,fl:li_ln:pei-5
5089824,2,4994812-2,4994812-2,4994812-2,4994812-2,4994812-2,4994812-2,4994812-2,4994812-2,4994812-2,4994812-2,4867226-8,4867226-8,fl:r_ln:hiratsuka-1,fl:ry_ln:hiratsuka-1,fl:ry_ln:hiratsuka-1,fl:ry_ln:hiratsuka-1
6301878,2,6301878-3,6301878-3,6301878-3,6301878-3,6301878-3,6301878-3,6301878-3,6301878-3,6301878-3,6301878-3,6301878-3,6301878-3,fl:j_ln:roessler-5,fl:ju_ln:roessler-2,fl:ju_ln:roessler-2,fl:ju_ln:roessler-2
8870114,2,6474184-1,6474184-1,6474184-1,6474184-1,6474184-1,6474184-1,6474184-1,6474184-1,6474184-1,6474184-1,6474184-1,6474184-1,fl:p_ln:janker-1,fl:pe_ln:janker-1,fl:pe_ln:janker-1,fl:pe_ln:janker-1
10069627,1,,,,,10069627-2,8577809-4,8577809-4,8577809-4,8577809-4,8577809-4,8577809-4,8577809-4,fl:m_ln:wiggers de vries-1,fl:mi_ln:wiggersdevries-1,fl:mi_ln:wiggersdevries-1,fl:mi_ln:wiggersdevries-1
8471751,0,8471751-1,8471751-1,8471751-1,8471751-1,8471751-1,8471751-1,8471751-1,8471751-1,8471751-1,8471751-1,8471751-1,8471751-1,fl:z_ln:wang-673,fl:zh_ln:wang-1062,fl:zh_ln:wang-623,fl:zh_ln:wang-605
4949563,0,4949563-1,4949563-1,4949563-1,4949563-1,4949563-1,4949563-1,4949563-1,4949563-1,4949563-1,4949563-1,4949563-1,4949563-1,fl:p_ln:gerard-2,fl:pr_ln:gerard-1,fl:pr_ln:gerard-1,fl:pr_ln:gerard-1
6716078,0,5945780-6,5945780-6,5945780-6,5945780-6,5945780-6,5945780-6,5945780-6,5945780-6,5945780-6,5945780-6,5945780-6,6716078-1,fl:m_ln:stainer-1,fl:ma_ln:stainer-1,fl:ma_ln:stainer-1,fl:ma_ln:stainer-1
10774424,1,,,,,,,,,,,,,,fl:sv_ln:gothe-1,fl:sv_ln:gothe-1,fl:sv_ln:gothe-1
7058629,0,6892205-1,6892205-1,6892205-1,6892205-1,6892205-1,6892205-1,6892205-1,6892205-1,6892205-1,6892205-1,6892205-1,6892205-1,fl:c_ln:colrain-1,fl:ca_ln:colrain-1,fl:ca_ln:colrain-1,fl:ca_ln:colrain-1
D350190,1,3961624-1,3961624-1,3961624-1,3961624-1,3961624-1,3961624-1,3961624-1,3961624-1,3961624-1,3961624-1,3961624-1,3961624-1,fl:j_ln:weigl-2,fl:ja_ln:weigl-1,fl:ja_ln:weigl-1,fl:ja_ln:weigl-1
4111902,0,3932535-2,3932535-2,3932535-2,3932535-2,3932535-2,3932535-2,3932535-2,3932535-2,3932535-2,3932535-2,3932535-2,3932535-2,fl:h_ln:richtzenhain-1,fl:he_ln:richtzenhain-1,fl:he_ln:richtzenhain-1,fl:he_ln:richtzenhain-1
11178521,2,,,,,,,,,,,,,,fl:os_ln:guerra-1,fl:os_ln:guerra-1,fl:os_ln:guerra-1
9440302,1,4283158-1,6586699-2,6586699-2,4283158-1,5239553-4,4283158-1,4283158-1,4283158-1,4283158-1,4283158-1,4283158-1,4283158-1,fl:k_ln:takahata-19,fl:ke_ln:takahata-3,fl:ke_ln:takahata-3,fl:ke_ln:takahata-3
8050557,0,4105937-2,4105937-2,4105937-2,4105937-2,10031584-1,4105937-2,4105937-2,4105937-2,4105937-2,4105937-2,4105937-2,4105937-2,fl:k_ln:shimizu-97,fl:ka_ln:shimizu-49,fl:ka_ln:shimizu-47,fl:ka_ln:shimizu-44
10979280,3,,,,,,,,,,,,,,fl:pa_ln:rangain-1,fl:pa_ln:rangain-1,fl:pa_ln:rangain-1
5371056,1,4963521-3,4963521-3,4963521-3,4963521-3,4963521-3,4963521-3,4963521-3,4963521-3,4963521-3,4963521-3,4963521-3,4963521-3,fl:e_ln:lox-1,fl:eg_ln:lox-1,fl:eg_ln:lox-1,fl:eg_ln:lox-1
9119065,1,8068056-1,8068056-1,8068056-1,8068056-1,10009319-2,8068056-1,8068056-1,8068056-1,8068056-1,8068056-1,8068056-1,8068056-1,fl:a_ln:wachter-9,fl:an_ln:wachter-1,fl:an_ln:wachter-1,fl:an_ln:wachter-1
6667628,1,6667628-2,6667628-2,6667628-2,6667628-2,6667628-2,6667628-2,6667628-2,6667628-2,6667628-2,6667628-2,6667628-2,6667628-2,fl:j_ln:stahmer-1,fl:ju_ln:stahmer-1,fl:ju_ln:stahmer-1,fl:ju_ln:stahmer-1
8024934,1,8024934-2,8024934-2,8024934-2,8024934-2,8024934-2,8024934-2,8024934-2,8024934-2,8024934-2,8024934-2,8024934-2,8024934-2,fl:g_ln:peters-26,fl:gw_ln:peters-1,fl:gw_ln:peters-1,fl:gw_ln:peters-1
10585360,0,,,,,,,,,,7494753-3,7494753-3,7494753-3,fl:t_ln:coskun-1,fl:ta_ln:coskun-2,fl:ta_ln:coskun-1,fl:ta_ln:coskun-1
9614558,0,8259874-1,8259874-1,8259874-1,8259874-1,8259874-1,8259874-1,8259874-1,8259874-1,8259874-1,8259874-1,8259874-1,8259874-1,fl:r_ln:qi-12,fl:ro_ln:qi-8,fl:ro_ln:qi-4,fl:ro_ln:qi-4
9545986,0,7909022-2,7909022-2,7909022-2,7909022-2,7909022-2,7909022-2,7909022-2,7909022-2,7909022-2,7909022-2,7909022-2,7909022-2,fl:y_ln:kadobayashi-1,fl:yo_ln:kadobayashi-1,fl:yo_ln:kadobayashi-1,fl:yo_ln:kadobayashi-1
D639629,0,7011000-2,7011000-2,7011000-2,7011000-2,7011000-2,7011000-2,7011000-2,7011000-2,7011000-2,7011000-2,7011000-2,7011000-2,fl:y_ln:torigai-1,fl:yu_ln:torigai-1,fl:yu_ln:torigai-1,fl:yu_ln:torigai-1
9188699,0,8073663-1,8073663-1,9188699-1,9188699-1,8073663-1,8073663-1,8073663-1,8073663-1,8073663-1,8073663-1,8073663-1,8073663-1,fl:d_ln:carruthers-6,fl:da_ln:carruthers-1,fl:da_ln:carruthers-1,fl:da_ln:carruthers-1
D512596,0,D503305-1,D503305-1,D503305-1,D503305-1,D503305-1,D503305-1,D503305-1,D503305-1,D503305-1,D503305-1,D503305-1,D503305-1,fl:c_ln:bjrn-1,fl:ch_ln:bjrn-1,fl:ch_ln:bjrn-1,fl:ch_ln:bjrn-1
5720070,1,5720070-2,5720070-2,5720070-2,5720070-2,5720070-2,5720070-2,5720070-2,5720070-2,5720070-2,5720070-2,5720070-2,5720070-2,fl:w_ln:bonow-1,fl:wi_ln:bonow-1,fl:wi_ln:bonow-1,fl:wi_ln:bonow-1
5812915,0,5812915-1,5812915-1,5812915-1,5812915-1,5812915-1,5812915-1,5812915-1,5812915-1,5812915-1,5812915-1,5812915-1,5812915-1,fl:r_ln:farkash-2,fl:ro_ln:farkash-2,fl:ro_ln:farkash-2,fl:ro_ln:farkash-2
11282685,6,,,,,,,,,,,,,,,fl:jo_ln:voss-5,fl:jo_ln:voss-5
6062177,2,4866846-3,4866846-3,4866846-3,4866846-3,4866846-3,4866846-3,4866846-3,4866846-3,4866846-3,4866846-3,4866846-3,4866846-3,fl:d_ln:angstenberger-1,fl:di_ln:angstenberger-1,fl:di_ln:angstenberger-1,fl:di_ln:angstenberger-1
5415482,1,5372439-2,5372439-2,5372439-2,5372439-2,5372439-2,5372439-2,5372439-2,5372439-2,5372439-2,5372439-2,5372439-2,5415482-2,fl:j_ln:kaufman-9,fl:je_ln:kaufman-9,fl:je_ln:kaufman-9,fl:je_ln:kaufman-9
D639482,0,7413325-1,7413325-1,6719442-1,6719442-1,6719442-1,D445209-1,D445209-1,D445209-1,D445209-1,D445209-1,D445209-1,D639482-1,fl:c_ln:chen-1040,fl:ch_ln:chen-2085,fl:ch_ln:chen-1179,fl:ch_ln:chen-1143
5234861,2,5017999-3,5017999-3,5017999-3,5017999-3,5017999-3,5017999-3,5017999-3,5017999-3,5017999-3,5017999-3,5017999-3,5017999-3,fl:j_ln:straight-2,fl:jo_ln:straight-1,fl:jo_ln:straight-1,fl:jo_ln:straight-1
7659149,1,6086443-2,7387865-1,6960425-3,6960425-3,6960425-3,6960425-3,6960425-3,6960425-3,6960425-3,6960425-3,6960425-3,6960425-3,fl:s_ln:jung-115,fl:su_ln:jung-91,fl:su_ln:jung-47,fl:su_ln:jung-52
11042744,2,,,,,,,,,,,,,,fl:ta_ln:oguchi-11,fl:ta_ln:oguchi-8,fl:ta_ln:oguchi-8
11058654,1,,,,,,,,,,,,,,fl:ma_ln:russell-14,fl:ma_ln:russell-12,fl:ma_ln:russell-12
11238542,6,,,,,,,,,,,,,,fl:sa_ln:rodriguez-3,fl:sa_ln:rodriguez-4,fl:sa_ln:rodriguez-4
6433471,0,5227328-1,5227328-1,5227328-1,5227328-1,10037998-2,5227328-1,5227328-1,5227328-1,5227328-1,5227328-1,5227328-1,5237436-1,fl:b_ln:khan-3,fl:ba_ln:khan-2,fl:ba_ln:khan-1,fl:ba_ln:khan-1
10456291,3,,,,,,,,,10456291-4,10456291-4,10456291-4,10456291-4,fl:c_ln:giuliani-5,fl:ch_ln:giuliani-1,fl:ch_ln:giuliani-1,fl:ch_ln:giuliani-1
10156028,0,,,,,,10156028-1,10156028-1,10156028-1,10156028-1,10156028-1,10156028-1,10156028-1,fl:p_ln:stoessel-2,fl:ph_ln:stoessel-2,fl:ph_ln:stoessel-2,fl:ph_ln:stoessel-2
6835815,0,5646008-3,5646008-3,5646008-3,5646008-3,5646008-3,5646008-3,5646008-3,5646008-3,5646008-3,5646008-3,5646008-3,6835815-1,fl:g_ln:nunez-7,fl:ga_ln:nunez-1,fl:ga_ln:nunez-1,fl:ga_ln:nunez-1
8643948,0,4998786-2,4998786-2,4998786-2,4998786-2,10048499-1,4998786-2,4998786-2,4998786-2,4998786-2,4998786-2,4998786-2,4998786-2,fl:y_ln:amitai-1,fl:ya_ln:amitai-2,fl:ya_ln:amitai-1,fl:ya_ln:amitai-1
9902709,3,,,,9902709-4,9902709-4,9902709-4,9902709-4,9902709-4,9902709-4,9902709-4,9902709-4,9902709-4,fl:s_ln:lin-722,fl:so_ln:lin-31,fl:so_ln:lin-4,fl:so_ln:lin-4
7179361,1,4144303-3,4144303-3,4144303-3,4144303-3,10007949-1,4144303-3,4144303-3,4144303-3,4144303-3,4144303-3,4381956-1,4381956-1,fl:r_ln:lane-52,fl:ri_ln:lane-16,fl:ri_ln:lane-9,fl:ri_ln:lane-9
D618061,2,4509543-1,4509543-1,4509543-1,4509543-1,4509543-1,4509543-1,4509543-1,4509543-1,4509543-1,4509543-1,4509543-1,4509543-1,fl:j_ln:livingston-8,fl:ja_ln:livingston-5,fl:ja_ln:livingston-6,fl:ja_ln:livingston-6
6128975,0,5003681-1,5003681-1,5003681-1,5003681-1,5003681-1,5003681-1,5003681-1,5003681-1,5003681-1,5003681-1,5003681-1,5003681-1,fl:p_ln:schley-1,fl:pa_ln:schley-1,fl:pa_ln:schley-1,fl:pa_ln:schley-1
10508795,0,,,,,,,,,D605329-5,D605329-5,D605329-5,10508795-1,fl:e_ln:vice-2,fl:ed_ln:vice-1,fl:ed_ln:vice-1,fl:ed_ln:vice-1
7581530,6,6843233-6,6843233-6,7581530-7,6843233-6,6843233-6,6843233-6,6843233-6,6843233-6,6843233-6,6843233-6,6843233-6,6871634-6,fl:c_ln:olivier-8,fl:ce_ln:olivier-1,fl:ce_ln:olivier-1,fl:ce_ln:olivier-1
11362527,3,,,,,,,,,,,,,,,fl:yu_ln:liu-478,fl:yu_ln:liu-386
9816441,3,,,4546605-2,4546605-2,10001059-2,4546605-2,4546605-2,4546605-2,4546605-2,4546605-2,4546605-2,4546605-2,fl:g_ln:suciu-1,fl:ga_ln:suciu-2,fl:ga_ln:suciu-2,fl:ga_ln:suciu-2
9652694,0,5933385-1,5602502-1,5933385-1,5933385-1,10075355-4,5933385-1,5933385-1,5933385-1,5933385-1,5933385-1,5933385-1,6010856-3,fl:y_ln:jiang-207,fl:yo_ln:jiang-45,fl:yo_ln:jiang-18,fl:yo_ln:jiang-25
7168297,6,5377225-1,5377225-1,5428610-1,5428610-1,10050970-1,4994369-2,4994369-2,5428610-1,5428610-1,5428610-1,5428610-1,5428610-1,fl:m_ln:davis-95,fl:ma_ln:davis-83,fl:ma_ln:davis-50,fl:ma_ln:davis-51
10006543,3,,,,,10006543-4,9458917-2,9458917-2,9458917-2,9458917-2,9458917-2,9458917-2,9458917-2,fl:c_ln:mcmahon-9,fl:ch_ln:mcmahon-4,fl:ch_ln:mcmahon-2,fl:ch_ln:mcmahon-2
10240504,2,,,,,,,4979674-4,4979674-4,4979674-4,4979674-4,4979674-4,5165851-3,fl:a_ln:kunishima-1,fl:ak_ln:kunishima-1,fl:ak_ln:kunishima-1,fl:ak_ln:kunishima-1
10060816,6,,,,,10060816-7,7832279-2,7832279-2,7832279-2,7832279-2,7832279-2,7832279-2,7832279-2,fl:b_ln:binder-5,fl:bo_ln:binder-1,fl:bo_ln:binder-1,fl:bo_ln:binder-1
11101865,0,,,,,,,,,,,,,,fl:ha_ln:park-266,fl:ha_ln:park-214,fl:ha_ln:park-216
D461807,0,6247944-2,6247944-2,6247944-2,6247944-2,6247944-2,D405987-1,D405987-1,D405987-1,D405987-1,D405987-1,D405987-1,D405987-1,fl:k_ln:kuehn-2,fl:ke_ln:kuehn-2,fl:ke_ln:kuehn-2,fl:ke_ln:kuehn-2
