application_id,patent_id,patent_application_type,filing_date,series_code,rule_47_flag
2017/29591690,D830858,29,2017-01-23,D,0.0
2011/13168242,8407908,13,2011-06-24,13,0.0
2004/11020032,7528578,11,2004-12-23,11,0.0
2007/11942088,7657398,11,2007-11-19,11,0.0
09/088000,5943218,9,1998-06-01,9,0.0
2016/15348575,10806537,15,2016-11-10,15,0.0
06/296045,4415811,6,1981-08-25,6,0.0
2002/10065816,7004622,10,2002-11-22,10,0.0
2014/14525712,10217617,14,2014-10-28,14,0.0
2012/13483399,8513432,13,2012-05-30,13,0.0
2003/10533650,8348115,10,2003-11-04,10,0.0
2016/15382840,9933693,15,2016-12-19,15,0.0
10/113315,6832735,10,2002-03-29,10,0.0
2018/15958064,10348164,15,2018-04-20,15,0.0
08/197326,5454144,8,1994-02-16,8,0.0
2006/11912476,7920659,11,2006-04-24,11,0.0
09/401242,6317914,9,1999-09-23,9,0.0
09/808785,6423557,9,2001-03-15,9,0.0
8                                   ,5798740,08,1995-11-15,08,0.0
06/137834,4289277,6,1980-04-07,6,0.0
2006/11912481,8086934,11,2006-04-20,11,0.0
09/290867,6624433,9,1999-04-14,9,0.0
2005/11221045,7572714,11,2005-09-06,11,0.0
2018/16008676,10343968,16,2018-06-14,16,0.0
2011/13297598,8648937,13,2011-11-16,13,0.0
2020/16790106,11076563,16,2020-02-13,16,0.0
08/054138,5541430,8,1993-04-30,8,0.0
2006/11375327,7497915,11,2006-03-14,11,0.0
07/296437,4917248,7,1989-01-12,7,0.0
2014/14781378,10615121,14,2014-04-08,14,0.0
2004/10897449,7321156,10,2004-07-22,10,0.0
08/496640,5654982,8,1995-06-29,8,0.0
2021/17224401,11410378,17,2021-04-07,17,0.0
2009/12479502,7988193,12,2009-06-05,12,0.0
08/152854,5438618,8,1993-11-15,8,0.0
2019/16685484,11177578,16,2019-11-15,16,0.0
09/029351,6099714,9,1998-02-24,9,0.0
2010/12754027,8441620,12,2010-04-05,12,0.0
2014/14203520,9800650,14,2014-03-10,14,0.0
2012/14116923,9746470,14,2012-05-09,14,0.0
2016/15239813,10531276,15,2016-08-17,15,0.0
29/157550,D467538,29,2002-03-22,29,0.0
2013/13940662,9045288,13,2013-07-12,13,0.0
2003/10701823,6907978,10,2003-11-05,10,0.0
2014/29502587,D730605,29,2014-09-17,29,0.0
2004/10957435,7098661,10,2004-10-01,10,0.0
2020/16902146,11196200,16,2020-06-15,16,0.0
2012/13631783,8612607,13,2012-09-28,13,0.0
2016/16078957,10348216,16,2016-08-09,16,0.0
06/485687,4458063,6,1983-04-18,6,0.0
2005/11159171,7273001,11,2005-06-23,11,0.0
2016/15214341,10643186,15,2016-07-19,15,0.0
2011/13064130,8697342,13,2011-03-08,13,0.0
2020/16876887,11015786,16,2020-05-18,16,0.0
2018/15982597,11141816,15,2018-05-17,15,0.0
2016/15144738,9589617,15,2016-05-02,15,0.0
06/768873,4791370,6,1985-08-23,6,0.0
06/089691,4278564,6,1979-10-30,6,0.0
2012/13548511,8918025,13,2012-07-13,13,0.0
06/524898,4478194,6,1983-08-19,6,0.0
2004/10769995,7339975,10,2004-02-03,10,0.0
07/965338,5309164,7,1992-10-23,7,0.0
09/316003,6216564,9,1999-05-21,9,0.0
2015/29540137,D769579,29,2015-09-21,29,0.0
2017/15432396,10194535,15,2017-02-14,15,0.0
05/450196,3997701,5,1974-03-11,5,0.0
2018/15992132,10572229,15,2018-05-29,15,0.0
2018/29650494,D880070,29,2018-06-07,D,0.0
2014/15115615,10106829,15,2014-12-11,15,0.0
05/597117,4034129,5,1975-07-18,5,0.0
2002/10256991,7110485,10,2002-09-26,10,0.0
09/010232,6248557,9,1998-01-21,9,0.0
06/473616,4470762,6,1983-03-09,6,0.0
08/768442,6167505,8,1996-12-18,8,0.0
09/094030,6469996,9,1998-06-09,9,0.0
