patent_id,published_or_filed_date,filed_country,application_kind,pct_doc_number,pct_doc_type
10279390,2015-11-19,WO,A,WO2015/173043,wo_grant
8029765,2005-07-21,WO,A,WO2005/065241,wo_grant
9560512,2014-08-28,WO,A,WO2014/130092,wo_grant
9779718,2015-02-18,WO,00,PCT/EP2015/053413,pct_application
8565582,2008-08-06,WO,00,PCT/JP2008/064152,pct_application
8106434,2006-06-29,WO,A,WO2006/067678,wo_grant
10150946,2014-08-28,WO,A,WO2014/128500,wo_grant
11208301,2018-05-14,WO,00,PCT/EP2018/062380,pct_application
8207691,2006-04-07,WO,00,PCT/NL2006/000182,pct_application
10920210,2016-12-14,WO,00,PCT/KR2016/014679,pct_application
11230910,2018-08-09,WO,A,WO2018/142118,wo_grant
5307957,1991-02-22,WO,00,PCT/SE91/00138,pct_application
7157182,2002-12-27,WO,A,WO02/103821,wo_grant
7198802,2001-06-29,WO,00,PCT/CZ01/00037,pct_application
9991481,2014-12-04,WO,A,WO2014/192723,wo_grant
9619279,2005-08-18,WO,00,PCT/EP2005/008968,pct_application
10469850,2016-12-29,WO,A,WO2016/209209,wo_grant
8524845,2007-08-16,WO,A,WO2007/090412,wo_grant
9527863,2013-03-28,WO,00,PCT/EP2013/056743,pct_application
10173566,2016-01-13,WO,00,PCT/JP2016/050782,pct_application
4723090,1984-09-27,WO,A,WO84/03796,wo_grant
5667501,1994-06-23,WO,A,WO94/13333,wo_grant
10168593,2015-01-06,WO,00,PCT/CN2015/070189,pct_application
10494741,2014-11-25,WO,00,PCT/JP2014/081100,pct_application
9889263,2011-06-09,WO,00,PCT/FR2011/051314,pct_application
6953831,2001-12-21,WO,00,PCT/JP01/11285,pct_application
8186301,2006-11-30,WO,A,WO2006/126677,wo_grant
8366972,2008-04-11,WO,00,PCT/DE2008/000685,pct_application
11033524,2018-05-31,WO,A,WO2018/096538,wo_grant
10065267,2012-08-09,WO,A,WO2012/104407,wo_grant
8540286,2008-02-07,WO,A,WO2008/015115,wo_grant
11168376,2018-06-28,WO,A,WO2018/117637,wo_grant
8996280,2010-05-03,WO,00,PCT/EP2010/055957,pct_application
10645602,2016-10-13,WO,A,WO2016/163369,wo_grant
9145145,2012-07-05,WO,A,WO2012/092557,wo_grant
11199719,2019-12-19,WO,A,WO2019/241149,wo_grant
9147850,2012-07-05,WO,A,WO2012/090110,wo_grant
9421751,2011-05-26,WO,A,WO2011/061738,wo_grant
7968316,2006-08-16,WO,00,PCT/KR2006/003207,pct_application
9644077,2015-12-23,WO,A,WO2015/194721,wo_grant
5860495,1994-06-06,WO,00,PCT/EP94/01824,pct_application
8737326,2010-05-06,WO,A,WO2010/049217,wo_grant
9050581,2009-07-02,WO,A,WO2009/081024,wo_grant
11115129,2018-10-11,WO,A,WO2018/185926,wo_grant
10631181,2015-08-06,WO,A,WO2015/114209,wo_grant
10511048,2017-06-15,WO,A,WO2017/099523,wo_grant
10618026,2016-08-11,WO,A,WO2016/126600,wo_grant
10968735,2018-07-05,WO,A,WO2018/125099,wo_grant
6344468,1999-08-26,WO,A,WO99/42444,wo_grant
7723886,2005-06-02,WO,A,WO2005/050824,wo_grant
9771450,2013-12-13,WO,00,PCT/US2013/075037,pct_application
9164266,2010-08-26,WO,A,WO2010/096461,wo_grant
9457766,2013-10-23,WO,00,PCT/JP2013/078682,pct_application
10935721,2018-10-25,WO,A,WO2018/195168,wo_grant
8253571,2008-09-12,WO,A,WO2008/107924,wo_grant
7586853,2002-10-11,WO,00,PCT/GB02/04645,pct_application
6979736,2003-11-13,WO,A,WO03/092698,wo_grant
8260276,2008-11-27,WO,A,WO2008/143439,wo_grant
8146956,2009-10-15,WO,A,WO2009/124645,wo_grant
7470820,2007-01-25,WO,A,WO2007/010483,wo_grant
9856543,2012-02-09,WO,A,WO2012/018752,wo_grant
10695064,2016-03-03,WO,A,WO2016/030877,wo_grant
10911973,2018-05-31,WO,A,WO2018/097073,wo_grant
5768258,,WO,00,PCT/EP93/02937      ,pct_application
9390921,2012-06-14,WO,A,WO2012/076835,wo_grant
9229600,2007-12-13,WO,A,WO2007/141566,wo_grant
