location_id,disambig_city,disambig_country,latitude,longitude
2a90e2f8-16c8-11ed-9b5f-1234bde3cd05,Bad Salzdetfurth,DE,52.0595144,10.0064728
ef61503b-16c7-11ed-9b5f-1234bde3cd05,Woodfin,US,35.633444,-82.5820725
07e61a62-16c8-11ed-9b5f-1234bde3cd05,Windsor,US,43.4798875,-72.3866266
48d3ed5e-16c8-11ed-9b5f-1234bde3cd05,Violaines,FR,50.5414315,2.7884031
6eb1e3c2-16c8-11ed-9b5f-1234bde3cd05,Parapuã,BR,-21.781309,-50.7922396
63364fbc-16c8-11ed-9b5f-1234bde3cd05,New Ferry,GB,53.3619442,-2.9943509
65a4c97f-16c8-11ed-9b5f-1234bde3cd05,Gampaha,LK,7.0925595,79.9951396
44dd6ab1-16c8-11ed-9b5f-1234bde3cd05,Villepinte,FR,48.9636566,2.5347541
10ccf741-16c8-11ed-9b5f-1234bde3cd05,Harefield,GB,51.6041828,-0.4825622
2e5f9eb9-16c8-11ed-9b5f-1234bde3cd05,Gersau,CH,46.9923,8.5264727
8a7f2587-49af-11ed-9879-1234bde3cd05,Neyrac les Bains,FR,44.6725832,4.2570758
fd107d3a-16c7-11ed-9b5f-1234bde3cd05,Old Fields,US,39.1348284,-78.9497488
88fd7aa4-16c8-11ed-9b5f-1234bde3cd05,Le Lamentin,FR,14.614557,-61.0018145
5cfe9d60-16c8-11ed-9b5f-1234bde3cd05,Stavanger,NO,58.9699509,5.7318061
c08afdcb-16c7-11ed-9b5f-1234bde3cd05,Kimry,RU,56.8734395,37.3556968
893cb52b-16c8-11ed-9b5f-1234bde3cd05,Framlingham,GB,52.2220579,1.3415864
a29a4723-16c8-11ed-9b5f-1234bde3cd05,Chalmazel,FR,45.7027289,3.8509409
247fb5df-16c8-11ed-9b5f-1234bde3cd05,Steinbrunn,AT,48.5261769,13.5039454
271ba2ac-16c8-11ed-9b5f-1234bde3cd05,Lienz,CH,47.2774546,9.5160452
9618dd85-16c8-11ed-9b5f-1234bde3cd05,Fara Novarese,IT,45.5551594,8.4589412
c699d6ba-16c7-11ed-9b5f-1234bde3cd05,Gavilan Hills,US,33.784463,-117.3692084
e4783749-16c7-11ed-9b5f-1234bde3cd05,Galatia,US,37.8406038,-88.6092215
845467be-16c8-11ed-9b5f-1234bde3cd05,Seeg,DE,47.6535725,10.6069443
a7648a94-16c8-11ed-9b5f-1234bde3cd05,Caterham,GB,51.2819693,-0.0771032
cb5f9645-16c7-11ed-9b5f-1234bde3cd05,Alvarado,US,32.4065312,-97.2116782
5fe04cac-16c8-11ed-9b5f-1234bde3cd05,Uvarovo,RU,45.2627386,35.6650052
