patent_id,ipc_sequence,classification_level,section,ipc_class,subclass,main_group,subgroup,symbol_position,classification_value,classification_status,classification_data_source,action_date,ipc_version_indicator
8156438,0,A,G,6,F,3,14,F,I,B,H,2012-04-10,2006-01-01
11344707,2,A,A,61,M,35,0,L,I,B,H,2022-05-31,2006-01-01
7781829,1,A,H,1,L,29,94,L,I,B,H,2010-08-24,2006-01-01
9205294,2,A,B,65,F,1,14,L,I,B,H,2015-12-08,2006-01-01
11033592,0,A,A,61,K,36,0,F,I,B,H,2021-06-15,2006-01-01
10528821,2,A,G,6,K,9,62,L,I,B,H,2020-01-07,2006-01-01
4272698,2,,H,1,K,1,18,,,,,,
6793167,0,,B,1,F,13,08,,,,,,
9831544,3,A,H,1,Q,5,364,L,I,B,H,2017-11-28,2015-01-01
4202260,1,,B,32,B,31,04,,,,,,
10036607,1,A,F,42,B,10,26,L,I,B,H,2018-07-31,2006-01-01
11372821,5,A,G,6,F,16,9537,L,I,B,H,2022-06-28,2019-01-01
10551907,6,A,G,6,F,1,8,L,I,B,H,2020-02-04,2006-01-01
9058262,0,A,G,6,F,11,07,F,I,B,H,2015-06-16,2006-01-01
10642977,4,A,G,6,F,21,55,L,I,B,H,2020-05-05,2013-01-01
9074897,2,A,G,1,S,19,47,L,I,B,H,2015-07-07,2010-01-01
8907800,2,A,G,6,F,1,20,L,I,B,H,2014-12-09,2006-01-01
11172720,3,A,A,42,B,3,12,L,I,B,H,2021-11-16,2006-01-01
9489306,1,A,G,6,F,12,08,L,I,B,H,2016-11-08,2016-01-01
10656780,0,A,G,9,G,5,8,F,I,B,H,2020-05-19,2006-01-01
10968848,3,A,F,2,M,26,23,L,N,B,H,2021-04-06,2016-01-01
D455557,0,,D,0,402,,,,,,,,
6563148,0,,H,1,L,27,10,,,,,,
5559066,0,,B,1,J,38,00,,,,,,
7146665,0,A,A,47,G,9,10,F,I,B,H,2006-12-12,2006-01-01
9266249,0,A,B,27,B,5,18,F,I,B,H,2016-02-23,2006-01-01
10128231,2,A,H,1,L,21,8234,L,I,B,H,2018-11-13,2006-01-01
10858077,0,A,B,63,B,25,16,F,I,B,H,2020-12-08,2006-01-01
9747900,5,A,G,6,K,9,00,L,N,B,H,2017-08-29,2006-01-01
11159419,3,A,H,4,L,29,8,L,I,B,H,2021-10-26,2006-01-01
10888230,8,A,A,61,B,1,7,L,I,B,H,2021-01-12,2006-01-01
9357760,1,A,A,1,M,1,20,L,I,B,H,2016-06-07,2006-01-01
8544666,0,A,B,65,D,17,32,F,I,B,H,2013-10-01,2006-01-01
9160743,0,A,G,6,F,7,04,F,I,B,H,2015-10-13,2006-01-01
11169448,2,A,G,3,F,7,0,L,I,B,H,2021-11-09,2006-01-01
9919590,0,A,B,60,J,10,00,F,I,B,H,2018-03-20,2016-01-01
9354295,2,A,H,4,R,1,08,L,I,B,H,2016-05-31,2006-01-01
5938323,0,,B,60,Q,1,04,,,,,,
4821463,0,,B,24,B,3,26,,,,,,
10903385,3,A,H,4,N,5,0,L,I,B,H,2021-01-26,2011-01-01
9969135,0,A,G,2,C,7,02,F,I,B,H,2018-05-15,2006-01-01
8156058,0,A,G,6,F,17,00,F,I,B,H,2012-04-10,2006-01-01
10370729,2,A,C,12,Q,1,686,L,I,B,H,2019-08-06,2018-01-01
11240422,18,A,H,4,N,5,347,L,I,B,H,2022-02-01,2011-01-01
11452931,1,A,A,63,C,5,0,L,I,B,H,2022-09-27,2006-01-01
10137886,2,A,B,60,W,20,30,L,I,B,H,2018-11-27,2016-01-01
9391614,0,A,H,3,K,3,037,L,I,B,H,2016-07-12,2006-01-01
11057960,0,A,H,4,W,76,27,F,I,B,H,2021-07-06,2018-01-01
4164965,0,,B,27,L,7,00,,,,,,
11353373,1,A,G,1,L,1,22,L,I,B,H,2022-06-07,2006-01-01
10028749,0,A,A,61,M,5,0,F,I,B,H,2018-07-24,2006-01-01
8998501,6,A,F,16,C,33,14,L,I,B,H,2015-04-07,2006-01-01
5192483,0,,B,29,C,51,10,,,,,,
8017070,0,A,B,22,F,1,00,F,I,B,H,2011-09-13,2006-01-01
11283503,3,A,H,4,W,88,6,L,N,B,H,2022-03-22,2009-01-01
6739942,0,,A,63,H,30,00,,,,,,
6157621,1,,H,4,J,3,24,,,,,,
6969990,0,,G,1,V,003,/00,,,,,,
7013707,0,A,G,1,N,27,26,F,I,B,H,2006-03-21,2006-01-01
5366416,0,,F,16,H,59,00,,,,,,
10914462,25,A,H,5,B,47,105,L,N,B,H,2021-02-09,2020-01-01
10181115,3,A,H,4,L,29,8,L,I,B,H,2019-01-15,2006-01-01
9512871,3,A,F,16,C,17,02,L,I,B,H,2016-12-06,2006-01-01
10674582,4,A,F,21,K,9,62,L,I,B,H,2020-06-02,2016-01-01
7911663,0,A,H,4,N,1,04,F,I,B,H,2011-03-22,2006-01-01
10851372,2,A,C,12,N,15,87,L,I,B,H,2020-12-01,2006-01-01
10909770,3,A,H,4,N,13,156,L,I,B,H,2021-02-02,2018-01-01
9610810,0,A,B,60,C,23,04,F,I,B,H,2017-04-04,2006-01-01
10544671,2,A,E,21,B,47,8,L,I,B,H,2020-01-28,2012-01-01
8802088,2,A,C,12,Q,1,37,L,I,B,H,2014-08-12,2006-01-01
10196755,8,A,C,30,B,29,62,L,I,B,H,2019-02-05,2006-01-01
8654841,0,A,H,4,B,1,66,F,I,B,H,2014-02-18,2006-01-01
11166863,2,A,A,61,H,23,0,L,I,B,H,2021-11-09,2006-01-01
10639151,1,A,A,61,B,17,0,L,I,B,H,2020-05-05,2006-01-01
10039683,2,A,A,61,F,13,2,L,I,B,H,2018-08-07,2006-01-01
10673315,0,A,H,2,M,3,7,F,I,B,H,2020-06-02,2006-01-01
4704237,0,,B,29,C,51,10,,,,,,
6885706,0,,G,4,N,007,/12,,,,,,
9388702,2,A,F,1,D,5,28,L,I,B,H,2016-07-12,2006-01-01
11232650,0,A,G,7,C,5,0,F,I,B,H,2022-01-25,2006-01-01
8731888,4,A,G,1,V,11,00,L,I,B,H,2014-05-20,2006-01-01
6813783,0,,A,62,D,5,00,,,,,,
6431239,0,,B,29,C,65,00,,,,,,
9984925,8,A,H,1,L,29,49,L,I,B,H,2018-05-29,2006-01-01
9456966,12,A,B,1,J,13,02,L,I,B,H,2016-10-04,2006-01-01
8550805,0,A,B,29,C,49,36,F,I,B,H,2013-10-08,2006-01-01
9218815,1,A,G,10,L,17,24,L,I,B,H,2015-12-22,2013-01-01
5751897,0,,F,21,V,7,12,,,,,,
10485246,2,A,A,23,G,3,54,L,I,B,H,2019-11-26,2006-01-01
9691272,5,A,H,4,W,4,00,L,I,B,H,2017-06-27,2009-01-01
11182009,0,A,G,6,F,3,41,F,I,B,H,2021-11-23,2006-01-01
9585021,7,A,H,4,B,7,185,L,I,B,H,2017-02-28,2006-01-01
11147333,0,A,A,42,B,3,8,F,I,B,H,2021-10-19,2006-01-01
10055593,0,A,H,4,L,29,6,F,I,B,H,2018-08-21,2006-01-01
10022280,1,A,A,61,F,13,15,L,I,B,H,2018-07-17,2006-01-01
10973460,5,A,A,61,M,5,178,L,I,B,H,2021-04-13,2006-01-01
9958276,2,A,G,1,P,5,00,L,I,B,H,2018-05-01,2006-01-01
4263588,1,,F,21,L,15,14,,,,,,
9427945,19,A,B,32,B,1,00,L,I,B,H,2016-08-30,2006-01-01
5857113,0,,G,6,F,13,00,,,,,,
4843514,0,,H,2,H,3,04,,,,,,
8068905,0,A,A,61,B,5,05,F,I,B,H,2011-11-29,2006-01-01
8743694,0,A,H,4,J,3,14,F,I,B,H,2014-06-03,2006-01-01
5073445,0,,B,32,B,13,12,,,,,,
5958870,0,,C,11,D,1,46,,,,,,
8859143,8,A,H,1,M,10,054,L,I,B,H,2014-10-14,2010-01-01
7993288,0,A,A,61,B,5,103,F,I,B,H,2011-08-09,2006-01-01
9708168,6,A,F,16,L,58,14,L,I,B,H,2017-07-18,2006-01-01
7833900,2,A,H,1,L,21,302,L,I,B,H,2010-11-16,2006-01-01
5956352,0,,G,11,C,29,00,,,,,,
9971246,3,A,G,3,F,9,00,L,I,B,H,2018-05-15,2006-01-01
10266499,2,A,A,61,K,31,196,L,I,B,H,2019-04-23,2006-01-01
10518174,5,A,H,4,N,21,426,L,I,B,H,2019-12-31,2011-01-01
11364311,21,A,A,61,K,31,192,L,I,B,H,2022-06-21,2006-01-01
9139655,3,A,C,7,K,16,28,L,I,B,H,2015-09-22,2006-01-01
6575052,0,,G,5,G,1,14,,,,,,
10739110,2,A,F,41,A,17,6,L,I,B,H,2020-08-11,2006-01-01
8897731,1,A,H,4,B,7,08,L,I,B,H,2014-11-25,2006-01-01
5300149,1,,C,4,B,24,06,,,,,,
5472675,3,,C,22,B,3,00,,,,,,
4115028,0,,F,3,B,3,18,,,,,,
11069965,2,A,H,1,Q,1,50,L,I,B,H,2021-07-20,2006-01-01
8857236,5,A,B,21,J,13,14,L,I,B,H,2014-10-14,2006-01-01
5666063,2,,H,1,R,43,00,,,,,,
D400156,0,,D,12,06,,,,,,,,
9571559,0,A,H,4,M,11,00,F,I,B,H,2017-02-14,2006-01-01
10433768,3,A,A,61,B,5,0,L,I,B,H,2019-10-08,2006-01-01
10112569,0,A,B,60,R,21,207,F,I,B,H,2018-10-30,2006-01-01
10519092,6,A,C,7,C,51,367,L,I,B,H,2019-12-31,2006-01-01
11183122,2,A,G,9,G,3,3233,L,I,B,H,2021-11-23,2016-01-01
9669254,2,A,A,63,B,24,00,L,I,B,H,2017-06-06,2006-01-01
11369948,7,A,C,1,B,3,40,L,I,B,H,2022-06-28,2006-01-01
7959619,0,A,A,61,F,13,15,F,I,B,H,2011-06-14,2006-01-01
5309126,1,,H,3,H,9,64,,,,,,
5855986,0,,B,32,B,3,02,,,,,,
5448883,0,,F,3,H,1,00,,,,,,
10958943,13,A,H,4,N,19,136,L,N,B,H,2021-03-23,2014-01-01
8695034,1,A,H,4,N,7,16,L,I,B,H,2014-04-08,2011-01-01
7821169,2,A,H,2,K,55,02,L,I,B,H,2010-10-26,2006-01-01
10489422,3,A,G,6,F,11,20,L,I,B,H,2019-11-26,2006-01-01
9398482,2,A,H,4,W,16,14,L,I,B,H,2016-07-19,2009-01-01
11291212,2,A,A,21,D,2,26,L,I,B,H,2022-04-05,2006-01-01
5014528,0,,F,16,K,35,06,,,,,,
10874994,11,A,B,1,D,61,2,L,N,B,H,2020-12-29,2006-01-01
8161170,1,A,H,4,L,12,28,L,I,B,H,2012-04-17,2006-01-01
8072155,0,A,H,5,B,41,16,F,I,B,H,2011-12-06,2006-01-01
7074023,0,A,F,4,C,18,00,F,I,B,H,2006-07-11,2006-01-01
10757544,0,A,H,4,W,4,14,F,I,B,H,2020-08-25,2009-01-01
10303248,4,A,G,6,F,3,3,L,I,B,H,2019-05-28,2006-01-01
10288513,0,A,G,1,K,13,0,F,I,B,H,2019-05-14,2006-01-01
11413330,2,A,A,61,P,37,2,L,I,B,H,2022-08-16,2006-01-01
7246002,0,A,F,2,C,9,00,F,I,B,H,2007-07-17,2006-01-01
10205597,0,A,G,6,F,3,481,F,I,B,H,2019-02-12,2013-01-01
11152805,9,A,H,1,M,50,502,L,I,B,H,2021-10-19,2021-01-01
8834220,1,A,B,63,B,3,38,L,I,B,H,2014-09-16,2006-01-01
7287445,0,A,B,24,D,15,00,F,I,B,H,2007-10-30,2006-01-01
10339373,2,A,G,6,K,9,46,L,I,B,H,2019-07-02,2006-01-01
4022240,0,,F,16,K,3,36,,,,,,
D475904,0,,D,0,801,,,,,,,,
5055400,4,,C,12,N,7,00,,,,,,
7553375,2,A,B,41,J,2,035,L,I,B,H,2009-06-30,2006-01-01
10913356,2,A,H,2,M,3,155,L,I,B,H,2021-02-09,2006-01-01
10074937,5,A,H,1,R,13,58,L,N,B,H,2018-09-11,2006-01-01
11359386,2,A,B,32,B,3,6,L,I,B,H,2022-06-14,2006-01-01
8398945,2,A,B,1,D,53,56,L,I,B,H,2013-03-19,2006-01-01
7951363,2,A,B,5,D,3,00,L,I,B,H,2011-05-31,2006-01-01
10607601,4,A,G,10,L,15,18,L,I,B,H,2020-03-31,2013-01-01
11081928,2,A,H,2,K,1,24,L,I,B,H,2021-08-03,2006-01-01
10095377,2,A,G,6,T,11,0,L,I,B,H,2018-10-09,2006-01-01
5332607,0,,C,9,J,7,02,,,,,,
9392096,0,A,H,4,M,1,725,F,I,B,H,2016-07-12,2006-01-01
9144313,0,A,A,47,C,7,02,F,I,B,H,2015-09-29,2006-01-01
9462928,4,A,F,3,G,7,06,L,I,B,H,2016-10-11,2006-01-01
8293769,7,A,A,61,K,31,454,L,I,B,H,2012-10-23,2006-01-01
9617367,2,A,C,8,F,224,00,L,I,B,H,2017-04-11,2006-01-01
10150433,3,A,B,60,R,16,3,L,I,B,H,2018-12-11,2006-01-01
10037507,10,A,G,1,N,33,2,L,I,B,H,2018-07-31,2006-01-01
8977514,4,A,G,1,K,9,00,L,I,B,H,2015-03-10,2006-01-01
9235536,2,A,H,4,L,29,06,L,I,B,H,2016-01-12,2006-01-01
7064049,0,A,H,1,L,21,26,F,I,B,H,2006-06-20,2006-01-01
6327119,0,,G,11,B,5,54,,,,,,
11216359,7,A,G,6,F,8,65,L,I,B,H,2022-01-04,2018-01-01
9660573,2,A,H,1,L,31,052,L,I,B,H,2017-05-23,2014-01-01
10404296,0,A,H,4,B,1,4,F,I,B,H,2019-09-03,2006-01-01
10964327,1,A,G,10,L,15,18,L,I,B,H,2021-03-30,2013-01-01
4594446,3,,C,7,D,317,14,,,,,,
9242763,6,A,C,8,F,265,02,L,I,B,H,2016-01-26,2006-01-01
7456932,0,A,G,3,B,27,32,F,I,B,H,2008-11-25,2006-01-01
10526670,0,A,C,21,B,5,6,F,I,B,H,2020-01-07,2006-01-01
11005954,0,A,H,4,L,29,8,F,I,B,H,2021-05-11,2006-01-01
9808007,6,A,A,1,N,47,24,L,I,B,H,2017-11-07,2006-01-01
9324491,1,A,H,1,F,27,29,L,I,B,H,2016-04-26,2006-01-01
6326579,0,,B,23,H,1,04,,,,,,
5258216,1,,B,32,B,5,06,,,,,,
10661434,0,A,B,25,J,9,0,F,I,B,H,2020-05-26,2006-01-01
5608112,1,,C,7,C,1,26,,,,,,
11445851,1,A,A,47,J,31,46,L,I,B,H,2022-09-20,2006-01-01
5821465,0,,H,1,R,4,02,,,,,,
4689690,0,,H,4,N,1,36,,,,,,
9158810,10,A,G,6,F,12,14,L,I,B,H,2015-10-13,2006-01-01
10047799,3,A,F,16,C,17,8,L,I,B,H,2018-08-14,2006-01-01
5363238,1,,G,2,B,27,44,,,,,,
8270121,3,A,G,11,B,21,08,L,I,B,H,2012-09-18,2006-01-01
9249735,0,A,F,2,C,7,25,F,I,B,H,2016-02-02,2006-01-01
11332901,1,A,A,63,B,27,0,L,I,B,H,2022-05-17,2006-01-01
6544890,0,,H,1,L,21,44,,,,,,
10104312,3,A,H,4,N,5,262,L,I,B,H,2018-10-16,2006-01-01
9691536,0,A,H,1,F,27,02,F,I,B,H,2017-06-27,2006-01-01
10001520,4,A,G,1,R,31,12,L,N,B,H,2018-06-19,2006-01-01
9958853,1,A,G,5,B,19,29,L,I,B,H,2018-05-01,2006-01-01
8887495,0,A,F,1,N,3,02,F,I,B,H,2014-11-18,2006-01-01
10876632,1,A,F,16,J,15,10,L,I,B,H,2020-12-29,2006-01-01
9497888,0,A,H,5,K,7,20,F,I,B,H,2016-11-15,2006-01-01
10750018,0,A,H,4,M,3,0,F,I,B,H,2020-08-18,2006-01-01
8981292,1,A,H,1,J,37,244,L,I,B,H,2015-03-17,2006-01-01
8991567,1,A,B,60,T,17,08,L,I,B,H,2015-03-31,2006-01-01
11222106,8,A,G,6,F,21,32,L,I,B,H,2022-01-11,2013-01-01
10932465,0,A,A,1,N,35,2,F,I,B,H,2021-03-02,2006-01-01
9366955,2,A,G,3,F,1,38,L,I,B,H,2016-06-14,2012-01-01
9961550,6,A,G,6,F,21,60,L,I,B,H,2018-05-01,2013-01-01
7130805,0,A,G,6,F,17,60,F,I,B,H,2006-10-31,2006-01-01
6266424,1,,H,2,B,1,00,,,,,,
9260228,1,A,B,65,D,51,28,L,I,B,H,2016-02-16,2006-01-01
9012662,3,A,C,7,C,33,42,L,I,B,H,2015-04-21,2006-01-01
9922889,1,A,H,1,L,21,66,L,I,B,H,2018-03-20,2006-01-01
8705352,1,A,H,4,W,72,04,L,I,B,H,2014-04-22,2009-01-01
4942018,0,,G,1,N,30,02,,,,,,
11160447,3,A,A,61,B,5,398,L,I,B,H,2021-11-02,2021-01-01
9161854,1,A,A,61,F,5,02,L,I,B,H,2015-10-20,2006-01-01
9668944,0,A,A,61,K,6,08,F,I,B,H,2017-06-06,2006-01-01
11303631,3,A,G,6,K,9,62,L,I,B,H,2022-04-12,2022-01-01
10824404,0,A,G,6,F,8,36,F,I,B,H,2020-11-03,2018-01-01
8223163,6,A,H,4,N,5,74,L,I,B,H,2012-07-17,2006-01-01
8883562,2,A,H,1,L,21,50,L,I,B,H,2014-11-11,2006-01-01
6289972,0,,B,22,D,11,00,,,,,,
11369377,1,A,A,61,B,17,68,L,I,B,H,2022-06-28,2006-01-01
10647582,1,A,B,1,J,19,0,L,I,B,H,2020-05-12,2006-01-01
9521490,0,A,H,4,R,1,00,F,I,B,H,2016-12-13,2006-01-01
7195881,1,A,G,1,N,33,564,L,I,B,H,2007-03-27,2006-01-01
10946129,1,A,A,61,M,1,16,L,I,B,H,2021-03-16,2006-01-01
11231258,17,A,C,22,C,38,2,L,N,B,H,2022-01-25,2006-01-01
9512003,3,A,B,1,J,8,04,L,I,B,H,2016-12-06,2006-01-01
10691169,13,A,B,23,K,103,0,L,N,B,H,2020-06-23,2006-01-01
9356512,0,A,H,4,B,1,22,F,I,B,H,2016-05-31,2006-01-01
6173330,0,,G,6,F,17,30,,,,,,
8798229,0,A,A,61,B,6,03,F,I,B,H,2014-08-05,2006-01-01
9525940,3,A,H,3,M,1,06,L,I,B,H,2016-12-20,2006-01-01
5350783,0,,C,8,K,3,00,,,,,,
10666386,2,A,H,3,M,13,0,L,I,B,H,2020-05-26,2006-01-01
4187692,0,,F,25,D,9,00,,,,,,
9085714,3,A,H,1,L,21,04,L,I,B,H,2015-07-21,2006-01-01
11183628,3,A,H,1,F,10,32,L,I,B,H,2021-11-23,2006-01-01
11225620,5,A,C,10,L,10,18,L,I,B,H,2022-01-18,2006-01-01
10889698,0,A,C,8,J,3,12,F,I,B,H,2021-01-12,2006-01-01
9918190,0,A,G,6,F,15,16,F,I,B,H,2018-03-13,2006-01-01
10758846,3,A,B,1,D,29,58,L,I,B,H,2020-09-01,2006-01-01
9038751,2,A,E,21,B,17,07,L,I,B,H,2015-05-26,2006-01-01
5493626,2,,E,21,B,47,00,,,,,,
10830888,8,A,G,1,S,7,4865,L,I,B,H,2020-11-10,2020-01-01
9524139,1,A,G,6,F,3,02,L,I,B,H,2016-12-20,2006-01-01
11374844,0,A,G,6,F,15,173,F,I,B,H,2022-06-28,2006-01-01
10276739,4,A,H,1,L,33,32,L,I,B,H,2019-04-30,2010-01-01
11243440,1,A,G,2,F,1,1339,L,I,B,H,2022-02-08,2006-01-01
10834988,0,A,A,42,B,3,6,F,I,B,H,2020-11-17,2006-01-01
5098145,2,,B,25,B,5,16,,,,,,
7050838,1,A,H,4,M,1,00,L,I,B,H,2006-05-23,2006-01-01
10571983,7,A,G,6,F,1,3206,L,I,B,H,2020-02-25,2019-01-01
9963534,10,A,C,8,L,33,06,L,I,B,H,2018-05-08,2006-01-01
9219315,2,A,H,1,Q,1,52,L,I,B,H,2015-12-22,2006-01-01
8704380,5,A,H,1,L,21,00,L,N,B,H,2014-04-22,2006-01-01
9376730,1,A,C,21,B,13,00,L,I,B,H,2016-06-28,2006-01-01
5742154,0,,G,5,F,3,16,,,,,,
10406076,5,A,A,61,M,39,8,L,I,B,H,2019-09-10,2006-01-01
10129892,6,A,H,4,L,29,6,L,I,B,H,2018-11-13,2006-01-01
6074519,1,,C,23,C,16,00,,,,,,
10283524,6,A,H,1,L,23,532,L,I,B,H,2019-05-07,2006-01-01
7588665,0,A,C,10,B,1,00,F,I,B,H,2009-09-15,2006-01-01
9765826,8,A,B,60,K,5,00,L,N,B,H,2017-09-19,2006-01-01
9798270,1,A,G,3,G,21,10,L,I,B,H,2017-10-24,2006-01-01
11278223,11,A,H,1,M,4,2,L,I,B,H,2022-03-22,2006-01-01
11311464,1,A,A,61,K,8,19,L,I,B,H,2022-04-26,2006-01-01
9479447,0,A,H,4,L,12,835,F,I,B,H,2016-10-25,2013-01-01
10937466,6,A,G,11,C,5,4,L,I,B,H,2021-03-02,2006-01-01
9088784,0,A,H,4,N,7,12,F,I,B,H,2015-07-21,2006-01-01
10635725,7,A,G,6,F,40,134,L,I,B,H,2020-04-28,2020-01-01
11119476,1,A,H,4,N,7,18,L,I,B,H,2021-09-14,2006-01-01
7780517,0,A,A,63,F,9,24,F,I,B,H,2010-08-24,2006-01-01
10145572,3,A,F,24,F,11,79,L,I,B,H,2018-12-04,2018-01-01
5586627,0,,F,16,F,9,46,,,,,,
10384982,5,A,C,12,M,1,107,L,I,B,H,2019-08-20,2006-01-01
6533590,0,,H,1,R,4,02,,,,,,
9084296,0,A,H,5,B,6,36,F,I,B,H,2015-07-14,2006-01-01
6092271,0,,B,25,B,11,00,,,,,,
10118225,4,A,B,29,C,64,255,L,I,B,H,2018-11-06,2017-01-01
8906428,3,A,A,23,L,1,304,L,I,B,H,2014-12-09,2006-01-01
8927055,5,A,C,9,D,7,12,L,I,B,H,2015-01-06,2006-01-01
6681827,0,,B,32,B,31,00,,,,,,
9202080,1,A,G,6,F,21,62,L,I,B,H,2015-12-01,2013-01-01
7481909,2,A,C,25,D,7,12,L,N,B,H,2009-01-27,2006-01-01
7420135,1,A,H,1,H,21,22,L,I,B,H,2008-09-02,2006-01-01
9748405,0,A,H,1,L,27,12,F,I,B,H,2017-08-29,2006-01-01
10452964,2,A,G,6,T,3,0,L,I,B,H,2019-10-22,2006-01-01
5937074,1,,H,4,R,31,00,,,,,,
7631771,0,A,A,47,F,7,00,F,I,B,H,2009-12-15,2006-01-01
10064896,3,A,A,61,B,17,88,L,I,B,H,2018-09-04,2006-01-01
9912316,1,A,H,3,H,7,38,L,I,B,H,2018-03-06,2006-01-01
7478736,0,A,B,65,D,35,00,F,I,B,H,2009-01-20,2006-01-01
11161557,2,A,B,62,D,37,2,L,I,B,H,2021-11-02,2006-01-01
9679197,0,A,G,6,K,9,00,F,I,B,H,2017-06-13,2006-01-01
10323832,14,A,F,21,V,23,0,L,I,B,H,2019-06-18,2015-01-01
7084587,1,A,H,5,B,37,02,L,I,B,H,2006-08-01,2006-01-01
11433985,2,A,E,5,B,79,20,L,I,B,H,2022-09-06,2014-01-01
5181087,3,,H,1,L,23,48,,,,,,
D499309,0,,D,0,706,,,,,,,,
7805036,0,A,G,2,B,6,32,F,I,B,H,2010-09-28,2006-01-01
10689996,1,A,F,4,D,29,32,L,I,B,H,2020-06-23,2006-01-01
11068055,9,A,G,6,K,9,0,L,I,B,H,2021-07-20,2006-01-01
6034980,0,,H,1,S,3,18,,,,,,
9788212,3,A,H,4,W,72,12,L,I,B,H,2017-10-10,2009-01-01
11403084,4,A,H,4,L,67,2,L,I,B,H,2022-08-02,2022-01-01
11286420,5,A,B,82,Y,20,0,L,I,B,H,2022-03-29,2011-01-01
10544304,2,A,C,8,L,17,0,L,I,B,H,2020-01-28,2006-01-01
10820583,0,A,A,1,K,97,0,F,I,B,H,2020-11-03,2006-01-01
8479091,0,A,G,6,F,17,00,F,I,B,H,2013-07-02,2006-01-01
10697736,0,A,F,41,H,1,8,F,I,B,H,2020-06-30,2006-01-01
11208685,20,A,G,1,N,33,53,L,I,B,H,2021-12-28,2006-01-01
10990279,0,A,H,4,W,68,0,F,I,B,H,2021-04-27,2009-01-01
9783883,0,A,C,23,C,14,16,F,I,B,H,2017-10-10,2006-01-01
8002221,0,A,B,64,C,13,04,F,I,B,H,2011-08-23,2006-01-01
8478730,0,A,G,6,F,7,00,F,I,B,H,2013-07-02,2006-01-01
10540584,1,A,G,6,F,3,6,L,I,B,H,2020-01-21,2006-01-01
10172277,0,A,A,1,C,7,8,F,I,B,H,2019-01-08,2006-01-01
7918407,0,A,F,24,F,7,00,F,I,B,H,2011-04-05,2006-01-01
7168705,0,A,A,63,F,1,00,F,I,B,H,2007-01-30,2006-01-01
7895271,0,A,G,6,F,15,16,F,I,B,H,2011-02-22,2006-01-01
11110969,2,A,B,62,D,25,20,L,I,B,H,2021-09-07,2006-01-01
10492093,6,A,H,4,W,36,30,L,N,B,H,2019-11-26,2009-01-01
7041269,2,A,C,4,B,35,46,L,I,B,H,2006-05-09,2006-01-01
11111664,3,A,E,4,C,3,34,L,I,B,H,2021-09-07,2006-01-01
5770107,2,,C,9,K,19,06,,,,,,
9412442,0,A,H,1,L,47,00,F,I,B,H,2016-08-09,2006-01-01
10951136,3,A,H,1,L,35,0,L,N,B,H,2021-03-16,2006-01-01
7807688,1,A,A,61,K,31,505,L,I,B,H,2010-10-05,2006-01-01
6827023,0,,B,61,D,17,00,,,,,,
9328599,8,A,B,1,F,3,12,L,I,B,H,2016-05-03,2006-01-01
4432865,0,,C,10,M,11,00,,,,,,
4692542,1,,C,7,F,9,14,,,,,,
10553307,0,A,G,6,Q,50,0,F,I,B,H,2020-02-04,2012-01-01
9156720,2,A,H,2,N,6,00,L,I,B,H,2015-10-13,2006-01-01
10603341,13,A,C,12,N,1,20,L,I,B,H,2020-03-31,2006-01-01
8982643,3,A,G,11,C,29,04,L,N,B,H,2015-03-17,2006-01-01
9237034,3,A,H,4,L,12,703,L,I,B,H,2016-01-12,2013-01-01
10459170,4,A,H,1,R,43,0,L,I,B,H,2019-10-29,2006-01-01
9232977,1,A,A,61,B,17,34,L,N,B,H,2016-01-12,2006-01-01
10378134,3,A,D,6,P,1,52,L,I,B,H,2019-08-13,2006-01-01
9749778,1,A,H,4,W,4,00,L,I,B,H,2017-08-29,2009-01-01
7359294,0,A,G,11,B,7,00,F,I,B,H,2008-04-15,2006-01-01
9824038,2,A,G,6,F,12,06,L,I,B,H,2017-11-21,2006-01-01
9200479,1,A,E,5,D,15,06,L,I,B,H,2015-12-01,2006-01-01
9117978,4,A,C,8,K,3,22,L,N,B,H,2015-08-25,2006-01-01
4951454,0,,D,1,H,13,16,,,,,,
9545173,3,A,A,47,J,37,07,L,I,B,H,2017-01-17,2006-01-01
9863170,3,A,E,5,B,81,14,L,I,B,H,2018-01-09,2014-01-01
10772511,9,A,H,4,W,64,0,L,I,B,H,2020-09-15,2009-01-01
10624411,0,A,H,1,L,41,113,F,I,B,H,2020-04-21,2006-01-01
10834853,1,A,F,28,D,15,2,L,I,B,H,2020-11-10,2006-01-01
6326443,1,,C,8,F,110,02,,,,,,
7369355,0,A,G,11,B,17,00,F,I,B,H,2008-05-06,2006-01-01
11382965,5,A,C,12,N,15,86,L,I,B,H,2022-07-12,2006-01-01
10267048,16,A,B,32,B,3,6,L,I,B,H,2019-04-23,2006-01-01
8883782,0,A,A,61,K,31,42,F,I,B,H,2014-11-11,2006-01-01
10820950,3,A,G,6,Q,30,4,L,I,B,H,2020-11-03,2012-01-01
10466243,1,A,G,1,N,33,574,L,I,B,H,2019-11-05,2006-01-01
7909510,0,A,G,3,B,42,02,F,I,B,H,2011-03-22,2006-01-01
7543258,0,A,G,6,F,17,50,F,I,B,H,2009-06-02,2006-01-01
5491352,0,,H,1,L,23,485,,,,,,
10155604,6,A,B,65,B,43,52,L,I,B,H,2018-12-18,2006-01-01
10224823,4,A,H,2,M,1,0,L,N,B,H,2019-03-05,2006-01-01
