patent_id,ipc_sequence,classification_level,section,ipc_class,subclass,main_group,subgroup,symbol_position,classification_value,classification_status,classification_data_source,action_date,ipc_version_indicator
10110299,5,A,H,4,N,21,45,L,I,B,H,2018-10-23,2011-01-01
7132031,1,A,A,61,F,13,15,L,I,B,H,2006-11-07,2006-01-01
9586070,5,A,C,8,L,27,12,L,I,B,H,2017-03-07,2006-01-01
8278310,0,A,A,1,N,43,54,F,I,B,H,2012-10-02,2006-01-01
4606837,0,,C,10,M,115,04,,,,,,
9481631,6,A,C,8,G,8,04,L,I,B,H,2016-11-01,2006-01-01
6765997,0,,H,4,M,1,64,,,,,,
4833235,1,,C,9,B,31,147,,,,,,
9367790,1,A,G,6,K,19,077,L,I,B,H,2016-06-14,2006-01-01
8771624,13,A,B,1,J,20,00,L,I,B,H,2014-07-08,2006-01-01
7790710,5,A,C,7,D,413,00,L,I,B,H,2010-09-07,2006-01-01
4292634,0,,G,1,S,13,90,,,,,,
8536424,1,A,A,1,H,5,00,L,I,B,H,2013-09-17,2006-01-01
6294638,2,,C,8,G,18,66,,,,,,
9841669,0,A,G,3,F,1,50,F,I,B,H,2017-12-12,2012-01-01
9680006,1,A,H,1,L,29,16,L,I,B,H,2017-06-13,2006-01-01
9464379,7,A,D,4,H,1,54,L,I,B,H,2016-10-11,2012-01-01
8652621,1,A,B,32,B,3,26,L,I,B,H,2014-02-18,2006-01-01
11426510,4,A,C,2,F,9,0,L,I,B,H,2022-08-30,2006-01-01
4872353,0,,G,1,N,35,00,,,,,,
9191671,0,A,H,4,N,7,12,F,I,B,H,2015-11-17,2006-01-01
10049838,1,A,H,2,B,13,25,L,I,B,H,2018-08-14,2006-01-01
9994156,2,A,B,60,R,1,8,L,I,B,H,2018-06-12,2006-01-01
9654917,0,A,G,8,B,1,08,F,I,B,H,2017-05-16,2006-01-01
9876566,8,A,H,4,B,10,50,L,I,B,H,2018-01-23,2013-01-01
8314072,0,A,A,1,N,43,04,F,I,B,H,2012-11-20,2006-01-01
8485279,0,A,E,21,B,7,18,F,I,B,H,2013-07-16,2006-01-01
10668280,3,A,A,61,B,5,4,L,I,B,H,2020-06-02,2006-01-01
9862424,2,A,B,60,S,1,36,L,I,B,H,2018-01-09,2006-01-01
10774224,3,A,G,9,F,19,14,L,I,B,H,2020-09-15,2006-01-01
11117375,1,A,B,41,J,2,175,L,I,B,H,2021-09-14,2006-01-01
11036640,2,A,G,6,F,12,2,L,I,B,H,2021-06-15,2006-01-01
4513705,0,,F,2,B,33,40,,,,,,
7953516,0,A,G,5,B,19,04,F,I,B,H,2011-05-31,2006-01-01
9307374,2,A,H,4,L,9,32,L,I,B,H,2016-04-05,2006-01-01
9237678,3,A,H,1,M,10,625,L,I,B,H,2016-01-12,2014-01-01
4133969,0,,H,5,B,3,60,,,,,,
10812714,1,A,H,4,N,5,357,L,I,B,H,2020-10-20,2011-01-01
5023209,1,,C,3,C,3,11,,,,,,
9242776,4,A,C,9,J,121,02,L,I,B,H,2016-01-26,2006-01-01
6796059,0,,D,6,F,81,04,,,,,,
9466510,5,A,H,1,L,51,00,L,N,B,H,2016-10-11,2006-01-01
9046457,3,A,B,60,T,8,172,L,I,B,H,2015-06-02,2006-01-01
10259608,13,A,G,7,F,11,16,L,N,B,H,2019-04-16,2006-01-01
10526483,3,A,C,8,K,5,13,L,N,B,H,2020-01-07,2006-01-01
9255910,2,A,G,1,N,29,44,L,I,B,H,2016-02-09,2006-01-01
9407000,1,A,H,1,Q,1,30,L,I,B,H,2016-08-02,2006-01-01
9020072,7,A,H,3,D,3,26,L,I,B,H,2015-04-28,2006-01-01
5551799,1,,A,62,D,3,00,,,,,,
8440464,1,A,G,1,N,33,68,L,I,B,H,2013-05-14,2006-01-01
6594376,0,,G,6,K,9,00,,,,,,
4578391,1,,A,61,K,31,40,,,,,,
9964938,0,A,G,5,B,19,042,F,I,B,H,2018-05-08,2006-01-01
5824557,1,,G,1,N,33,48,,,,,,
9998561,0,A,G,6,F,15,16,F,I,B,H,2018-06-12,2006-01-01
9689338,1,A,G,1,N,27,417,L,I,B,H,2017-06-27,2006-01-01
8692081,0,A,A,1,H,1,00,F,I,B,H,2014-04-08,2006-01-01
9948971,11,A,H,4,N,5,765,L,I,B,H,2018-04-17,2006-01-01
5969709,1,,H,4,N,5,57,,,,,,
9824691,6,A,G,10,L,17,00,L,I,B,H,2017-11-21,2013-01-01
11457267,1,A,H,4,N,21,4363,L,I,B,H,2022-09-27,2011-01-01
9126469,1,A,B,60,J,1,00,L,I,B,H,2015-09-08,2006-01-01
5989386,2,,B,65,H,3,08,,,,,,
5969380,0,,H,1,L,29,76,,,,,,
9323711,12,A,G,6,F,12,10,L,I,B,H,2016-04-26,2006-01-01
11268857,0,A,G,1,J,3,28,F,I,B,H,2022-03-08,2006-01-01
11045598,0,A,A,61,M,1,0,F,I,B,H,2021-06-29,2006-01-01
7944631,0,A,G,2,B,7,02,F,I,B,H,2011-05-17,2006-01-01
10191163,4,A,H,4,N,5,225,L,I,B,H,2019-01-29,2006-01-01
10597849,6,A,E,2,F,9,26,L,I,B,H,2020-03-24,2006-01-01
10343065,0,A,A,63,F,13,46,F,I,B,H,2019-07-09,2014-01-01
10285366,3,A,A,1,H,4,0,L,I,B,H,2019-05-14,2006-01-01
8855600,2,A,H,4,L,29,06,L,I,B,H,2014-10-07,2006-01-01
5642280,0,,G,6,F,17,00,,,,,,
7735115,2,A,G,6,F,15,16,L,N,B,H,2010-06-08,2006-01-01
