patent_id,citation_sequence,citation_application_id,citation_date,citation_category,citation_country
6780236,12,04305044,1992-10-01,cited by examiner,JP
8940315,14,WO 02/38185,2002-05-01,cited by applicant,WO
8304102,15,7-335187,1995-12-01,cited by other,JP
5932640,1,409771,1991-01-01,,EP
7914585,23,WO-02/100302,2002-12-01,cited by other,WO
9737260,36,2004/021863,2004-03-01,cited by applicant,WO
11395989,54,2720688,1978-11-01,cited by applicant,DE
8194862,3,2891098,2007-03-01,cited by other,FR
8170458,0,2001-100556,2001-04-01,cited by other,JP
8695866,435,WO 99/12483,1999-03-01,cited by applicant,WO
9355681,5,550086,1986-02-01,cited by applicant,AU
9405260,0,108023,1899-03-01,cited by applicant,DE
11440266,24,830641,2003-08-01,cited by applicant,EP
9795848,3,2629085,1978-01-01,cited by examiner,DE
11369376,369,2016530949,2016-10-01,cited by applicant,JP
10809546,2,109997357,2019-07-01,cited by applicant,CN
10182575,3,818148,1998-01-01,cited by applicant,EP
9987003,360,1990014,2008-11-01,cited by applicant,EP
8989271,4,2006/019093,2006-02-01,cited by applicant,WO
7112296,3,WO2080299,2002-10-01,cited by other,WO
10690384,1,690275,1996-01-01,cited by applicant,EP
10441280,957,WO 95/29639,1995-11-01,cited by applicant,WO
11161059,0,201735213,2011-02-01,cited by applicant,CN
7931267,3,2006-036491,2006-02-01,cited by other,JP
5731189,1,0 251 612,1988-07-01,,EPX
5022314,0,1073258,1980-03-01,,CA
10787946,66,2007115748,2007-05-01,cited by applicant,JP
11062986,54,103237771,2013-08-01,cited by applicant,CN
10117652,925,WO 86/02254,1986-04-01,cited by applicant,WO
6779990,11,02000175402,2000-06-01,cited by examiner,JP
10675024,11,1163558,1997-10-01,cited by applicant,CN
9894341,0,1020040107844,2004-12-01,cited by applicant,KR
4638995,0,446443,1936-04-01,,GB
6433931,2,WO-97/01440,1997-01-01,cited by examiner,EP
10399976,73,2004/103309,2004-12-01,cited by applicant,WO
8909759,96,2006-0068186,2006-06-01,cited by applicant,KR
D821513,8,101204618,2008-06-01,cited by applicant,CN
5322494,0,0170837,1986-05-01,,EP
10697465,7,2011063333,2011-05-01,cited by applicant,WO
11180356,9,WO2011/044972,2011-04-01,cited by applicant,WO
5022119,3,2184775,1987-07-01,,GB
11327461,33,WO-2016/131019,2016-08-01,cited by applicant,WO
8784922,14,2008/126045,2008-10-01,cited by applicant,WO
7481743,0,09-294823,1997-11-01,cited by other,JP
10189909,4,WO 2005/123776,2005-01-01,cited by applicant,WO
8470650,2,2226847,2010-09-01,cited by applicant,EP
6533934,1,0399086,1990-11-01,cited by examiner,EP
11276796,3,101300790,2013-08-01,cited by applicant,KR
8332088,5,2006-321466,2006-11-01,cited by other,JP
D891959,33,WO-2012/032294,2012-03-01,cited by applicant,WO
9374268,3,200216539,2002-01-01,cited by applicant,JP
9884456,554,2002-085415,2002-03-01,cited by applicant,JP
8266269,56,WO 97/22936,1997-06-01,cited by other,WO
9781924,15,2015-024549,2015-02-01,cited by applicant,JP
9241755,34,1871216,2012-06-01,cited by applicant,EP
9540603,5,WO2008/068343,2008-06-01,cited by applicant,WO
7199119,35,WO 03/104219,2003-12-01,cited by other,WO
8660332,7,2004522163,2004-07-01,cited by applicant,JP
10559722,11,2010-206039,2010-09-01,cited by applicant,JP
7726939,8,8028491,1996-01-01,cited by other,JP
10994114,43,WO 2008/153460,2008-12-01,cited by applicant,WO
11261327,3,WO 2014/203227,2014-12-01,cited by applicant,WO
9828356,1,2 143 712,2010-01-01,cited by applicant,EP
10676524,23,2011143624,2011-11-01,cited by applicant,WO
7465319,0,426096,1966-12-01,cited by other,CH
8987315,0,427390,1991-05-01,cited by applicant,EP
9776047,8,2009006931,2009-01-01,cited by applicant,WO
