patent_id,citation_sequence,citation_application_id,citation_date,citation_category,citation_country
10834922,50,2010146005,2012-05-01,cited by applicant,RU
9268915,35,2007187677,2007-07-01,cited by applicant,JP
9017317,38,WO-2005038357,2005-04-01,cited by applicant,WO
7365884,40,60-119161,1985-06-01,cited by other,JP
8558201,5,102004035014,2006-02-01,cited by applicant,DE
6488897,1,WO 97/02357,1997-01-01,cited by other,WO
10790925,0,WO 2007/012147,2007-02-01,cited by applicant,WO
8617161,28,1974682,2008-10-01,cited by applicant,EP
6991828,10,WO 96/24620,1996-08-01,cited by other,WO
10142560,129,2012074361,2012-06-01,cited by applicant,WO
8776126,0,2345161,1994-06-01,cited by applicant,CA
6989482,4,62-2014,1987-01-01,cited by other,JP
11160215,1,535532,1993-04-01,cited by applicant,EP
10908188,13,2008-20270,2008-01-01,cited by applicant,JP
7887563,31,11500642,1997-08-01,cited by other,JP
11369201,0,2961675,2011-12-01,cited by examiner,FR
8895521,5,WO 98/18810,1998-05-01,cited by applicant,WO
9660191,85,10-0800125,2008-01-01,cited by applicant,KR
9340363,337,2011-125537,2011-06-01,cited by applicant,JP
9220514,47,WO2010111272,2010-09-01,cited by applicant,WO
9897816,2,2395391,2011-12-01,cited by applicant,EP
10913262,5,2004-306598,2004-11-01,cited by applicant,JP
9544060,0,2042913,2009-01-01,cited by applicant,EP
10777832,29,2014103087,2014-06-01,cited by applicant,JP
9553186,17,537677,1993-04-01,cited by applicant,EP
6902358,3,4316799,1994-07-01,cited by examiner,DE
7546881,489,WO2005/028803,2005-03-01,cited by other,WO
5690829,6,4021123,1991-04-01,,DEX
9079912,177,WO 2014/138168,2014-09-01,cited by applicant,WO
5385409,0,7890275,1975-03-01,,AU
9375158,33,2006130797,2006-12-01,cited by applicant,WF
7833730,263,WO 2005/082849,2005-09-01,cited by other,WO
9331815,9,2012044252,2012-03-01,cited by applicant,JP
D681630,35,00066789-0001,2007-03-01,cited by applicant,EM
5459888,0,0281957,1988-09-01,,EP
7060654,3,1 388 609,2004-02-01,cited by other,EP
7285424,13,898169,1999-02-01,cited by other,EP
9257059,49,98/12583,1998-03-01,cited by applicant,WO
8169432,2,2001-343911,2001-12-01,cited by other,JP
9167214,5,WO 2012169352,2012-12-01,cited by examiner,WO
6995861,6,8-197748,1996-08-01,cited by other,JP
6091001,3,WO 94/02602,1994-02-01,,WO
11319594,25,WO 2012/142334,2012-10-01,cited by applicant,WO
7344507,191,WO 2005/018709,2005-03-01,cited by other,WO
10736165,26,10-2009-0019868,2009-02-01,cited by applicant,KR
9028545,23,WO 00/18333,2000-04-01,cited by applicant,WO
6649358,3,WO 96/04547,1996-02-01,cited by other,WO
D742676,53,2007152145,2007-06-01,cited by applicant,JP
11270809,31,2014-500375,2014-01-01,cited by applicant,JP
10190982,0,103153174,2013-06-01,cited by applicant,CN
10500684,13,100 48 679,2001-12-01,cited by applicant,DE
10709799,14,WO 2009/140242,2009-11-01,cited by applicant,WO
10200735,10,2005-135346,2005-05-01,cited by applicant,JP
8860421,8,10-2009-0015334,2009-02-01,cited by applicant,KR
11095783,7,2012-069010,2012-04-01,cited by applicant,JP
5833150,0,1-247604,1989-10-01,,JPX
11179211,30,2014512888,2014-05-01,cited by applicant,JP
11273033,178,2405966,2014-04-01,cited by applicant,EP
9839226,5,2001211861,2001-08-01,cited by examiner,JP
11097531,59,2013086577,2013-06-01,cited by applicant,WO
8482783,2,5-122424,1993-05-01,cited by applicant,JP
8522859,1,1455156,2004-09-01,cited by applicant,EP
8623764,1,10-1999-0051856,1999-11-01,cited by applicant,KR
8446561,5,2005-268742,2005-09-01,cited by applicant,JP
7325476,16,19939131,2001-03-01,cited by other,DE
7099289,19,WO 02/045330,2002-06-01,cited by other,WO
9414838,134,1095627,2001-05-01,cited by applicant,EP
10701975,814,WO-2016183724,2016-11-01,cited by applicant,WO
9149374,50,891752,1999-01-01,cited by applicant,EP
8584148,0,10214179,1998-08-01,cited by applicant,JP
7717524,2,00/10446,2000-03-01,cited by examiner,WO
8994400,69,03/044953,2003-05-01,cited by applicant,WO
10613685,21,103956006,2014-07-01,cited by applicant,CN
10079493,1,2014025734,2014-02-01,cited by applicant,WO
8287743,120,2040296,1990-02-01,cited by other,JP
10854872,2,9306471,1997-11-01,cited by examiner,JP
9976243,2,100548310,2006-01-01,cited by applicant,KR
9038233,385,WO 02/058527,2002-08-01,cited by applicant,WO
6255363,2,60-194461,1985-10-01,,JP
10945835,25,1629794,2006-03-01,cited by applicant,EP
6104862,2,0 601 963,1994-06-01,,EP
7558179,5,10-228659,1998-08-01,cited by other,JP
9612551,87,2009069177,2009-04-01,cited by applicant,JP
9168069,167,2010019857,2010-02-01,cited by applicant,WO
10766259,15,2013-6363,2013-01-01,cited by applicant,JP
7438566,2,01/91248,2001-11-01,cited by other,WO
10767928,0,2365769,1976-04-01,cited by examiner,DE
10835011,10,10-1149904,2012-05-01,cited by applicant,KR
9406628,1,2002-110799,2002-04-01,cited by applicant,JP
5890343,13,15550,1899-07-01,,GB
6352471,5,61-152373,1986-07-01,cited by other,JP
9071070,1,1116784,1996-02-01,cited by applicant,CN
9588748,35,2005-028103,2005-02-01,cited by applicant,JP
11222741,0,6188096,1994-07-01,cited by examiner,JP
9050925,0,29 36 981,1981-03-01,cited by applicant,DE
10806515,8,4403252,1995-08-01,cited by applicant,DE
7275601,38,1555386,2005-07-01,cited by other,EP
7226734,39,WO 98/31836,1998-07-01,cited by other,WO
9051108,8,330786,2010-05-01,cited by applicant,AU
6659860,0,0 685 246,1995-12-01,cited by other,EP
9585662,1021,WO 2012/044820,2012-04-01,cited by applicant,WO
6356198,0,WO 98/11504,1998-03-01,cited by other,WO
10137101,55,WO-2010/063472,2010-06-01,cited by applicant,WO
7847074,46,2007/028814,2007-03-01,cited by other,WO
6738612,6,9-98044,1997-04-01,cited by other,JP
10086080,167,2002-524490,2002-08-01,cited by applicant,JP
10655188,35,2288701,2015-06-01,cited by applicant,EP
11319689,3,2115467,1983-09-01,cited by examiner,GB
7856317,2,WO 01/36658,2001-05-01,cited by other,WO
9938564,98,WO 2006/034061,2006-03-01,cited by applicant,WO
10150276,0,101046271,2007-10-01,cited by applicant,CN
6191175,8,409086,1991-01-01,,EP
5324814,1,45-3368,1970-02-01,,JP
6855057,7,11-290552,1999-10-01,cited by other,JP
10494572,16,WO2005094990,2005-10-01,cited by examiner,WO
11177992,4,105141399,2015-12-01,cited by applicant,CN
5390985,1,87120,1983-05-01,,AU
D843920,1,002544510-0002,2014-10-01,cited by applicant,EM
9729459,1,101115008,2008-01-01,cited by applicant,CN
11038869,1,2017/016454,2017-02-01,cited by applicant,WO
6821965,8,WO 99/59959,1999-11-01,cited by other,WO
8686932,6,200521585,2005-07-01,cited by applicant,TW
10683171,42,2748398,2007-12-01,cited by applicant,CA
8605107,4,10-0844774,2008-07-01,cited by applicant,KR
10520885,13,2007-058068,2007-03-01,cited by applicant,JP
9364538,4,WO 2005/077391,2005-08-01,cited by applicant,WO
7137229,87,2 691 491,1993-11-01,cited by other,FR
7928850,110,WO-02/078512,2002-10-01,cited by other,WO
8581407,1,7169873,1995-07-01,cited by applicant,JP
10437426,2,103002184,2013-03-01,cited by applicant,CN
10695541,0,WO 98/52639,1998-11-01,cited by applicant,WO
8577916,65,WO 00/33238,2000-06-01,cited by applicant,WO
9009000,192,2010108089,2010-09-01,cited by applicant,WO
9845297,42,WO3072574,2003-09-01,cited by applicant,WO
9831982,4,2013123961,2013-08-01,cited by applicant,WO
5389504,4,62-18558,1987-01-01,,JP
8694652,128,507195,2002-10-01,cited by applicant,TW
5964433,3,1956760,1971-05-01,,DE
10152044,5,60-175555,1985-11-01,cited by applicant,JP
11082010,17,3134815,1983-03-01,cited by applicant,DE
9397117,2,101097391,2008-01-01,cited by applicant,CN
10919714,3,104692126,2015-06-01,cited by applicant,CN
5966693,0,3-065785,1991-03-01,,JP
10335145,1093,WO-0105702,2001-01-01,cited by applicant,WO
7201811,1,2001-001059,2001-01-01,cited by examiner,JP
10786372,2,WO-03032871,2003-04-01,cited by examiner,WO
11369623,358,WO 2011/162343,2011-12-01,cited by applicant,WO
10637516,2,2016014648,2016-01-01,cited by applicant,JP
5536495,23,WO93/15211,1993-08-01,,WO
7943310,3,WO 2004/112589,2004-12-01,cited by examiner,WO
5613335,1,487518,1952-10-01,,CA
7161227,160,WO 02/099885,2002-12-01,cited by other,WO
10436712,18,10 2008 052 357,2009-10-01,cited by applicant,DE
7714013,29,WO 99-07402,1999-02-01,cited by other,WO
7341588,1,486483,1992-05-01,cited by other,EP
9969123,3,2 534 793,1984-04-01,cited by applicant,FR
8010368,6,2004-267634,2004-09-01,cited by other,JP
8676639,18,20060095895,2006-09-01,cited by applicant,KR
9824282,7,10-2012-0137382,2014-07-01,cited by applicant,KR
11452854,14,2012200572,2012-10-01,cited by applicant,JP
7710658,7,WO2007/008766,2007-01-01,cited by other,WO
5357171,2,3121689C2,1983-07-01,,DE
11138082,3,WO2008103569,2008-08-01,cited by applicant,WO
7083873,26,04-010214,1992-01-01,cited by other,JP
6628959,1,8019035,1996-01-01,cited by other,JP
11087131,15,2000/175183,2000-06-01,cited by applicant,JP
5683615,2,WO 94/10694,1994-05-01,,WOX
11087140,1,104112209,2014-10-01,cited by applicant,CN
9916080,55,2003-186597,2003-07-01,cited by applicant,JP
10276170,231,2008-97003,2008-04-01,cited by applicant,JP
9528561,23,0 635 639,1995-01-01,cited by applicant,EP
5234211,4,1-156272,1989-06-01,,JP
6005278,3,6-13643,1994-01-01,,JP
10357303,245,2008036390,2008-02-01,cited by applicant,JP
8135251,2,2008-058926,2008-03-01,cited by other,JP
6290936,2,WO 95/28912,1995-11-01,,WO
11391388,34,WO2019131703,2019-07-01,cited by applicant,WO
9861887,43,07-028591,1995-01-01,cited by applicant,JP
9872769,59,2009/130631,2009-10-01,cited by applicant,WO
8270878,6,2002049209,2002-02-01,cited by other,JP
8347824,30,1972745,2007-03-01,cited by other,EP
4164005,0,1293333,1970-01-01,,GB
4585573,2,7096079,1982-06-01,,JP
8545460,15,619101,1994-02-01,cited by applicant,EP
11238252,22,1152472,2001-11-01,cited by applicant,EP
9601946,2,102005827,2011-04-01,cited by applicant,CN
8256732,10,69604281,2000-05-01,cited by other,DE
8719247,6,WO-00/38074,2000-06-01,cited by applicant,WO
6614071,2,8-23081,1996-01-01,cited by other,JP
8192813,228,3325377,2002-09-01,cited by other,JP
10610525,6,2016205069,2016-12-01,cited by applicant,WO
10591391,224,WO 2007/132167,2008-05-01,cited by applicant,WO
5978183,0,5-325138,1993-12-01,,JP
9833735,0,201592058,2010-09-01,cited by applicant,CN
RE43203,0,0 721 131,1996-07-01,cited by other,EP
8062336,43,WO200124,2002-01-01,cited by other,WO
10398371,4,2008129702,2008-10-01,cited by applicant,WO
9429854,60,A-2012-138621,2012-07-01,cited by applicant,JP
5845760,3,39 12 683 A1,1989-04-01,,DEX
6846312,17,9616606,1996-06-01,cited by other,WO
10603456,192,WO 07/059504,2007-05-01,cited by applicant,WO
8217069,10,2006/127584,2006-11-01,cited by other,WO
10779824,276,2010069307,2010-04-01,cited by applicant,JP
10364427,0,1820793,2007-08-01,cited by applicant,EP
8541424,97,WO 2010/075380,2010-07-01,cited by applicant,WO
7885230,4,2005050873,2005-06-01,cited by other,WO
9726979,35,816892,1998-01-01,cited by applicant,EP
10819109,1,102290804,2011-12-01,cited by applicant,CN
10477345,2,10-1282824,2013-07-01,cited by applicant,KR
11270809,44,2014/119498,2014-08-01,cited by applicant,WO
8927739,32,2010122162,2010-10-01,cited by applicant,WO
9839613,6,61053227,1986-03-01,cited by applicant,JP
6080710,23,1475229,1977-06-01,,GB
10675187,162,1669046,2006-06-01,cited by applicant,EP
10492685,33,1077634,2003-07-01,cited by applicant,EP
9803166,6,2007/071072,2007-06-01,cited by applicant,WO
6482496,2,3520479,1986-10-01,cited by other,DE
4516621,9,1062093,1967-03-01,,GB
7247707,42,WO 92/01229,1992-01-01,cited by other,WO
7727390,1,36 22 154,1987-05-01,cited by other,DE
6570699,12,60-203914,1985-10-01,cited by other,JP
7308782,5,2 281 245,1995-03-01,cited by other,GB
9605078,17,WO 9623794,1996-08-01,cited by applicant,WO
5837529,0,873653,1979-07-01,,BEX
8883100,7,WO-01/12320,2001-02-01,cited by applicant,WO
10568735,32,1360946,2003-11-01,cited by applicant,EP
8730450,42,WO 2004/053955,2004-06-01,cited by applicant,WO
6954256,0,224448,1985-07-01,cited by other,DE
8891388,1,1859636,2006-11-01,cited by applicant,CN
8241669,2,2 252 730,1992-08-01,cited by other,GB
10588626,160,2024012,1980-01-01,cited by applicant,GB
RE42625,49,471683,1990-04-01,cited by other,EP
7104559,1,2001-80307,2001-03-01,cited by other,JP
10487976,0,S6021012,1985-02-01,cited by applicant,JP
5767169,5,2259704,1993-03-01,,GBX
9066697,225,WO-00/13580,2000-03-01,cited by applicant,WO
9753346,7,2003-043948,2003-02-01,cited by applicant,JP
6945957,7,WO00/45744,2000-08-01,cited by other,WO
7767643,39,WO 00/32772,2000-06-01,cited by other,WO
11450408,137,2010/033639,2010-03-01,cited by applicant,WO
11117947,76,2006096515,2006-09-01,cited by applicant,WO
11020128,149,2014000425,2014-01-01,cited by applicant,JP
5958271,32,2147788,1985-05-01,,GB
10089589,0,1282269,2003-02-01,cited by examiner,EP
10503084,24,5-62877,1993-03-01,cited by applicant,JP
10858130,7,198149,2001-12-01,cited by applicant,WO
10068906,21,2004-273732,2004-09-01,cited by applicant,JP
7204007,455,WO05/024170,2005-03-01,cited by other,WO
5207034,8,2840029,1979-11-01,,DE
7336266,5,8-335726,1996-12-01,cited by other,JP
9463324,1,619123,1994-10-01,cited by applicant,EP
11312146,42,2016185664,2016-10-01,cited by applicant,JP
9765979,68,2660739,1991-10-01,cited by applicant,FR
9241990,11,WO 2004/039826,2004-05-01,cited by applicant,WO
8964878,31,2006/130742,2006-12-01,cited by applicant,WO
7109568,3,10-92947,1998-04-01,cited by other,JP
9001402,9,2008-089931,2008-04-01,cited by applicant,JP
11152100,57,2010-181280,2010-08-01,cited by applicant,JP
8057711,12,1797823,2006-07-01,cited by other,CN
10738048,126,WO 2001/29041,2001-04-01,cited by applicant,WO
10701254,57,2012030004,2012-02-01,cited by applicant,JP
9312659,2,2007-273951,2007-10-01,cited by applicant,JP
7011464,2,2000-143054,2000-05-01,cited by other,JP
9275993,0,2005-064052,2005-03-01,cited by applicant,JP
9290659,3,2011-057864,2011-03-01,cited by applicant,JP
10536013,128,WO2014029105,2014-02-01,cited by applicant,WO
10519242,134,WO2014079000,2014-05-01,cited by applicant,WO
10843362,1,2421676,2006-07-01,cited by applicant,GB
10058327,113,676173,1998-09-01,cited by applicant,EP
8343484,4,WO-9949877,1999-10-01,cited by other,WO
10245104,31,H05-5106,1993-01-01,cited by applicant,JP
6341836,15,9/-31880,1997-05-01,,JP
9401794,4,WO 2010/123257,2010-10-01,cited by examiner,WO
9588625,7,WO-2008061385,2008-05-01,cited by applicant,WO
11223771,154,2005-31466,2005-02-01,cited by applicant,JP
8042362,0,1254868,2002-06-01,cited by other,EP
9247750,0,21 13 124,1971-11-01,cited by applicant,DE
6418097,15,407215,1991-01-01,cited by other,EP
7572250,7,94/18927,1994-09-01,cited by other,WO
9567001,3,1-240368,1989-09-01,cited by applicant,JP
8410132,0,19532235,1997-03-01,cited by applicant,DE
11117959,4,WO1988007089,1988-09-01,cited by applicant,WO
9459203,6,589191,1994-03-01,cited by applicant,EP
9017942,142,WO 2006/041453,2006-04-01,cited by applicant,WO
10766105,13,2700788,2014-02-01,cited by applicant,EP
8077950,84,WO 02/34310,2002-05-01,cited by other,WO
8969363,145,WO 2007/112005,2007-10-01,cited by applicant,WO
11091678,74,3319758,2018-05-01,cited by applicant,EP
8735901,2,2002-323704,2002-11-01,cited by applicant,JP
9795381,180,949886,2002-09-01,cited by applicant,EP
8225768,8,2008-334077,1996-12-01,cited by other,JP
10854498,224,2009154889,2009-12-01,cited by applicant,WO
9024775,1,10 2009 013 440,2009-09-01,cited by applicant,DE
8937168,6,52-062300,1977-05-01,cited by applicant,JP
4942755,1,34765,1977-03-01,,JP
9364233,636,4783373,2011-07-01,cited by applicant,JP
7566833,1,2003-152383,2003-05-01,cited by other,JP
10168540,0,197 00 162,1998-07-01,cited by applicant,DE
10085823,5,69327661,2000-07-01,cited by applicant,DE
7249692,4,2 238 088,1991-05-01,cited by other,GB
10793745,19,H08-192469,1996-07-01,cited by applicant,JP
6937160,0,31 16690,1982-11-01,cited by other,DE
11191416,42,2059160,2015-03-01,cited by applicant,EP
9049071,3,736989,1996-10-01,cited by applicant,EP
8098181,61,WO2005/103736,2005-11-01,cited by other,WO
8413312,25,WO 2005/116359,2005-12-01,cited by applicant,WO
9873437,57,4361011,2009-11-01,cited by applicant,JP
4353088,1,1268136,1972-03-01,,GB
7137587,0,50-55759,1975-05-01,cited by other,JP
10238778,41,9818507,1998-05-01,cited by applicant,WO
8921364,15,WO-2006115140,2006-11-01,cited by applicant,WO
10589559,1,069646,2000-11-01,cited by applicant,WO
9957965,2,6-000631,1994-01-01,cited by applicant,JP
7071499,2,2001-250939,2001-09-01,cited by other,JP
9656835,0,101132983,2008-02-01,cited by applicant,CN
5146320,0,0253990,1986-11-01,,JP
11426407,72,WO 2008/127399,2008-10-01,cited by applicant,WO
10048097,5,3511468,2004-01-01,cited by applicant,JP
8323407,5,2001-119106,2001-04-01,cited by other,JP
7087570,16,195 47 457,1997-06-01,cited by other,DE
10556493,4,601 28 619,2008-01-01,cited by applicant,DE
10524507,2,1618803,2006-01-01,cited by applicant,EP
7875587,17,96/22308,1996-07-01,cited by other,WO
6833179,10,761 193,1997-03-01,cited by other,EP
4619571,8,2043035,1980-10-01,,GB
8209377,5,2002074525,2002-03-01,cited by examiner,JP
6732523,3,1 026 378,2000-08-01,cited by other,EP
9916266,4,673572,2000-06-01,cited by applicant,EP
D665182,12,1078852,2005-10-01,cited by other,EP
7877852,144,WO 2005/004734,2005-01-01,cited by other,WO
8961507,49,99/42047,1999-08-01,cited by applicant,WO
10416154,10,2010/059820,2010-05-01,cited by applicant,WO
10192960,2,2001-352065,2001-12-01,cited by applicant,JP
RE37315,6,2600205,1987-12-01,,FR
8058250,32,WO 03/040410,2003-05-01,cited by other,WO
8739492,49,WO 2005/003647,2005-01-01,cited by applicant,WO
10722831,1,1022984,1966-03-01,cited by applicant,GB
11085281,65,202463957,2012-10-01,cited by applicant,CN
10473567,2,2006-305517,2006-11-01,cited by applicant,JP
7610411,5,2000-003259,2000-01-01,cited by other,JP
9552241,1,11-312120,1999-11-01,cited by applicant,JP
8081663,1,2007-20183,2007-01-01,cited by other,JP
10372101,1,02-077340,1990-03-01,cited by applicant,JP
10486504,14,WO-2016207189,2016-12-01,cited by examiner,WO
6959800,43,2-12492,1990-02-01,cited by other,JP
8973841,388,2006-309401,2006-11-01,cited by applicant,JP
10819168,5,0 854 558,1998-07-01,cited by applicant,EP
8383097,1,2002-226893,2002-08-01,cited by applicant,JP
8978425,8,10-2006-0062182,2006-06-01,cited by applicant,KR
11137578,1,107664812,2018-02-01,cited by applicant,CN
10788931,117,109821211,2019-05-01,cited by applicant,CN
10710201,0,2002-146497,2002-05-01,cited by examiner,JP
7643811,29,WO 02/067469,2002-08-01,cited by other,WO
6071538,6,0 170 540 A1,1986-02-01,,EP
10907865,5,2013184522,2013-12-01,cited by applicant,WO
7936979,2,0 795 872,1997-09-01,cited by other,EP
10655786,1,2015110718,2015-07-01,cited by applicant,WO
8623007,42,1776929,2007-04-01,cited by applicant,EP
9851628,3,103412454,2013-11-01,cited by applicant,CN
8281098,3,10-154123,1998-06-01,cited by other,JP
8245439,34,WO 01/22043,2001-03-01,cited by other,WO
7871353,32,04-272553,1992-09-01,cited by other,JP
11394670,37,2011/127049,2011-10-01,cited by applicant,WO
8989546,3,2001-315047,2001-11-01,cited by applicant,JP
9190528,45,2008-286911,2008-11-01,cited by applicant,JP
11052104,9,2015188197,2015-12-01,cited by applicant,WO
6287724,3,0 696 825 A1,1996-02-01,,EP
9794031,11,03/058852,2003-07-01,cited by applicant,WO
8852181,4,428812,1991-05-01,cited by applicant,EP
10982297,7,4427010,2010-03-01,cited by applicant,JP
7852977,1,1093864,1989-04-01,cited by other,JP
11155533,149,WO 2014/181287,2014-11-01,cited by applicant,WO
10468211,129,2008041431,2008-02-01,cited by applicant,JP
7946055,110,WO 8503462,1985-08-01,cited by examiner,WO
9517677,3,101614450,2009-12-01,cited by applicant,CN
9663517,106,WO-2004/009601,2004-01-01,cited by applicant,WO
9320523,262,1857057,2007-11-01,cited by applicant,EP
11372138,16,WO 2009/098883,2009-08-01,cited by applicant,WO
8830146,31,08-241048,1996-09-01,cited by applicant,JP
9084557,13,2008029740,2008-02-01,cited by applicant,JP
7269671,2,242912,2002-05-01,cited by other,WO
8904301,0,101163297,2008-04-01,cited by applicant,CN
7250927,20,10-228012,1998-08-01,cited by other,JP
9673163,7,2006/074165,2006-07-01,cited by applicant,WO
6350738,6,WO 95/24415,1995-09-01,cited by other,WO
8723705,147,9923783,1999-05-01,cited by applicant,WO
10510243,0,2 386 054,2011-11-01,cited by applicant,EP
8636635,10,955071,2004-02-01,cited by applicant,EP
5223390,0,0229982,1987-07-01,,EP
9017951,16,WO 2010/120561,2010-10-01,cited by applicant,WO
6698377,7,02002041049,2002-02-01,cited by examiner,JP
7621476,0,348 886,1978-07-01,cited by other,AT
8226701,7,997115,2000-05-01,cited by other,EP
8721537,97,WO 01/91652,2001-12-01,cited by applicant,WO
8160308,33,WO 03/019473,2003-03-01,cited by other,WO
D930000,24,3006364910001,2012-03-01,cited by applicant,KR
9242939,95,2012027543,2012-03-01,cited by applicant,WO
9597398,0,101584668,2009-11-01,cited by applicant,CN
6361579,4,2650628,1991-02-01,cited by other,FR
5066497,0,659698,1951-10-01,,GB
11131724,6,2018004462,2018-01-01,cited by applicant,JP
9425478,15,494598,2002-07-01,cited by applicant,TW
11183715,1,5862836,2016-02-01,cited by applicant,JP
9579159,18,8906978,1989-08-01,cited by applicant,WO
9771451,26,2090605,2009-08-01,cited by applicant,EP
10159282,859,WO-2016187803,2016-12-01,cited by applicant,WO
8900216,5,11-089940,1999-04-01,cited by applicant,JP
10426481,1147,WO-2004004578,2004-01-01,cited by applicant,WO
5267731,1,8307792,1983-06-01,,DE
6955661,9,WO 97/10871,1997-03-01,cited by other,WO
9772545,0,51-004339,1976-01-01,cited by applicant,JP
9878332,7,2010043968,2010-04-01,cited by applicant,WO
8283513,10,363255,1930-06-01,cited by other,GB
8323237,10,WO 02/072173,2002-09-01,cited by other,WO
5531322,0,2266707,1983-11-01,,GB
8369851,3,1852143,2006-10-01,cited by applicant,CN
7734747,18,794 493,1997-09-01,cited by other,EP
10716565,264,2009507526,2009-02-01,cited by applicant,JP
7422841,11,11-212247,1999-06-01,cited by other,JP
6894826,0,1 063 742,2000-12-01,cited by other,EP
6156888,12,WO 89/02922,1989-04-01,,WO
6925384,2,WO02/073236,2002-09-01,cited by other,WO
9714686,9,2009154734,2009-12-01,cited by applicant,WO
6863065,0,3520694,1986-01-01,cited by examiner,DE
9877355,0,2005-136984,2005-05-01,cited by applicant,JP
10159717,2,WO 2007/105203,2007-09-01,cited by applicant,WO
9036890,47,1231579,2002-08-01,cited by applicant,EP
9764034,6,2006063189,2006-06-01,cited by applicant,WO
6558913,2,WO 93/10261,1993-05-01,cited by other,WO
11262187,7,2002-062117,2002-02-01,cited by applicant,JP
10180161,0,102008020069,2009-10-01,cited by examiner,DE
10555186,6,10-2009-0011260,2009-02-01,cited by applicant,KR
7323117,2,58/103594,1983-06-01,cited by other,JP
7858242,4,2000-285960,2000-10-01,cited by other,JP
6803736,1,0 660 017,1995-06-01,cited by other,EP
7633374,17,WO02/089160,2002-11-01,cited by other,WO
7878506,42,3831740,1990-03-01,cited by other,DE
11010550,512,2008/071231,2008-06-01,cited by applicant,WO
9928802,11,10-2009-0035667,2009-04-01,cited by applicant,KR
9132682,243,2002104568,2002-04-01,cited by applicant,JP
4907548,0,1084271,1960-06-01,,DE
6996049,1,09-180248,1997-07-01,cited by other,JP
11325859,61,2838734,2003-10-01,cited by applicant,FR
9181221,194,2009010925,2009-01-01,cited by applicant,WO
8158009,0,403858,1924-10-01,cited by other,DE
9240296,9,M441152,2012-11-01,cited by applicant,TW
4147401,0,639296,1936-11-01,,DE
8173654,6,2147013,1973-03-01,cited by other,DE
7090151,6,2 305 217,1997-04-01,cited by other,GB
8459529,10,WO 01/70435,2001-09-01,cited by applicant,WO
10261240,1,102109633,2011-06-01,cited by applicant,CN
11045407,11,2842200,2004-01-01,cited by applicant,FR
7530836,2,WO 2007/102983,2007-09-01,cited by other,WO
11311376,1054,2741682,2017-10-01,cited by applicant,EP
10580011,1,2 533 186,2012-12-01,cited by applicant,EP
D840691,122,D1259839,2005-11-01,cited by applicant,JP
10017295,18,3009188,1995-03-01,cited by applicant,JP
11083857,70,WO 2015/196367,2015-12-01,cited by applicant,WO
6510691,2,0 323 253,1989-07-01,cited by examiner,EP
6243279,10,10-326486,1998-12-01,,JP
9962361,18,WO 2013/003601,2013-01-01,cited by applicant,WO
7911361,4,A-9-257507,1997-10-01,cited by other,JP
9636450,14,WO-96/25089,1996-08-01,cited by applicant,WO
9825038,11,11-505377,1999-05-01,cited by applicant,JP
9050628,5,2006-101204,2006-04-01,cited by applicant,JP
11124328,2,1222478,2005-10-01,cited by applicant,CN
6291188,13,93/23425,1993-11-01,,WO
8512764,8,06 040882,1994-02-01,cited by applicant,JP
7862922,4,2003-257453,2003-09-01,cited by other,JP
10471268,27,WO-2013/019853,2013-02-01,cited by applicant,WO
5781364,0,63-52384,1988-03-01,,JPX
7061066,6,1205980,2002-05-01,cited by other,EP
8175649,25,2006/052216,2006-05-01,cited by other,WO
9670273,1,WO 2004/041067,2004-05-01,cited by applicant,WO
6942417,16,03-277809,1991-12-01,cited by other,JP
4550095,2,43094,1978-04-01,,JP
8597695,6,2006/053049,2006-05-01,cited by applicant,WO
7034993,14,WO 02/080378,2002-10-01,cited by examiner,WO
6103711,26,WO 94/00154,1994-01-01,,WO
9110200,6,1760502,2007-03-01,cited by applicant,EP
5927743,5,2686798,1993-08-01,,FR
8726459,55,07-313412,1995-12-01,cited by applicant,JP
9358276,20,2267445,2010-12-01,cited by applicant,EP
4092339,1,"1,154,228",1969-06-01,,UK
8709100,34,WO2010139878,2010-12-01,cited by applicant,WO
7869196,41,A 2005-524570,2005-08-01,cited by other,JP
11191679,424,5129536,2012-11-01,cited by applicant,JP
9040562,10,WO 00/59929,2000-10-01,cited by applicant,WO
3971140,0,"377,561",1964-06-01,,CH
11438288,5,109863532,2019-06-01,cited by applicant,CN
10918558,1,101103949,2008-01-01,cited by applicant,CN
9310480,2,WO 9735209,1997-09-01,cited by examiner,WO
6309719,10,10-158935,1998-06-01,,JP
4349483,0,2643143,1977-06-01,,DE
6462960,4,WO 98/08365,1998-02-01,cited by other,WO
10333149,23,2008-520804,2008-06-01,cited by applicant,JP
8541905,9,WO 2011/014597,2011-02-01,cited by applicant,WO
5484690,0,350046,1990-01-01,,EP
4992806,8,2152877,1985-08-01,,GB
10200233,2,1020070094020,2007-09-01,cited by applicant,KR
10774278,12,2013-173898,2013-09-01,cited by applicant,JP
11287155,1,20170192752,2017-11-01,cited by applicant,WO
6849820,1,6-31462,1994-02-01,cited by other,JP
11253460,0,1997193541,1997-03-01,cited by applicant,CN
10646519,2,2790325,2011-02-01,cited by applicant,CA
8071394,63,WO 2005/008216,2005-07-01,cited by other,WO
8570028,42,60-189231,1985-09-01,cited by applicant,JP
6676566,1,0784171,1997-07-01,cited by examiner,EP
7273103,13,1775125,1992-11-01,cited by other,SU
