patent_id,raw_examiner_name_first,raw_examiner_name_last,examiner_role,art_group
6197463,Janis L.,Dote,primary,
7497024,G. Bradley,Bennett,primary,2841.0
D906553,Marcus A,Jackson,primary,2916.0
9506330,Ronald,Runyan,assistant,3672.0
10113525,Pedro J,Cuevas,primary,2831.0
8348613,Julio J,Maldonado,primary,2898.0
6214565,Rodney P.,Swartz,primary,
9516027,Barry,Taylor,primary,2646.0
D562039,George D,Kirschbaum,assistant,2913.0
9429960,Shahid,Alam,primary,2162.0
10541836,Samina F,Choudhry,primary,2462.0
9212526,Benjamin,Fiorello,primary,3672.0
6520972,Gary,Jackson,primary,3731.0
5000638,Suzanne L.,Dino,assistant,
11338801,Charles J,Han,primary,3665.0
4932746,William L.,Sikes,primary,
4314968,Ronald,Serwin,primary,
4928141,Ed,Pipala,assistant,
7374370,Tara L.,Mayo,primary,3671.0
6442498,Kamini,Shah,primary,2857.0
9462208,Adnan,Baig,primary,2461.0
6480436,Anh,Phung,assistant,2824.0
9404788,David A,Rogers,primary,2856.0
6077993,Medina A.,Ibrahim,assistant,
9923938,Abdelali,Serrou,primary,2659.0
9383309,Md M,Rahman,assistant,2886.0
D890423,Zenia I,Bennett,primary,2913.0
D629862,T. Chase,Nelson,primary,2914.0
7662794,Terra Cotta,Gibbs,assistant,1635.0
4941802,John T.,Kwon,primary,
4436433,Frank W.,Lutter,primary,
9466876,Dameon E,Levi,primary,2845.0
9087456,Kurt,Fernstrom,primary,3711.0
6593695,Don,Wong,primary,2821.0
D809925,Katrina N,Gonzalez,assistant,2924.0
8028333,Trang,Doan,assistant,2431.0
9476122,Michael,Band,primary,1754.0
5890527,David M.,Purol,primary,
8277305,Ryan,Hsu,assistant,3716.0
11452751,Michael V,Meller,primary,1655.0
4606211,Lowell A.,Larson,primary,
D733224,Sandra,Morris,primary,2912.0
5903452,Jeffrey,Sterrett,primary,
8316250,Jaweed A,Abbaszadeh,primary,2115.0
4981427,Jill L.,Heitbrink,primary,
7830210,Patricia,Nguyen,primary,2817.0
9286129,Steven,Do,assistant,2196.0
7657129,Frank G,Font,primary,2883.0
6611671,Quana M.,Grainger,primary,2852.0
5755940,T.                            ,Tung,primary,
4542642,Joseph W.,Roskos,assistant,
8072207,Vincent Q,Nguyen,primary,2858.0
6248840,Bernard,Lipman,primary,
6370042,Bao Q.,Vu,primary,2838.0
8774612,Linda B,Smith,assistant,2852.0
10677971,Nicholas R.,Pasko,primary,2872.0
9044625,Steven,Douglas,primary,3771.0
6292717,Paul P.,Gordon,primary,
11457237,Philip P.,Dang,primary,2488.0
9258437,Jonathan R,Beckley,assistant,2672.0
10828926,Thien M,Le,primary,2887.0
9866044,Yalkew,Fantu,primary,2859.0
9640565,Aaron,Dehne,assistant,2829.0
6937977,Vijay,Chawan,primary,2654.0
6450061,Rodney H,Bonck,primary,3681.0
10750393,Moo,Jeong,primary,2473.0
4684990,Howard W.,Britton,primary,
7307952,Hassan,Kizou,primary,2616.0
9446648,Nicole,Verley,primary,3616.0
6566900,Paresh,Patel,assistant,2829.0
6772890,Erica B.,Harris,assistant,3634.0
9341350,Angela,Davison,assistant,2871.0
10574083,Vuthe,Siek,primary,2851.0
4965006,Olik,Chaudhuri,primary,
9781764,Fan,Ng,primary,2416.0
9965708,Christopher D,Wait,primary,2672.0
4225057,Edward M.,Wacyra,assistant,
9733019,Lee E,Sanderson,primary,1782.0
8001644,Randall,Chin,primary,3723.0
5361621,Daniel C.,Crane,primary,
D679876,Ian,Simmons,primary,2916.0
6058720,William E.,Tapolcai,primary,
D854032,Melanie H,Tung,primary,2919.0
8874571,Navneet K,Ahluwalia,assistant,2166.0
6844056,Monique R.,Jackson,primary,1773.0
D257093,Barbara J.,Bullock,primary,
10880138,Ted M,Wang,primary,2633.0
4098863,Willard E.,Hoag,primary,
6240821,Kim Ngoc,Tran,assistant,
9532604,Thor,Campbell,primary,3742.0
11132826,Matthew,Salvucci,primary,2613.0
D798620,Kevin,Rudzinski,primary,2924.0
6903881,Scott J.,Sugarman,primary,2873.0
10143879,Loan H,Thanh,primary,3764.0
