cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
H01M,"PROCESSES OR MEANS, e.g. BATTERIES, FOR THE DIRECT CONVERSION OF CHEMICAL ENERGY INTO ELECTRICAL ENERGY",H01M8/122,"Fuel cells; Manufacture thereof-Fuel cells with solid electrolytes-operating at high temperature, e.g. with stabilised ZrO2 electrolyte-characterised by the electrode/electrolyte combination or the supporting material-Corrugated, curved or wave-shaped MEA",H01,BASIC ELECTRIC ELEMENTS
C04B,"LIME, MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS; ARTIFICIAL STONE ; CERAMICS ; REFRACTORIES; TREATMENT OF NATURAL STONE",C04B41/4823,"After-treatment of mortars, concrete, artificial stone or ceramics; Treatment of natural stone -Coating or impregnating ; , ; e.g. injection in masonry, partial coating of green or fired ceramics, organic coating compositions for adhering together two concrete elements -with organic materials-Macromolecular compounds-Phenol-formaldehyde condensation products",C04,CEMENTS; CONCRETE; ARTIFICIAL STONE; CERAMICS; REFRACTORIES
E06B,"FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES OR LIKE ENCLOSURES IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES ",E06B5/11,"Doors, windows, or like closures for special purposes ; Border constructions therefor-for protection against air-raid or other war-like action; for other protective purposes-against burglary",E06,"DOORS, WINDOWS, SHUTTERS, OR ROLLER BLINDS IN GENERAL; LADDERS"
Y10S,TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS,Y10S165/429,"Heat exchange-having separate flow passage for two distinct fluids-Shell enclosed conduit assembly-Manifold for tube-side fluid, i.e. parallel-Line-connected conduit assemblies",Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
H04N,"PICTORIAL COMMUNICATION, e.g. TELEVISION",H04N1/401,"Scanning, transmission or reproduction of documents or the like, e.g. facsimile transmission; Details thereof-Picture signal circuits -Compensating positionally unequal response of the pick-up or reproducing head ",H04,ELECTRIC COMMUNICATION TECHNIQUE
A63F,"CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR",A63F7/066,"Indoor games using small moving playing bodies, e.g. balls, discs or blocks -Games simulating outdoor ball games, e.g. hockey ; or football -the playing bodies being projected by means of compressed air",A63,SPORTS; GAMES; AMUSEMENTS
A47L,DOMESTIC WASHING OR CLEANING ; SUCTION CLEANERS IN GENERAL ,A47L13/142,"Implements for cleaning floors, carpets, furniture, walls, or wall coverings -Scrubbing; Scouring; Cleaning; Polishing-combined with squeezing or wringing devices-having torsional squeezing or wringing action",A47,FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL
G06V,IMAGE OR VIDEO RECOGNITION OR UNDERSTANDING,G06V30/1988,"Character recognition; Recognising digital ink; Document-oriented image-based pattern recognition -Character recognition-Recognition using electronic means-using sequential comparisons of the image signals with a plurality of references-Syntactic or structural pattern recognition, e.g. symbolic string recognition-Graph matching ",G06,COMPUTING; CALCULATING; COUNTING
F02B,INTERNAL-COMBUSTION PISTON ENGINES; COMBUSTION ENGINES IN GENERAL ,F02B19/1019,"Engines characterised by precombustion chambers-with fuel introduced partly into pre-combustion chamber, and partly into cylinder-with only one pre-combustion chamber ",F02,COMBUSTION ENGINES; HOT-GAS OR COMBUSTION-PRODUCT ENGINE PLANTS
Y10S,TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS,Y10S165/41,"Heat exchange-having separate flow passage for two distinct fluids-Shell enclosed conduit assembly-including tube support or shell-side flow director-Extending in a longitudinal direction-internal casing or tube sleeve-including transverse element, e.g. fin, baffle-Movable internal casing connecting to transverse element",Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
G10H,ELECTROPHONIC MUSICAL INSTRUMENTS ,G10H2220/091,"Input/output interfacing specifically adapted for electrophonic musical tools or instruments-Graphical user interface [GUI] specifically adapted for electrophonic musical instruments, e.g. interactive musical displays, musical instrument icons or menus; Details of user interactions therewith ",G10,MUSICAL INSTRUMENTS; ACOUSTICS
B29D,PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE ,B29D2030/486,"Producing pneumatic or solid tyres or parts thereof -Pneumatic tyres or parts thereof ; (e.g. produced by casting, moulding, compression moulding, injection moulding, centrifugal casting)-Bead-rings or bead-cores ; Treatment thereof prior to building the tyre-Additional components for the tyre bead areas, e.g. cushioning elements, chafers, flippers",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
C22C,ALLOYS ,C22C33/08,Making ferrous alloys-Making cast-iron alloys,C22,METALLURGY; FERROUS OR NON-FERROUS ALLOYS; TREATMENT OF ALLOYS OR NON-FERROUS METALS
G01B,"MEASURING LENGTH, THICKNESS OR SIMILAR LINEAR DIMENSIONS; MEASURING ANGLES; MEASURING AREAS; MEASURING IRREGULARITIES OF SURFACES OR CONTOURS",G01B2290/10,Aspects of interferometers not specifically covered by any group under G01B9/02-Astronomic interferometers,G01,MEASURING; TESTING
G05D,SYSTEMS FOR CONTROLLING OR REGULATING NON-ELECTRIC VARIABLES ,G05D1/0669,"Control of position, course or altitude of land, water, air, or space vehicles, e.g. automatic pilot -Control of altitude or depth-Rate of change of altitude or depth-specially adapted for aircraft-during a phase of take-off or landing-specially adapted for take-off-specially adapted for vertical take-off",G05,CONTROLLING; REGULATING
A47C,CHAIRS ; SOFAS; BEDS ,A47C5/043,"Chairs of special materials-Metal chairs, e.g. tubular -of tubular non-circular cross-section",A47,FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL
A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES ",A61K8/983,"Cosmetics or similar toilet preparations-characterised by the composition-containing materials, or derivatives thereof of undetermined constitution-of animal origin-of mammals or bird-Blood, e.g. plasma",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
B60C,VEHICLE TYRES; TYRE INFLATION; TYRE CHANGING; CONNECTING VALVES TO INFLATABLE ELASTIC BODIES IN GENERAL; DEVICES OR ARRANGEMENTS RELATED TO TYRES,B60C2009/2214,"Reinforcements or ply arrangement of pneumatic tyres -Structure or arrangement of belts or breakers, crown-reinforcing or cushioning layers-built-up from rubberised plies each having all cords arranged substantially parallel-the plies being arranged with all cords disposed along the circumference of the tyre-characterised by the materials of the zero degree ply cords",B60,VEHICLES IN GENERAL
B29C,"SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING ",B29C66/742,"General aspects of processes or apparatus for joining preformed parts -characterised by the composition, physical properties or the structure of the material of the parts to be joined; Joining with non-plastics material -Joining plastics material to non-plastics material-to metals or their alloys",B29,WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL
D21H,PULP COMPOSITIONS; PREPARATION THEREOF NOT COVERED BY SUBCLASSES D21C OR D21D; IMPREGNATING OR COATING OF PAPER; TREATMENT OF FINISHED PAPER NOT COVERED BY CLASS B31 OR SUBCLASS D21G; PAPER NOT OTHERWISE PROVIDED FOR,D21H5/245,"Special paper or cardboard not otherwise provided for -having enhanced flexibility or extensibility produced by mechanical treatment of the unfinished paper -obtained by compressing the (moist) paper in directions lying in, and optionally perpendicular to, the paper plane, e.g. plain-surfaced Clupak papers",D21,PAPER-MAKING; PRODUCTION OF CELLULOSE
Y10S,TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS,Y10S16/40,"Miscellaneous hardware, e.g. bushing, carpet fastener, caster, door closer, panel hanger, attachable or adjunct handle, hinge, window sash balance-Attaching means",Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L2924/0426,Indexing scheme for arrangements or methods for connecting or disconnecting semiconductor or solid-state bodies as covered by H01L24/00-Borides composed of metals from groups of the periodic table-6th Group,H01,BASIC ELECTRIC ELEMENTS
F05B,"INDEXING SCHEME RELATING TO WIND, SPRING, WEIGHT, INERTIA OR LIKE MOTORS, TO MACHINES OR ENGINES FOR LIQUIDS COVERED BY SUBCLASSES F03B, F03D AND F03G",F05B2230/239,Manufacture-essentially without removing material-by permanently joining parts together-by welding-Inertia or friction welding,F05,INDEXING SCHEMES RELATING TO ENGINES OR PUMPS IN VARIOUS SUBCLASSES OF CLASSES F01-F04
A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A21D OR A23B-A23J; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT ; PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL",A23L11/65,"Pulses, i.e. fruits of leguminous plants, for production of food; Products from legumes; Preparation or treatment thereof-Drinks from legumes, e.g. lupine drinks-Soy drinks",A23,"FOODS OR FOODSTUFFS; TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES"
A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES ",A61K31/135,"Medicinal preparations containing organic active ingredients-Amines -having aromatic rings ; , e.g. ketamine, nortriptyline ",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES",B65D47/0852,"Closures with filling and discharging, or with discharging, devices -Closures with discharging devices other than pumps-with pouring spouts or tubes; with discharge nozzles or passages -having articulated or hinged closures -integrally formed with the base element provided with the spout or discharge passage-Hinges without elastic bias-located within a flat surface of the base element-consisting of a strap of flexible material",B65,CONVEYING; PACKING; STORING; HANDLING THIN OR FILAMENTARY MATERIAL
A63F,"CARD, BOARD, OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR",A63F2009/2444,"Games not otherwise provided for -Electric games;;  Games using electronic circuits not otherwise provided for -Detail of input, input devices-Characteristics of the input-Sensors or detectors-Light detector",A63,SPORTS; GAMES; AMUSEMENTS
G01P,"MEASURING LINEAR OR ANGULAR SPEED, ACCELERATION, DECELERATION, OR SHOCK; INDICATING PRESENCE, ABSENCE, OR DIRECTION, OF MOVEMENT ",G01P5/06,"Measuring speed of fluids, e.g. of air stream; Measuring speed of bodies relative to fluids, e.g. of ship, of aircraft -by measuring forces exerted by the fluid on solid bodies, e.g. anemometer-using rotation of vanes ",G01,MEASURING; TESTING
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T442/607,"Fabric [woven, knitted, or nonwoven textile or cloth, etc.]-Nonwoven fabric [i.e., nonwoven strand or fiber material]-Including strand or fiber material precoated with other than free metal or alloy-Strand or fiber material is synthetic polymer",Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
