cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
Y10S,TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS,Y10S72/706,Metal deforming-Explosive,Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
E02B,HYDRAULIC ENGINEERING ,E02B5/08,"Artificial water canals, ; e.g. irrigation canals-Details, e.g. gates, screens",E02,HYDRAULIC ENGINEERING; FOUNDATIONS; SOIL SHIFTING
B65G,"TRANSPORT OR STORAGE DEVICES, e.g. CONVEYORS FOR LOADING OR TIPPING, SHOP CONVEYOR SYSTEMS OR PNEUMATIC TUBE CONVEYORS ",B65G54/025,"Non-mechanical conveyors not otherwise provided for-electrostatic, electric, or magnetic-the load being magnetically coupled with a piston-like driver moved within a tube",B65,CONVEYING; PACKING; STORING; HANDLING THIN OR FILAMENTARY MATERIAL
G09B,"EDUCATIONAL OR DEMONSTRATION APPLIANCES; APPLIANCES FOR TEACHING, OR COMMUNICATING WITH, THE BLIND, DEAF OR MUTE; MODELS; PLANETARIA; GLOBES; MAPS; DIAGRAMS ",G09B29/06,"Maps; Plans; Charts; Diagrams, e.g. route diagram -of belt form, e.g. endless belt",G09,EDUCATION; CRYPTOGRAPHY; DISPLAY; ADVERTISING; SEALS
C12Y,ENZYMES,C12Y114/12003,"Oxidoreductases acting on paired donors, with incorporation or reduction of molecular oxygen (1.14)-with NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor (1.14.12)-Benzene 1,2-dioxygenase (1.14.12.3)",C12,BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING
H03F,AMPLIFIERS ,H03F3/45941,Amplifiers with only discharge tubes or only semiconductor devices as amplifying elements-Differential amplifiers -with semiconductor devices only-characterised by the way of common mode signal rejection-using IC blocks as the active amplifying circuit-by using feedback means -Measuring at the loading circuit of the differential amplifier-Controlling the input circuit of the differential amplifier,H03,BASIC ELECTRONIC CIRCUITRY
C04B,"LIME, MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS; ARTIFICIAL STONE ; CERAMICS ; REFRACTORIES; TREATMENT OF NATURAL STONE",C04B41/5092,"After-treatment of mortars, concrete, artificial stone or ceramics; Treatment of natural stone -Coating or impregnating ; , ; e.g. injection in masonry, partial coating of green or fired ceramics, organic coating compositions for adhering together two concrete elements -with inorganic materials-with masses bonded by inorganic cements -Phosphate cements",C04,CEMENTS; CONCRETE; ARTIFICIAL STONE; CERAMICS; REFRACTORIES
A41D,OUTERWEAR; PROTECTIVE GARMENTS; ACCESSORIES,A41D31/12,Materials specially adapted for outerwear-characterised by special function or use -Hygroscopic; Water retaining,A41,WEARING APPAREL
C08F,MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS,C08F4/7029,"Polymerisation catalysts-Metals; Metal hydrides; Metallo-organic compounds; Use thereof as catalyst precursors-selected from light metals, zinc, cadmium, mercury, copper, silver, gold, boron, gallium, indium, thallium, rare earths or actinides-together with refractory metals, iron group metals, platinum group metals, manganese, rhenium ; technetium;  or compounds thereof-Iron group metals, platinum group metals or compounds thereof-the metallic compound containing a multidentate ligand, i.e. a ligand capable of donating two or more pairs of electrons to form a coordinate or ionic bond-Bidentate ligand-Monoanionic ligand-PN",C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
G06F,ELECTRIC DIGITAL DATA PROCESSING ,G06F2212/682,"Indexing scheme relating to accessing, addressing or allocation within memory systems or architectures-Details of translation look-aside buffer [TLB]-Multiprocessor TLB consistency",G06,COMPUTING; CALCULATING; COUNTING
B27B,SAWS FOR WOOD OR SIMILAR MATERIAL; COMPONENTS OR ACCESSORIES THEREFOR ,B27B19/09,"Other reciprocating saws with power drive; Fret-saws-Saws with a power- driven blade chucked at both ends or at one end only, e.g. jig saws, scroll saws -portable",B27,WORKING OR PRESERVING WOOD OR SIMILAR MATERIAL; NAILING OR STAPLING MACHINES IN GENERAL
A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES ",A61K2800/591,"Properties of cosmetic compositions or active ingredients thereof or formulation aids used therein and process related aspects-Chemical, physico-chemical or functional or structural properties of particular ingredients-Mixtures-Mixtures of compounds not provided for by any of the codes A61K2800/592 - A61K2800/596",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
C03C,"CHEMICAL COMPOSITION OF GLASSES, GLAZES OR VITREOUS ENAMELS; SURFACE TREATMENT OF GLASS; SURFACE TREATMENT OF FIBRES OR FILAMENTS MADE FROM GLASS, MINERALS OR SLAGS; JOINING GLASS TO GLASS OR OTHER MATERIALS",C03C25/602,"Surface treatment of fibres or filaments made from glass, minerals or slags-by diffusing ions or metals into the surface-in the liquid phase, e.g. using solutions or molten salts-to perform ion-exchange between alkali ions ",C03,GLASS; MINERAL OR SLAG WOOL
A47C,CHAIRS ; SOFAS; BEDS ,A47C7/38,"Parts, details, or accessories of chairs or stools -Support for the head or the back-for the head ",A47,FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL
C08B,POLYSACCHARIDES; DERIVATIVES THEREOF ,C08B35/04,Preparation of derivatives of amylopectin-Ethers,C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T137/8342,"Fluid handling-With indicator, register, recorder, alarm or inspection means-Liquid level responsive indicator, recorder or alarm",Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
A21D,"TREATMENT, e.g. PRESERVATION, OF FLOUR OR DOUGH, e.g. BY ADDITION OF MATERIALS; BAKING; BAKERY PRODUCTS; PRESERVATION THEREOF",A21D15/02,"Preserving finished ; , partly finished or par-baked;  bakery products; Improving -by cooling ; , e.g. refrigeration, freezing",A21,BAKING; EDIBLE DOUGHS
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE ",A63C10/04,Snowboard bindings-characterised by details of the shoe holders-Shoe holders for passing over the shoe,A63,SPORTS; GAMES; AMUSEMENTS
D06F,"LAUNDERING, DRYING, IRONING, PRESSING OR FOLDING TEXTILE ARTICLES",D06F75/18,"Hand irons-Hand irons internally heated by electricity-with means for supplying steam to the article being ironed -the steam being produced from water in a reservoir carried by the iron-the water being fed slowly, e.g. drop by drop, from the reservoir to a steam generator",D06,TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS",B01J2219/0879,"Chemical, physical or physico-chemical processes in general; Their relevant apparatus-Processes employing the direct application of electric or wave energy, or particle radiation; Apparatus therefor-Materials to be treated-Solid",B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
C08G,MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS,C08G2261/50,Macromolecular compounds obtained by reactions forming a carbon-to-carbon link in the main chain of the macromolecule-Physical properties,C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L21/2256,"Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Manufacture or treatment of semiconductor devices or of parts thereof-the devices having at least one potential-jump barrier or surface barrier, e.g. PN junction, depletion layer or carrier concentration layer -the devices having semiconductor bodies comprising elements of Group IV of the Periodic System or AIIIBV compounds with or without impurities, e.g. doping materials -Diffusion of impurity materials, e.g. doping materials, electrode materials, into or out of a semiconductor body, or between semiconductor regions; ; Interactions between two or more impurities; Redistribution of impurities-using diffusion into or out of a solid from or into a solid phase, e.g. a doped oxide layer -Diffusion into or out of group IV semiconductors-from or through or into an applied layer, e.g. photoresist, nitrides-the applied layer comprising oxides only, e.g. P2O5, PSG, H3BO3, doped oxides-through the applied layer",H01,BASIC ELECTRIC ELEMENTS
B60R,"VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR",B60R2021/01279,"Arrangements or fittings on vehicles for protecting or preventing injuries to occupants or pedestrians in case of accidents or other traffic risks -Electrical circuits for triggering ; passive;  safety arrangements, ; e.g. airbags, safety belt tighteners,;  in case of vehicle accidents or impending vehicle accidents -Actuation parameters of safety arrangents-Devices other than bags-Seat belts-Load limiters",B60,VEHICLES IN GENERAL
H01L,SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR ,H01L51/0029,"Solid state devices using organic materials as the active part, or using a combination of organic materials with other materials as the active part; Processes or apparatus specially adapted for the manufacture or treatment of such devices, or of parts thereof -Processes specially adapted for the manufacture or treatment of devices or of parts thereof -Special provisions for controlling the atmosphere during processing ",H01,BASIC ELECTRIC ELEMENTS
H02S,"GENERATION OF ELECTRIC POWER BY CONVERSION OF INFRA-RED RADIATION, VISIBLE LIGHT OR ULTRAVIOLET LIGHT, e.g. USING PHOTOVOLTAIC [PV] MODULES ",H02S40/44,"Components or accessories in combination with PV modules, not provided for in groups H02S10/00 - H02S30/00-Thermal components -Means to utilise heat energy, e.g. hybrid systems producing warm water and electricity at the same time ",H02,GENERATION; CONVERSION OR DISTRIBUTION OF ELECTRIC POWER
A61G,"TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS ; OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES ",A61G5/085,"Chairs or personal conveyances specially adapted for patients or disabled persons, e.g. wheelchairs -foldable-characterised by a particular folding direction-folding up and down, e.g. reducing or expanding the overall height of the wheelchair",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
C30B,SINGLE-CRYSTAL GROWTH ; UNIDIRECTIONAL SOLIDIFICATION OF EUTECTIC MATERIAL OR UNIDIRECTIONAL DEMIXING OF EUTECTOID MATERIAL; REFINING BY ZONE-MELTING OF MATERIAL ; PRODUCTION OF A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE ; SINGLE CRYSTALS OR HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE; AFTER-TREATMENT OF SINGLE CRYSTALS OR A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE ; APPARATUS THEREFOR,C30B15/18,"Single-crystal growth by pulling from a melt, e.g. Czochralski method -Heating of the melt or the crystallised materials-using direct resistance heating in addition to other methods of heating, e.g. using Peltier heat",C30,CRYSTAL GROWTH
H01Q,"ANTENNAS, i.e. RADIO AERIALS ",H01Q25/04,Antennas or antenna systems providing at least two radiating patterns -Multimode antennas ,H01,BASIC ELECTRIC ELEMENTS
H01J,ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS ,H01J2231/125,Cathode ray tubes or electron beam tubes -CRTs having luminescent screens-with a plurality of electron guns within the tube envelope,H01,BASIC ELECTRIC ELEMENTS
C10J,"PRODUCTION OF PRODUCER GAS, WATER-GAS, SYNTHESIS GAS FROM SOLID CARBONACEOUS MATERIAL, OR MIXTURES CONTAINING THESE GASES ; CARBURETTING AIR OR OTHER GASES",C10J2300/1693,"Details of gasification processes-Integration of gasification processes with another plant or parts within the plant-with storage facilities for intermediate, feed and/or product",C10,"PETROLEUM, GAS OR COKE INDUSTRIES; TECHNICAL GASES CONTAINING CARBON MONOXIDE; FUELS; LUBRICANTS; PEAT"
C04B,"LIME, MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS; ARTIFICIAL STONE ; CERAMICS ; REFRACTORIES; TREATMENT OF NATURAL STONE",C04B20/063,"Use of materials as fillers for mortars, concrete or artificial stone according to more than one of groups C04B14/00 - C04B18/00 and characterised by shape or grain distribution; Treatment of materials according to more than one of the groups C04B14/00 - C04B18/00 specially adapted to enhance their filling properties in mortars, concrete or artificial stone; Expanding or defibrillating materials-Treatment-Heat treatment-Expanding clay, perlite, vermiculite or like granular materials-by grate sintering",C04,CEMENTS; CONCRETE; ARTIFICIAL STONE; CERAMICS; REFRACTORIES
C08G,MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS,C08G63/916,Macromolecular compounds obtained by reactions forming a carboxylic ester link in the main chain of the macromolecule -Polymers modified by chemical after-treatment-derived from polycarboxylic acids and polyhydroxy compounds-Dicarboxylic acids and dihydroxy compounds,C08,ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL; FUNCTIONAL ELEMENTS OF SUCH SYSTEMS; MONITORING OR TESTING ARRANGEMENTS FOR SUCH SYSTEMS OR ELEMENTS ,G05B2219/13027,Program-control systems-Plc systems-Plc programming-Convert time chart to relation vector to calculate plc I-O state as function of time,G05,CONTROLLING; REGULATING
H01J,ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS ,H01J2237/2443,"Discharge tubes exposing object to beam, e.g. for analysis treatment, etching, imaging-Detection characterized by the detecting means-Scintillation detectors",H01,BASIC ELECTRIC ELEMENTS
H05K,PRINTED CIRCUITS; CASINGS OR CONSTRUCTIONAL DETAILS OF ELECTRIC APPARATUS; MANUFACTURE OF ASSEMBLAGES OF ELECTRICAL COMPONENTS,H05K2201/105,Indexing scheme relating to printed circuits covered by H05K1/00-Details of components or other objects attached to or integrated in a printed circuit board-Details of mounted components -Position of a single component-Mechanically attached to another device ,H05,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR
A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS ",A61F2013/00978,"Bandages or dressings ; Absorbent pads -Plasters-attachments assembly for prosthesis;  pouch, e.g. ostomy",A61,MEDICAL OR VETERINARY SCIENCE; HYGIENE
C12Y,ENZYMES,C12Y304/21102,"Hydrolases acting on peptide bonds, i.e. peptidases (3.4)-Serine endopeptidases (3.4.21)-C-terminal processing peptidase (3.4.21.102)",C12,BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING
C07C,ACYCLIC OR CARBOCYCLIC COMPOUNDS,C07C15/24,Cyclic hydrocarbons containing only six-membered aromatic rings as cyclic parts-Polycyclic condensed hydrocarbons-containing two rings,C07,ORGANIC CHEMISTRY
C12N,"MICROORGANISMS OR ENZYMES; COMPOSITIONS THEREOF; PROPAGATING, PRESERVING, OR MAINTAINING MICROORGANISMS; MUTATION OR GENETIC ENGINEERING; CULTURE MEDIA ",C12N2760/18023,ssRNA viruses negative-sense-Details-Paramyxoviridae-Virus like particles [VLP],C12,BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING
B23D,"PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FOR ",B23D63/00,"Dressing the tools of sawing machines or sawing devices for use in cutting any kind of material, e.g. in the manufacture of sawing tools",B23,MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR
G05B,CONTROL OR REGULATING SYSTEMS IN GENERAL; FUNCTIONAL ELEMENTS OF SUCH SYSTEMS; MONITORING OR TESTING ARRANGEMENTS FOR SUCH SYSTEMS OR ELEMENTS ,G05B2219/33016,"Program-control systems-Nc systems-Director till display-Pi sigma network, summing in hidden layers, product in output layer",G05,CONTROLLING; REGULATING
E21C,MINING OR QUARRYING,E21C27/128,"Machines which completely free the mineral from the seam-by both slitting and breaking-down-breaking-down effected by acting on the vertical face of the mineral, e.g. by percussive tools-with breaking-down members functioning on the slitting level",E21,EARTH DRILLING; MINING
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING ",B01F15/00032,"Accessories for mixers ; ; Auxiliary operations or auxiliary devices; Parts or details of general application-Washing or cleaning mixers, e.g. using knockers or scrapers; Inhibiting build-up of material on machine parts -using a fluid-by means of jets of fluid, e.g. air",B01,PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL
H02P,"CONTROL OR REGULATION OF ELECTRIC MOTORS, ELECTRIC GENERATORS OR DYNAMO-ELECTRIC CONVERTERS; CONTROLLING TRANSFORMERS, REACTORS OR CHOKE COILS",H02P7/2815,Arrangements for regulating or controlling the speed or torque of electric DC motors-for regulating or controlling an individual dc dynamo-electric motor by varying field or armature current-by master control with auxiliary power-using discharge tubes or semiconductor devices-using semiconductor devices-the DC motor being operated in four quadrants-whereby the speed is regulated by measuring the motor speed and comparing it with a given physical value,H02,GENERATION; CONVERSION OR DISTRIBUTION OF ELECTRIC POWER
A23K,FODDER,A23K10/40,"Animal feeding-stuffs-Mineral licks, e.g. salt blocks",A23,"FOODS OR FOODSTUFFS; TREATMENT THEREOF, NOT COVERED BY OTHER CLASSES"
D06B,"TREATING TEXTILE MATERIALS USING LIQUIDS, GASES OR VAPOURS ",D06B1/148,"Applying liquids, gases or vapours onto textile materials to effect treatment, e.g. washing, dyeing, bleaching, sizing or impregnating -by contact with a member carrying the treating material-with a roller-the treating material being supplied to the roller by spraying or pouring",D06,TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR
E04B,"GENERAL BUILDING CONSTRUCTIONS; WALLS, e.g. PARTITIONS; ROOFS; FLOORS; CEILINGS; INSULATION OR OTHER PROTECTION OF BUILDINGS ",E04B2001/2457,"Constructions in general; Structures which are not restricted either to walls, e.g. partitions, or floors or ceilings or roofs -Structures comprising elongated load-supporting parts, e.g. columns, girders, skeletons -the supporting parts consisting of metal-Connection details of the elongated load-supporting parts-Beam to beam connections",E04,BUILDING
C05G,"MIXTURES OF FERTILISERS COVERED INDIVIDUALLY BY DIFFERENT SUBCLASSES OF CLASS C05; MIXTURES OF ONE OR MORE FERTILISERS WITH MATERIALS NOT HAVING A SPECIFIC FERTILISING ACTIVITY, e.g. PESTICIDES, SOIL-CONDITIONERS, WETTING AGENTS ; FERTILISERS CHARACTERISED BY THEIR FORM",C05G3/30,Mixtures of one or more fertilisers with additives not having a specially fertilising activity-Anti-agglomerating additives; Anti-solidifying additives,C05,FERTILISERS; MANUFACTURE THEREOF
A01B,"SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL ",A01B33/00,"Tilling implements with rotary driven tools ; , e.g. in combination with fertiliser distributors or seeders, with grubbing chains, with sloping axles, with driven discs",A01,AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT ",A63B69/125,Training appliances or apparatus for special sports -Arrangements in swimming pools for teaching swimming ; or for training-Devices for generating a current of water in swimming pools,A63,SPORTS; GAMES; AMUSEMENTS
F01P,COOLING OF MACHINES OR ENGINES IN GENERAL; COOLING OF INTERNAL-COMBUSTION ENGINES ,F01P2060/06,Cooling circuits using auxiliaries-Retarder,F01,MACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES
B05B,SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES ,B05B7/0441,"Spraying apparatus for discharge of liquids or other fluent materials from two or more sources, e.g. of liquid and air, of powder and gas -Spray pistols; Apparatus for discharge -with arrangements for mixing liquids or other fluent materials before discharge -with arrangements for mixing one gas and one liquid-with one inner conduit of liquid surrounded by an external conduit of gas upstream the mixing chamber",B05,"SPRAYING OR ATOMISING IN GENERAL; APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL"
F16H,GEARING,F16H63/3425,Control outputs ; from the control unit;  to change-speed- or reversing-gearings for conveying rotary motion ; or to other devices than the final output mechanism-Final output mechanisms therefor; Actuating means for the final output mechanisms-Constructional features of the final output mechanisms-Locking or disabling mechanisms-Parking lock mechanisms or brakes in the transmission-characterised by pawls or wheels,F16,ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL
C07C,ACYCLIC OR CARBOCYCLIC COMPOUNDS,C07C51/373,"Preparation of carboxylic acids or their salts, halides or anhydrides -by reactions not involving formation of carboxyl groups-by introduction of functional groups containing oxygen only in doubly bound form",C07,ORGANIC CHEMISTRY
F05B,"INDEXING SCHEME RELATING TO WIND, SPRING, WEIGHT, INERTIA OR LIKE MOTORS, TO MACHINES OR ENGINES FOR LIQUIDS COVERED BY SUBCLASSES F03B, F03D AND F03G",F05B2200/21,Mathematical features-Special functions-Root,F05,INDEXING SCHEMES RELATING TO ENGINES OR PUMPS IN VARIOUS SUBCLASSES OF CLASSES F01-F04
B03C,MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS ,B03C3/016,"Separating dispersed particles from gases or vapour, e.g. air, by electrostatic effect -Pretreatment of the gases prior to electrostatic precipitation-by acoustic or electromagnetic energy, e.g. ultra-violet light",B03,SEPARATION OF SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS; MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS
Y10T,TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION,Y10T117/1024,"Single-crystal, oriented-crystal, and epitaxy growth processes; non-coating apparatus therefor-Apparatus-for crystallization from liquid or supercritical state",Y10,TECHNICAL SUBJECTS COVERED BY FORMER USPC
F01M,LUBRICATING OF MACHINES OR ENGINES IN GENERAL; LUBRICATING INTERNAL COMBUSTION ENGINES; CRANKCASE VENTILATING,F01M2011/14,"Component parts, details or accessories, not provided for in, or of interest apart from, groups F01M1/00 - F01M9/00-Indicating devices; Other safety devices-for indicating the necessity to change the oil",F01,MACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES
G06V,IMAGE OR VIDEO RECOGNITION OR UNDERSTANDING,G06V30/24,Character recognition; Recognising digital ink; Document-oriented image-based pattern recognition -Character recognition-characterised by the processing or recognition method ,G06,COMPUTING; CALCULATING; COUNTING
F04C,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS",F04C18/3568,"Rotary-piston pumps specially adapted for elastic fluids -having the characteristics covered by two or more of groups F04C18/02, F04C18/08, F04C18/22, F04C18/24, F04C18/48, or having the characteristics covered by one of these groups together with some other type of movement between co-operating members-having the movement defined in group F04C18/08 or F04C18/22 and relative reciprocation between the co-operating members-with vanes reciprocating with respect to the outer member-with axially movable vanes",F04,POSITIVE - DISPLACEMENT MACHINES FOR LIQUIDS; PUMPS FOR LIQUIDS OR ELASTIC FLUIDS
C12N,"MICROORGANISMS OR ENZYMES; COMPOSITIONS THEREOF; PROPAGATING, PRESERVING, OR MAINTAINING MICROORGANISMS; MUTATION OR GENETIC ENGINEERING; CULTURE MEDIA ",C12N2310/152,"Structure or type of the nucleic acid-Type of nucleic acid-Nucleic acids forming more than 2 strands, e.g. TFOs-on a single-stranded target, e.g. fold-back TFOs",C12,BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING
G03C,"PHOTOSENSITIVE MATERIALS FOR PHOTOGRAPHIC PURPOSES ; PHOTOGRAPHIC PROCESSES, e.g. CINE, X-RAY, COLOUR, STEREO-PHOTOGRAPHIC PROCESSES; AUXILIARY PROCESSES IN PHOTOGRAPHY ",G03C2200/46,Details-pKa value,G03,PHOTOGRAPHY; CINEMATOGRAPHY; ANALOGOUS TECHNIQUES USING WAVES OTHER THAN OPTICAL WAVES; ELECTROGRAPHY; HOLOGRAPHY
C09D,"COATING COMPOSITIONS, e.g. PAINTS, VARNISHES OR LACQUERS; FILLING PASTES; CHEMICAL PAINT OR INK REMOVERS; INKS; CORRECTING FLUIDS; WOODSTAINS; PASTES OR SOLIDS FOR COLOURING OR PRINTING; USE OF MATERIALS THEREFOR ",C09D129/00,"Coating compositions based on homopolymers or copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and at least one being terminated by an alcohol, ether, aldehydo, ketonic, acetal, or ketal radical; Coating compositions based on hydrolysed polymers of esters of unsaturated alcohols with saturated carboxylic acids; Coating compositions based on derivatives of such polymers",C09,DYES; PAINTS; POLISHES; NATURAL RESINS; ADHESIVES; COMPOSITIONS NOT OTHERWISE PROVIDED FOR; APPLICATIONS OF MATERIALS NOT OTHERWISE PROVIDED FOR
C07C,ACYCLIC OR CARBOCYCLIC COMPOUNDS,C07C323/12,"Thiols, sulfides, hydropolysulfides or polysulfides substituted by halogen, oxygen or nitrogen atoms, or by sulfur atoms not being part of thio groups-containing thio groups and singly-bound oxygen atoms bound to the same carbon skeleton-having the sulfur atoms of the thio groups bound to acyclic carbon atoms of the carbon skeleton-the carbon skeleton being acyclic and saturated",C07,ORGANIC CHEMISTRY
F24S,SOLAR HEAT COLLECTORS; SOLAR HEAT SYSTEMS ,F24S80/56,"Details, accessories or component parts of solar heat collectors not provided for in groups F24S10/00-F24S70/00-Elements for transmitting incoming solar rays and preventing outgoing heat radiation; Transparent coverings-characterised by means for preventing heat loss",F24,HEATING; RANGES; VENTILATING
