entity_id,hasParent
2909001998,2778837598
2909883222,509974204
2910769356,2780182102
2780680839,2779747767
2909864916,2778019345
2779326821,2776691197
2910588671,2909773827
2910608565,2776853610
2911073062,2775997484
2908896409,82867764
3019429491,39549134
501888929,542102704
2776123200,1244910
2910838848,144027150
81063470,78519656
116593020,41971633
2908633484,2908647359
2910992377,2777229883
2777241100,19474535
2910800653,2778199549
2779349900,2780457474
2910163875,41999313
2908845695,2780035454
2910630285,71240020
2910308772,141071460
2778896787,36951298
103316784,190139176
2780477975,2780755047
2778330996,97137747
20223655,70388272
2909182081,2777965673
2909843048,178790620
2776282561,501593827
2908787454,2778545329
2910002259,512185932
2910756809,134018914
2909896154,141071460
2779143386,178790620
2991786161,2779959927
2910198909,2775964258
2780953410,2778720886
2778315546,2778350275
2780285156,169822122
2910806038,2777253967
3019365742,126322002
2910825646,82383113
2910461547,2909073558
2780894561,118303440
2780712623,18903297
2777549171,132525143
69053785,34601148
2778279886,87717796
2993179138,48856860
2777849778,2777628954
2780382055,2776987626
69031685,138055206
2910094022,2776341189
2909889525,2778213512
2908885994,2777915650
2909921698,182072434
2909639294,141071460
2910181401,139838865
2909255578,18903297
2991884366,161191863
2909333785,2781044401
2909047544,69305403
2910805586,2777905996
2991742296,107826830
2776810390,18903297
3017539975,2780016130
2910920687,2778234367
2776562019,188027245
2909277875,2780820931
2777989759,2777371775
536798818,163764329
64832261,163985990
2909062192,2777571795
2991964360,556039675
2776081846,160844929
2778556512,155647269
2779234693,2779600286
2779788600,88160501
2780872395,2777904410
2776050914,42219234
2910907137,2781203188
2909095919,2779532201
2908994694,77595967
2908969792,2778311898
2910366554,2777108408
2776318716,125996951
3020282434,2776131983
2779690338,549774020
80075532,188313703
84545080,137127113
150684551,2780474809
2909329639,555293320
72434380,11413529
2780556683,178790620
2991814974,57879066
2909297942,2778527774
2778752870,162118730
2908755791,2779263152
2910622346,31903555
2909704937,102190203
2910980861,2778870691
2908551636,2779720271
2908611695,55493867
2909067464,144027150
2777550067,81977670
2987613727,77595967
3019397358,95444343
2985176244,57879066
2909516469,89560881
2778881184,46757340
2909017614,2777967664
2911159677,18903297
175757954,49811471
2779636510,55493867
2909208027,2779742124
38870921,100405246
2909445175,2780827179
2910718742,55428944
2776005156,50522688
2780517051,544778455
2991924743,74909509
2778998514,2776219046
2910347621,2779201268
8824507,49774154
2909890940,55493867
2910487506,2777975993
2776823379,59822182
2994530812,21547014
2777350354,124913957
2909197636,142796444
2777167232,11392498
3019711120,137620995
2909852473,29694066
2781100163,115704247
37810922,13743678
2910935578,2779600286
2780734418,2781131889
2909157911,2777058396
25036608,552594755
42787717,17409809
2778954957,2524010
2777051234,70388272
2909911182,203014093
2909940800,153911025
2910041661,126838900
2781396958,116515362
2994374754,2778213512
2780068497,553450214
2778885315,62520636
2909712617,42062724
2909179232,2776318951
2908945990,112299071
2909736690,16005928
76744394,74916050
2993217988,42360764
2911123767,50231774
2908795856,2777025900
661517,120665830
2908894411,102568950
2910625421,2780764520
2910063649,2775920511
2908769519,58642233
2908775997,196843134
2779089633,529278444
2778186874,18903297
2910565586,141071460
2909638178,62231903
2777533241,2777414385
2909286024,2776449523
2911016860,2778213512
2909399550,519885992
3017926933,71240020
45979199,159110408
2983223341,77805123
159480233,10138342
2909727898,2775896278
2910859569,535291247
2776299961,2775836813
2909939799,2776366380
3020345520,185154212
2909551811,2776495794
2778670267,2775880824
2909385453,2779338263
2908960722,2775888743
2908631946,2779678110
2910645676,2778842880
2909237223,90856448
2993822879,537208039
146149330,180706569
2909953166,519991488
2988919909,76155785
2776413376,24586158
2909330244,78519656
2909703196,2778653478
2910379926,502942594
3017463483,169760540
2910972420,2776154427
2910210979,545659032
2911040580,2776638038
2992435477,57442070
7714695,187457775
2910201364,2777117138
2910029949,29730261
139656809,2777118497
2910125259,2777560053
206776904,35173682
2909726291,64348721
2779116026,178853913
2910406883,2776647368
2910034950,2781263971
2779309023,18903297
2910895863,555293320
2780609143,120149898
2910781702,98892162
2776762838,541664917
2993674389,55587333
2781107561,157369684
2780131645,2778423325
2985150615,150817343
2908971257,160099875
2910472365,70410870
2909008838,2780323790
10277891,166957645
2778455559,90856448
2994117856,41625074
2777419058,105702510
2778576095,24326235
2992542373,138496976
2909654883,141071460
2910925157,142724271
104117847,111919701
2777966290,2776019494
2994578442,2776154427
2988951672,147203929
2910421498,555293320
185157849,84114770
165455791,177713679
2910165997,148554410
2776515877,192800085
2780325538,111368507
2908988639,2777546739
2909115855,2777575956
2908908086,2778914748
2779651142,59822182
176230804,175025494
23458808,134935766
2909184854,555293320
2910976772,2776690073
2909205480,144027150
2908717364,2780752186
2992942647,136397037
2911221780,143191323
2908944895,144027150
2781036093,2777981335
2910367370,158846371
2779545035,59822182
2909194544,2779067335
2908719742,2910289500
2908929221,2778224547
2910847305,137580998
2908630314,126838900
193252679,104317684
166816511,97355855
2993259535,73313986
2909412003,2779665282
2780835901,150875184
2776881475,519885992
2779860418,187736073
2908877057,90856448
2780534096,2778573023
110963975,133731056
2780919976,195244886
2780496724,67905577
2909936735,2780423099
35024251,120665830
92237259,107054158
2781439622,90856448
2909550060,2908647359
2992325562,144027150
2909019165,2781231759
2910790043,513476851
2780828025,13965031
2910795124,2780191791
2910291536,2779814568
3019876555,121608353
2909130682,178790620
2908656979,2778518273
2777036454,117220453
2777201101,13862629
2776892184,147176958
2910404731,2777379243
2910428411,2780007613
2909938844,2777642389
175989371,196268714
2911197151,555293320
2909071165,2778221352
2991707207,24326235
2776319518,2781069245
2910546670,90856448
2781238149,199539241
2779009028,18903297
2908641847,181199279
2781241969,94284585
2778894142,29595303
3017992803,2780420688
2910619595,70410870
2909998474,2776694085
2911084666,2778938600
2911211938,2776441376
2777346430,15708023
2908724312,555293320
2910915879,2778570526
2909616005,2780723820
2777451057,145420912
2776272554,59822182
2780734609,2775970134
2909461809,20719415
2910771325,2781105225
71564387,91558832
3019843257,530470458
2776697102,50929876
2777295700,19165224
2909296466,18903297
2781063251,555293320
2908861982,2779721657
2780881222,2780026642
62279395,143906210
2909470498,61716771
2910651901,2780439664
2909518841,150772632
2910819912,2779637612
2909156695,2778702241
2909452192,505870484
2910899742,83974742
2910735092,80161118
2909942622,2776283743
2908826196,90856448
2776631726,84114770
2778236049,2778527774
146727910,2779201268
2777210390,147789679
115755159,58166
2983634915,173608175
2909074099,2778227246
2911068739,203014093
2781200757,2778691916
2985515188,9390403
2779452761,144027150
2778937209,59801894
2780054247,2780299701
2993341270,100544194
2908548367,2779600286
2779092168,68731436
2777121752,157369684
2781058137,97355855
2911021205,59822182
2779480602,59822182
105115450,114990195
199823160,125565743
2908634129,2779338263
2910681523,2775994064
2910061516,42972112
2909615238,203014093
2908787687,2777164284
2908629741,2781149351
108649604,120665830
2910278585,2909489182
2776782210,62520636
70356377,9390403
2777597914,2781429666
2910703049,559758991
2909008564,2992972740
2910512782,2780990599
2909215066,105702510
2909620527,105702510
73081478,511840579
2777322498,199289684
2909268442,523546767
2781399227,2777666793
2908519487,137580998
2776603980,46362747
2908837785,156957248
2780377335,126255220
2909894251,123460561
2910467438,2779280984
2992561578,121557403
39838435,103377522
2908760326,548259974
2993642591,169896238
2910236996,2776634560
2909547108,2779686340
2776561400,149918038
2986849744,41045048
2911048392,2781302119
2778568500,27206212
2908609957,143065580
2909202046,535196362
2993126338,118615104
2910865489,2780892065
2909887255,121608353
2778523179,2909773377
2909152223,52124034
2909184720,2778110749
2986295382,77196050
2779596173,2778447025
2777140388,2775954498
2908530281,2778004101
2908673772,185933670
62129180,42360764
2993970249,169260993
2910422198,143589142
2776665167,59822182
2909903557,2776735649
2911142598,1862650
2908680295,191616109
2910598618,2780040984
2909616619,163864487
2993388629,120398109
2777586563,1276947
2778990884,105702510
2776190711,2780035454
2779049881,159750122
2778517698,33989665
2780220324,2779835924
2909291337,2778563252
2780674750,2781063702
2909271647,43791021
2993006243,23123220
2909719691,552990157
3018679828,2779300928
2777782835,118552586
2779494072,2778559928
2776083886,8058405
2993109238,159985019
128618666,21547014
2910478553,2780368995
2992362411,18918823
2909750847,59822182
2993196678,119924469
2780216091,188382862
2780686816,206880738
2780381907,42362537
3020202367,141071460
2775962983,66938386
2778223836,2777899865
2910695223,2779134260
154660323,33695381
2909825923,2780190958
2908933587,2781014771
2910843626,530470458
2778159821,505870484
2909469339,509974204
2987912975,23123220
2909905619,2910121666
2910519777,2909913495
2910017677,76155785
2910164670,1862650
2910588703,2909217575
2777641780,41895202
2908689719,529278444
3019585042,509974204
2778195408,2780900450
2909456505,2778336483
2908994448,2781074409
2909577853,537181965
2908863172,526869908
2909939170,120763696
2910791615,2778913445
2908926814,59822182
