entity_id,isRelatedto
172446870,122346577
40887890,24807848
2738994455,2898526102
80285584,114268679
2737929905,2764852450
2764975729,2898333883
1330136163,120248549
2898164041,2755684428
2898316989,2764959739
115796062,183014900
2801780293,179066132
2765074870,2898478310
2800562495,2802915996
156971308,57481250
93901226,20715302
2736561603,2898224532
2739122656,2898372219
132706615,2756136685
189285622,2800672263
959839677,2759254137
120060627,1158167855
185109894,2764709116
2764532716,1171090520
2736852014,71326023
2765070938,2756369731
2898548921,74113319
2736901517,139189156
1174091362,182003359
77999381,2898601047
2802569250,2802724108
176037994,135987583
125004968,1925986
2764698908,71281032
80508122,139295051
2764449163,2764703721
180465690,148418319
2764563644,190712015
2800478209,2801419637
2764699827,2622099157
2764813217,2489774306
2758541019,2758435947
122754148,9903089
2765067366,2748171593
2764583291,2764930156
2764388346,2623111059
1141157497,122567160
177542251,1187587159
202558507,152552278
94554749,48343142
65231264,177147899
2764946940,2765019007
2625298891,2757139483
2802866459,2799616288
112591512,29188901
2799668691,2799672316
88061139,2734696582
2764519517,2898120031
2764437090,1169258207
2764437456,2898097780
57229342,2504234566
2764959687,205498627
2764488611,2898395390
2764592206,2754780086
2736931565,2756038177
2764669453,19799837
86468533,36838616
2754524264,1184093072
8401816,1152803012
123185442,148297040
146918421,2764696955
2739034459,2764896700
2765057262,2755626092
1306932309,83261788
96000363,1198780418
2738395297,2754193678
147912653,130127978
128779766,199280970
90857023,2898346397
2764636012,2754971765
2765073964,2898178715
16228288,1163450153
2764642330,2755707950
91790502,199269040
78663439,177001074
2802460994,90267481
182239929,204500874
2764842792,2764959842
2802232195,1341418182
1319181961,32389192
2737244065,84830373
2755443121,2764952753
53719608,173526857
107966883,1135342153
119865316,125779113
1182479155,2624183508
1164009877,83591844
2764483063,2756265008
2764582913,2757194849
198061209,2754941737
2754208863,2754903567
2739349485,110667073
2736633529,2539392191
1306554552,136388765
179032277,1129450674
2800129774,27897274
108229257,2755266407
2764876031,2738281210
183362221,2800235127
7391137,2754816908
2735428694,1161697372
2756313409,2624016942
2736947229,2757568571
138187031,103527128
2764423676,1202777053
190861549,140494188
1174839472,2756406625
2736559382,2764685389
148178115,185286233
2764412415,2764415337
88058452,11990766
1287435762,2800665060
138759888,26038914
2765079004,2898609323
34533772,110447773
2764716574,2739218046
2764989655,2764949495
2764411669,2626791805
136818539,2801120809
2754028941,2755576832
90810661,2802834092
2764707498,2759506917
2764391645,1132567130
2756537883,2757670379
13275601,952550535
1037846118,2232857946
2764555861,2754161470
2737199380,2755158973
1136783206,2625581541
2756286454,2482923289
2764402691,161883588
2764831708,2759331234
161939520,2755707950
2764500314,2764402610
128298796,23945444
2738806978,2764396195
2739262178,2757487807
23655555,2764600926
78787406,2738351952
92134727,75702506
2764680446,2754604112
2764898235,2756314233
172707683,2758064645
6507939,203061107
1321296531,134421475
2764857279,1167616228
16793705,2627083385
85654233,1161953916
2764579164,2764743978
2764355075,2756028741
130031549,2501702755
45678097,1200891582
27332288,2757394605
2754167565,2755270021
132876607,67613863
65464303,196718495
27810548,28168869
173963315,130769515
2764984405,2764532247
43047838,49861241
1290663759,27577105
2764707531,2754151939
2765052158,2624689758
18360026,1163264588
2764747782,2754183022
175545844,2737523944
2800475051,63135867
62663507,22195231
2765032673,191963794
2751136848,2751891982
2755343245,2757487807
2755545292,2898333883
2754359993,2756265008
678965,2764833115
2764920665,2764788984
2764580246,2898119284
198694009,95457486
129826125,204337017
2737188263,7359802
176364128,51452335
2764382095,2754968146
167064729,2898536587
2756245007,2764577443
91797957,2738245935
325977034,137902535
2735126445,2757030968
2764566882,10719676
13889178,71826845
45812101,202483615
163622554,107655702
2764647102,2920767
132920025,44461941
1299022934,1315135799
2737138519,2898495666
122633378,20530970
2764553596,2764387533
2764681390,1005771865
8658477,2898609323
1164253245,1184269240
2764529916,2754731631
192392021,72769676
65045848,104962587
2764493452,1163902177
2764962191,180314335
2765070212,2765028110
2800598127,2800762105
2756292727,2759285150
2764979777,2764657968
2738767579,29746465
29543558,1165841369
2764437774,2764832985
1031399719,2738829075
7052146,2800547265
2756323077,2756199210
2801074151,66946132
2802916773,2801527043
2764689519,2232857946
2764423988,196489185
1161772829,23590115
910399035,26538001
859153624,15839263
2764864867,2764840418
112197944,149704539
43566213,4880106
170287006,48393686
16727142,2764965543
2764563260,2765064269
2754493320,2755837632
2765036513,2756459776
2764881640,2765069601
131684842,2764434671
146035873,885174212
2801461538,889827437
9563262,2898598674
2737390283,2738988793
2738271298,2756027862
61729320,1195800536
2799409606,72816309
906480834,1294671590
6966117,1153382799
2595073521,2755246151
2737450178,133138818
168297345,2756477910
1323272232,185763367
2755031346,2755418067
122498148,2765011016
2764991104,2764934305
2764639085,62966998
122377002,2755460317
147527460,193177744
1142809651,1129075963
109184716,2764420756
973650692,2739245888
1289079397,33213144
2764831173,2738636721
2799480866,2800245428
2759324680,120411249
953899607,201947704
2765017750,2760478614
90488548,912926036
174104030,14748160
125980181,1177006722
2738566733,2764683210
1172379331,2625480066
2764394113,2764820145
65216291,58239531
55477831,2232857946
165849237,181451930
146552867,119261591
154637859,115173108
2734625849,151097098
2764618626,2754900136
63459445,2756045125
2764550837,2764471511
91786662,2802828768
1044327711,2738690933
176820844,1169989417
180106345,46883044
2756461704,2622266624
183101891,2627017190
2764879708,2764717481
2764560131,180691280
61413405,1332479046
2755084872,15406972
159321577,2764689519
64097828,22454499
2764480594,2764731901
2755052031,168780623
2755747401,2754682655
17404232,85564003
187883977,63730871
3380108,86987016
2764467091,1176104424
172448155,2759723528
195768125,201023783
42926609,2754893992
2738192095,37538908
2672396,97600184
913782294,35364215
2764978608,2764574304
119942284,129510320
2764523828,58683073
25010587,2764929780
2755468230,186475270
2764555290,2754658123
209195179,26805570
2765049364,2764874993
118298837,205783295
166878636,72029572
65725749,47556193
2754078582,177401697
2802783220,32971472
2764897924,27902081
2754163272,2764785651
2801121381,224309722
2764938486,2758103385
2764359281,2764930833
2622505021,2621553703
2754986044,2764677379
103398315,67069294
2756436655,2898119284
4179095,17395904
2759602461,60779006
139755438,2624432221
2764514962,2764983684
161725137,1130873268
23031928,2755338119
141661966,2756080828
117125115,2627069240
2915066099,2739338595
24225344,9018758
200812394,32971472
2764692607,153509318
2764584451,2738178954
33980734,1173770489
2764628821,6712347
2764604179,2764534187
2738126596,1163988186
47939261,2764996972
2799611821,37048141
970447889,2898191047
2764661041,2757804692
1306687154,135388327
2623393319,83637746
113358080,1299303238
91450900,2898504569
2736820847,2757819088
125532093,149050951
2736656097,2754602532
2738772511,2732126
127589907,20330309
2801605242,134784518
2765031898,2898153154
147699246,72264486
2765068629,2764795583
141818800,2756136685
2799432301,153648349
57809189,2898385624
2755975826,2754415389
2764569622,1176128511
2764561341,1189659341
20529979,277853755
2764747896,2756099974
78266255,2756986536
2764759844,1200067787
2764910743,2764842989
38689773,132415769
207417044,61722147
206915230,2623443981
2764627384,2764678820
2764681851,2898546849
37173775,2765072066
2764797819,2737070500
2756480221,2759930103
1338637020,1308216295
2753193880,32515731
80347152,16140064
1028766512,2764520740
2764822509,2898402000
207178839,48977010
2764610163,50372074
194952648,2898478310
94529937,55214057
2764610606,1140000399
2597185707,20854694
71395657,74801974
205747304,2800745255
2764489654,1170695740
2898417940,1192710900
2755034071,2755347789
146160188,2538859667
2764399988,2754803309
2494433088,2755609408
155791383,2764604301
70511428,2754371572
120502300,137773608
199723255,1160834642
44728546,107799410
165303178,1164519180
2502647897,2898170458
271442060,1328290849
2754572092,2764505804
1044866793,2765048027
155837530,170979836
1138950671,2898361526
81428786,924451375
1136861413,2758283544
62257733,1288882113
2764477176,2754620513
2764874817,2755254155
53916639,4789869
2802541053,24943067
2755438640,2764570110
2898113767,1198225011
2755385796,2898237367
121139077,106215440
10832721,1188440540
2764559913,2764855561
2737066023,2754050703
2801396393,2799496773
2764478004,2764441261
2755862238,2754278097
3606648,2755190720
75504937,2898402000
73023935,181647926
2764884717,2737566129
2764810342,97342212
2494747196,2755540534
108274597,2764640951
2764544752,2764552190
205665586,899646
1203052477,2625909334
901403493,901242617
193619003,207417044
163255482,181986260
157929806,183831342
62458012,33786796
2764540205,2898390019
293350175,2801863437
31916622,2898440704
138446831,158028765
2764466794,84179801
185795861,146875840
1326779652,2802992155
2764385184,2898134955
1303371947,84218800
2764941985,2756012098
