entity_id,isRelatedTo
2909388760,42360764
2779319291,105580179
2778938933,2779622508
2910483545,168240541
2911142464,2779735863
2777108577,2779164414
2776211966,2781460927
2910513534,71240020
2909603746,2778635478
2775944018,2781017531
2910694579,71924100
2911036424,2777774179
2777608289,518881349
2908843976,151730666
107240024,74650414
2781253005,2777204021
2777935553,2777382116
81877898,2776538122
2777660079,2776664908
2909162982,127413603
2780057676,2776984545
2910775421,73935091
19994219,2779383824
2910254269,86626682
2910766182,86803240
2908794137,105702510
2910399469,105702510
2910193259,2781324293
2781142771,8299213
2910635698,2776512003
2909301509,71924100
2778119494,4308109
2910951299,555293320
2776337391,2777630123
2909239125,55493867
2777606288,2779758792
2780866537,82279013
2778486184,2781258059
2910686043,159047783
2909985440,71924100
2909390593,77255625
2909849827,71240020
2909278340,86803240
2910129896,2780821655
147455438,16828302
2909897035,2779727114
2776986966,2781130845
2910567976,2776809520
2909858678,2777642821
2909948970,71924100
2910536954,71240020
2781227085,40608802
2909208601,141071460
2776888684,16710848
2909429966,2777662006
2778622117,2776953635
2909173194,29456083
2909461453,2780688631
2778259483,514101110
2908742234,42219234
2776160573,2777439098
2780230327,73593433
2910789329,2780610479
2910293911,127413603
2909638675,71924100
2910506697,15744967
2909856722,205649164
174846052,110875604
102650682,137838787
2909098073,2779814588
2778763157,34119211
2779123455,2778848085
63438335,165480597
2910981004,2778862431
2910530949,42219234
2776307806,2776089002
2780308682,198978007
2910431915,24061886
2911176674,41008148
2780630336,2776208839
2777315031,2776742690
2909556318,86803240
2910249008,2776308754
2910591951,2778704284
2910075949,71924100
2910627809,1862650
2777853560,66135807
2910896361,127413603
2910365517,187212893
2908520630,86803240
115884887,112231135
35858273,2779919027
2908877412,64584667
2909829372,86803240
2779930902,2779779588
2909901500,86803240
2909300097,128319531
2777272435,2781168330
95334517,135413448
2777205734,2779891835
2909137434,86803240
2910298291,77088390
2908876128,71924100
2909115480,71924100
2911027337,146304588
2779789193,2780363097
2910194031,142724271
2776557202,2779316378
2779773598,2778568382
2775954198,2781131135
2909138989,105702510
2778744859,2779830541
2909881060,2909527394
2909067712,114265396
2780903954,2776020014
2777154039,2778029324
2779568554,2778175403
2909822432,2778332735
2911183321,71924100
2777790783,2779154655
2779464521,2780626032
2909586529,2776538271
2778157693,2777363502
2910832142,2779958227
18545589,186154404
2909245744,43617362
2910269807,544519230
2780377759,2777213598
2910472360,153914509
2777934828,181169125
2910240324,89423630
2909034219,46225477
2911015719,33288867
2909603385,190283241
27176706,26546657
2780857817,2779537685
2908944130,192562407
2909942320,177713679
2780120631,2776365360
2909104778,103797069
2910093539,71240020
2910040677,2910054218
2777256093,120330832
2908782370,2779120906
2909046614,73282008
2777946990,59785166
2910509124,55493867
514067365,2780759047
2909295309,86803240
2909208452,2779559106
2777406284,2779653547
2908983740,42219234
180182882,184196243
2781397492,2778200369
2776446624,2777996254
2909360325,143065580
2779645854,2778339777
2776477609,2776134702
162167440,7706995
2909793585,71240020
2908824362,2777149929
2780187838,2780448388
2779104142,2779172254
2909897154,2780269544
2776003309,2776837905
2910792496,118646709
2778225542,134305767
2910604069,177713679
2777168103,2780748539
2910382418,86803240
2909269983,190062978
36964233,551499885
2779812746,2779204621
2777031145,163877629
2910744302,18903297
2909673724,2778696014
2910899577,2781155886
150048076,518851703
2908990386,2910635129
2777060381,1710429
166640838,150199151
2777665871,2778910598
2909799336,71924100
2909464291,89423630
2780158794,2777612826
2779697816,2779223811
2910411698,142362112
58506037,2778841021
65440619,530467964
2910514666,2778313320
2909231748,2779960720
2910366641,91451191
2909343108,127413603
196887881,76946457
2909632676,2777981385
2909687429,555293320
2908710170,2776473159
2909068010,71924100
2910481200,2778746874
2908861736,2778319312
2777139341,60359462
2910591364,107457646
119857281,88606757
2911161296,144133560
2908705836,18903297
2910341952,16224149
2910253306,71924100
2910785175,86803240
2781458821,2777810057
2909192815,2780801072
2908916930,2779405702
2911126216,118552586
2779603652,2776992468
2777138809,163035849
2909229496,2776495787
2911179195,138885662
2909245850,71924100
2911101006,131872663
2910520401,185592680
2778160712,2777716782
2778985905,2776252254
2910064044,141071460
2776659868,2776307347
2909302563,118552586
2781065012,109089402
2780519134,2779701145
2779923142,2779483572
2778756898,551621295
2779889036,2780890259
2778904414,2777740513
2909275762,57022672
170873072,101302269
2777858937,2777787772
2910705706,58642233
2778317200,61156836
153440673,2776053886
163339463,38822068
2910675314,2776218473
2780285058,2781405713
2909054036,103151440
2908703982,86803240
2777947491,2781024954
2911005925,2777494709
2909694086,55493867
2910375033,71924100
121551488,158424031
2908542069,2777624698
2776838455,2780252984
2910663391,71924100
2909026067,86803240
2776052239,27611902
2911138383,41008148
62580386,190249596
2780734950,2779474187
2780420027,2778435403
2780301334,135874517
2779781342,2778082511
2910169484,6557445
2781470988,2776306026
2911054121,138885662
2776360880,2778006036
2780252939,2780866641
2910524430,2776605302
2778790126,202023056
2908769273,59822182
2776743677,200941418
2777710951,2777385310
2908525638,2776980637
2910362808,2780680735
2909596783,25876315
2908724312,134018914
2909507732,59822182
2776585292,191403955
2778586372,123576724
2779185649,2780181037
2781142976,2779964942
2909261635,2775963564
2910645549,105702510
2780590845,2780289024
2911022275,86803240
2910207846,43617362
2910090910,56683836
2780219285,2777983431
2910388045,89423630
2776923346,56541578
2910722350,142724271
2910837661,81358767
2909955219,167135981
2777917799,2780455526
2776695003,2777981335
2909315410,43617362
2778829648,64441750
2779210248,40238689
2909713565,141071460
2780156999,2779784338
2909039885,86803240
2780259410,77366373
2781054961,2780537639
2910095031,2780254177
2909012391,2779980618
2779616306,71572567
2777738059,131357438
2908534730,143065580
2910266966,2777647538
2909622435,556039675
2779028778,2776304849
2780386107,2779890400
2910275632,556039675
2910160258,6557445
2908528625,185592680
45487008,522857546
43071845,60760409
2910866223,102587632
2778217131,2780696635
2908527952,185592680
2909018939,46576788
61019619,1458821
2909762382,2909324610
2911088484,142724271
2779629697,2779085617
2909645143,71924100
2908746457,185592680
2909232008,86803240
116385906,24443039
2909034604,2778241932
2908927731,71924100
2910833536,2779870022
2910352422,192562407
2909888949,2778020487
2910081793,89423630
2776675990,522453465
2780989987,2780695673
176234127,136959337
2908671374,2776853612
2910279634,86803240
2910822253,90924648
2910917961,2780225378
2909900112,2776291583
2776254235,176019070
2910559397,42407357
75866337,39891107
2910752801,2777477808
206276672,113241181
2909323646,105702510
2909288075,2909830010
2776186306,2777825620
117309347,95200732
2911033387,105702510
2908799573,2780801072
2910347927,2910944623
126050464,38956757
2910032217,2780551157
2908693378,86803240
2780821547,2776624888
2778177563,2780872377
2781128908,2777821159
2908869787,2780049408
55674163,513933616
2909575541,2776861272
2908569176,2780832096
2910412972,71240020
2909744200,71924100
2909231781,202865033
2779150135,2780768632
2908743804,86803240
2908861551,89423630
2780744135,2778144968
166050326,2780634035
2910833558,2779346075
2908807636,86803240
2777473863,2776504695
48455012,2779142347
2909108203,2777667214
186310378,130631938
2909955140,71240020
2777832006,2779564149
108469399,183688256
2777176818,2778311097
2909758245,58123911
2910744936,2779678110
2910646158,71924100
2780968178,2778435403
2780809034,2777203811
2780905093,2780979162
166868142,515207424
2908755708,105702510
2910258343,71924100
2910529691,77805123
2910916619,2780775167
2909673214,61434518
95706243,33923547
2911127080,2776690073
2778577727,2776913082
2911045174,2779727006
2779714499,2777173762
2910511314,107993555
2778119015,2779194459
2910398594,556039675
2909042521,55493867
2779890594,2780412024
2911004430,126322002
2909479122,203522944
2777503377,2777572978
2908592333,185592680
85543514,46149586
