entity_id,fos_list
2910103063,-:0.0
2779852217,Computer science:0.75_Mathematics:0.25
2910646464,Medicine:0.5_Biology:0.5
2910576956,-:0.0
2910044952,-:0.0
2910214584,-:0.0
2992877989,Biology:0.7_Chemistry:0.2_Medicine:0.1
2909774510,Medicine:0.5_Biology:0.5
2777844407,Biology:0.67_Geology:0.33
2778002324,Computer science:1.0
148220186,Mathematics:0.5_Economics:0.5
2909702307,-:0.0
187204502,Physics:0.83_Computer science:0.17
2778279344,Medicine:0.5_Biology:0.5
2908713814,Medicine:0.5_Biology:0.5
2778272302,Biology:0.75_Geology:0.25
159607974,Geology:0.46_Biology:0.23_Philosophy:0.08_History:0.08_Geography:0.08_Psychology:0.08
2909585539,Philosophy:0.67_Political science:0.33
2911008002,Biology:0.75_Chemistry:0.25
2993360178,Engineering:0.73_Computer science:0.18_Economics:0.09
2908650789,Medicine:0.5_Biology:0.5
2778091077,Computer science:0.75_Engineering:0.25
2910961319,-:0.0
2910115887,Medicine:0.5_Biology:0.5
2781206205,Psychology:1.0
2778744917,Computer science:0.33_Engineering:0.33_Mathematics:0.33
2776619100,Biology:0.75_Chemistry:0.25
2778776799,-:0.0
2908839643,Medicine:0.5_Biology:0.5
2994102994,Mathematics:0.5_Computer science:0.38_Engineering:0.12
3019040707,Medicine:0.5_Biology:0.5
2776530733,Biology:0.75_Chemistry:0.25
2910609367,-:0.0
2780013264,-:0.0
2985516517,Computer science:1.0
2910084835,Medicine:1.0
2910508978,-:0.0
2993689616,Engineering:0.62_Mathematics:0.25_Computer science:0.12
2994298753,Mathematics:0.33_Computer science:0.33_Physics:0.33
2910783036,-:0.0
2780608754,Medicine:0.5_Biology:0.5
2908811982,-:0.0
2909792707,-:0.0
2909969087,Biology:1.0
2775845063,Medicine:0.5_Biology:0.5
2909878288,-:0.0
2910497239,Biology:0.67_Medicine:0.33
2911210282,Biology:1.0
96923144,Biology:0.62_Medicine:0.25_Chemistry:0.12
2781124683,-:0.0
2780911185,Biology:1.0
2777413484,Psychology:0.38_Biology:0.38_Medicine:0.25
2779210062,Biology:1.0
2909276027,Medicine:0.5_Biology:0.5
2778124594,Geology:0.67_Biology:0.33
3018363379,Engineering:1.0
2910839795,Biology:0.67_Medicine:0.22_Geology:0.11
2908668899,-:0.0
2993228407,Business:0.4_Economics:0.4_Engineering:0.2
2779730375,Engineering:0.33_Materials science:0.33_Chemistry:0.33
2779266027,-:0.0
2909530698,Medicine:0.38_Psychology:0.38_Biology:0.25
207318512,Geology:0.62_Biology:0.15_Geography:0.15_Physics:0.08
2910006797,-:0.0
2910924786,Biology:1.0
2910601242,Medicine:0.5_Biology:0.5
2908542001,Philosophy:0.4_Art:0.2_Medicine:0.2_Biology:0.2
2910827617,Medicine:0.67_Biology:0.33
2910835443,Medicine:0.5_Biology:0.5
2909891200,Medicine:0.5_Biology:0.5
2910358267,-:0.0
2776234656,Medicine:0.5_Biology:0.5
2910375298,Medicine:0.5_Biology:0.5
2778998659,Biology:1.0
2992837407,Medicine:0.5_Biology:0.5
2780346935,-:0.0
2910898577,Biology:1.0
2909661561,Medicine:0.5_Biology:0.5
2909383079,Biology:0.62_Medicine:0.23_Philosophy:0.08_Engineering:0.08
2780089105,Biology:1.0
2781038049,Medicine:0.5_Biology:0.5
2911006491,Biology:0.56_Medicine:0.44
2779627189,Biology:0.9_Environmental science:0.1
2780195191,History:0.25_Sociology:0.25_Economics:0.25_Political science:0.25
2909451592,-:0.0
2910063760,Biology:0.67_Chemistry:0.33
2910808283,-:0.0
2909032448,Chemistry:1.0
2778719976,Biology:1.0
2909558395,Biology:1.0
2911011307,Medicine:0.5_Biology:0.5
2908791402,Medicine:0.5_Biology:0.5
2909847890,-:0.0
2776812161,Medicine:0.5_Biology:0.5
2909480427,Biology:1.0
2910746351,-:0.0
2778223074,Engineering:0.5_Economics:0.5
2910673642,Biology:0.4_History:0.2_Art:0.2_Geography:0.1_Philosophy:0.1
3017450986,Chemistry:0.57_Biology:0.43
50385759,Chemistry:0.5_Materials science:0.5
2908934847,Biology:1.0
2908553895,Medicine:0.5_Biology:0.5
13762613,Chemistry:0.72_Physics:0.13_Biology:0.13_Medicine:0.02
2778059003,Biology:0.29_Materials science:0.29_Chemistry:0.29_Medicine:0.14
2776624327,Biology:0.6_Chemistry:0.2_Medicine:0.2
3017585957,Engineering:0.67_Political science:0.33
2910711323,-:0.0
2910803458,Medicine:0.5_Biology:0.5
2991810286,Mathematics:0.38_Engineering:0.38_Computer science:0.15_Physics:0.08
2778155522,Philosophy:0.5_Art:0.25_Economics:0.25
2777080238,Biology:0.75_Medicine:0.25
2909457009,Biology:0.69_Chemistry:0.31
2909457638,Biology:0.75_Chemistry:0.25
2910698476,Biology:0.5_Chemistry:0.5
2911203046,Medicine:0.5_Biology:0.5
2780128295,Medicine:0.5_Biology:0.5
2908954479,-:0.0
3020741052,-:0.0
2910956573,-:0.0
2910424535,-:0.0
2779358571,Biology:0.67_Medicine:0.17_Chemistry:0.17
2909443886,-:0.0
2908577102,Biology:0.5_Chemistry:0.33_Medicine:0.17
2909795298,-:0.0
2909625643,Medicine:0.5_Biology:0.5
2908547644,Biology:0.5_Chemistry:0.5
2780499067,Medicine:0.5_Biology:0.5
2778947240,Biology:0.91_Medicine:0.09
2778835800,Chemistry:0.36_Materials science:0.27_Geology:0.27_Engineering:0.09
2781402198,Biology:1.0
2910016724,Medicine:0.5_Biology:0.5
2908732682,Medicine:0.5_Biology:0.5
2991736767,Chemistry:0.67_Physics:0.33
2910335721,-:0.0
2777607605,Computer science:0.5_Political science:0.5
2908804604,Mathematics:0.25_Computer science:0.25_Engineering:0.25_Materials science:0.25
2909062108,-:0.0
2991840449,Medicine:0.5_Biology:0.5
2780165224,Geology:0.4_Engineering:0.4_Environmental science:0.2
2909408986,-:0.0
2910159923,Biology:0.6_Chemistry:0.3_Medicine:0.1
2910927153,-:0.0
2776384992,Computer science:0.44_Engineering:0.33_Physics:0.11_Mathematics:0.11
99936299,Engineering:0.5_Computer science:0.25_Physics:0.25
2910659408,-:0.0
3017764225,Materials science:1.0
2909262520,-:0.0
2908540282,-:0.0
3020330655,Materials science:0.5_Physics:0.25_Chemistry:0.25
2992622564,Medicine:0.5_Biology:0.5
2909450564,Medicine:0.5_Biology:0.5
2909596686,-:0.0
2909162741,Medicine:0.5_Biology:0.5
2910541409,-:0.0
2910461703,Chemistry:1.0
2776022429,Geology:1.0
144348335,Sociology:0.67_History:0.33
2777204577,Medicine:0.5_Biology:0.5
2908695113,Medicine:0.5_Biology:0.5
2908571424,Biology:0.75_Geology:0.25
2992844032,Medicine:0.5_Biology:0.25_Psychology:0.25
